slide_no,period,time,purpose,pbi_mode,source_refs,audio_track,source_pages,student_instruction_zh,student_content_zh,grouping,student_output,speaker_note_zh_tw,support_asset
"001","GLOBAL","—","封面","Orientation","","","","欢迎来到第一课。","第一课：中国人的姓名","全班","確認課次與主題","開課時不講解詞語；直接建立課堂情境。","封面版型"
"002","GLOBAL","—","Can-Do 目標","All modes","","","","学完这一课，你能……","我能听懂姓名和姓氏的主要信息；我能询问、回答和追问；我能提出中文姓名建议并说明理由。","全班→個人","學生知道最後要完成的語言表現","以學生能完成的任務說明目標，不用能力等級術語開場。","Can-Do 卡"
"003","GLOBAL","—","最終任務預告","Interpersonal + Presentational","","","","最后任务：在一家起名儿公司工作。","最终任务：访问客户、确认要求、提出姓名、说明理由，并回答客户的问题。","三至四人","知道最後任務與成功標準","先展示任務結果，讓學生理解每個練習的用途。","任務示意"
"004","GLOBAL","—","課堂運作規則","Interpersonal","","","","小组合作。先试着说；需要时请对方再说一遍。","课堂约定：先做任务，再修补语言；听不清时请对方再说一遍；每次活动都要留下一个口语产出。","全班","學生理解活動規則","強調課堂不是逐字講解課。","規則卡"
"005","GLOBAL","—","聽力策略","Interpretive","","","","第一遍听大意，第二遍找证据。","听力策略：第一遍抓大意；第二遍找证据；小组答案必须说明“你从哪里听到的”。","全班","學生知道兩遍聽力的任務不同","可在 speaker notes 補充播放與重播規則。","聽力策略卡"
"006","P1","0–5","P1 目標與預習回收","Interpretive → Interpersonal","","","","和同伴交换预习卡，找出一个相同点或不同点。","第一部分：姓名的意思和来历","兩人","交換預習卡並說出一個相同／不同點","觀察學生是否帶來預習證據；不先重教詞語。","預習卡 A"
"007","P1","5–10","自我介紹姓名","Interpersonal","E01-034","","PDF p.13","用 30 秒介绍自己名字的意思和来历。","介绍自己的名字：意思、来历、读音。","兩人","每人完成 30 秒自述","用記錄表找出學生真正需要的語言修補。","姓名資訊卡"
"008","P1","10–15","田野資料交換","Interpersonal + Presentational","E01-035","","PDF p.13","交换调查资料，选出一个想继续追问的问题。","小调查：比较三位中文使用者的姓名意思和来历。","三人","每組整理一個觀察與一個追問","若學生無法完成原始田野任務，使用教師核准的替代資料。","調查表"
"009","P1","15–22","聽力 1-2：問題 1–3","Interpretive","E01-001","1-2","PDF p.14","听 1-2，回答问题 1–3。先独立完成，再和小组比较。","听对话，回答问题：1–3。","個人→四人","完成答案初稿","不要先公布答案；要求學生指出聽力依據。","音檔 1-2"
"010","P1","22–28","聽力 1-2：問題 4–6","Interpretive","E01-001","1-2","PDF p.14","再听 1-2，回答问题 4–6，并记下关键词作为证据。","听对话，回答问题：4–6。","個人→四人","完成答案與關鍵詞","只在關鍵詞阻礙理解時做短修補。","音檔 1-2"
"011","P1","28–32","聽力證據交換","Interpretive + Interpersonal","E01-001","1-2","PDF p.14","每组选择两个答案，并说明：“你听到了什么？”","证据交换：答案不能只有选项，要说明听到的依据。","四人","提交兩個答案證據","這張是把理解題轉成 PBI 證據活動的關鍵頁。","證據表"
"012","P1","32–36","相近意思選擇 1–2","Interpretive","E01-002","1-3","PDF p.14","听 1-3，选择问题 1–2 中意思最接近的一项。","选出与所听到的句子意思相近的一项：1–2。","個人→兩人","完成選擇並說明理由","不逐項翻譯選項；先讓學生互相解釋。","音檔 1-3"
"013","P1","36–40","相近意思選擇 3–5","Interpretive","E01-002","1-3","PDF p.14","再听 1-3，完成问题 3–5，并和同伴比较答案。","选出与所听到的句子意思相近的一项：3–5。","兩人","完成剩餘選擇","用錯題診斷語意理解，不進入長篇詞語講解。","音檔 1-3"
"014","P1","40–44","三至五句回答 1–3","Interpersonal","E01-003","","PDF p.15","用 3–5 句话回答问题 1–3，然后再追问同伴一个问题。","用三至五句话回答问题：1–3，并使用画线词语。","兩人","完成一次 4-turn 互動","教師記錄是否能回答與追問，不先糾正所有形式。","問題卡"
"015","P1","44–47","三至五句回答 4–5","Interpersonal","E01-003","","PDF p.15","换一个同伴，回答问题 4–5，并追问对方的理由。","用三至五句话回答问题：4–5。","兩人","完成第二次互動","讓學生把教材問題轉成個人經驗。","問題卡"
"016","P1","47–49","姓名訪談輪換","Interpersonal","E01-003|E01-034|E01-035","","PDF p.15, PDF p.13","轮换采访者、回答者和观察者。观察者记录一个好的追问。","姓名访谈：意思、来历、读音、命名偏好。","三人輪換","每人完成一張姓名資訊卡","觀察者只記錄一個可改進點，避免同儕糾錯過量。","訪談卡"
"017","P1","49–50","出口任務","Interpretive + Interpersonal","","","","说出一个姓名理由和一个你在听力中听到的信息。","出口任务：一个姓名理由＋一个听力证据。","個人","教師收回 exit ticket","下一節只修補最影響互動的問題。","Exit ticket 1"
"018","P2","0–5","P2 目標與快速回收","Interpersonal","","","","问同伴一个姓名问题，再用自己的信息回答。","第二部分：用语言工具完成互动。","兩人","快速啟動，不重新講解","把預習內容轉成互動，不做詞語複習投影片。","預習卡 A"
"019","P2","5–11","跟讀替換 1–3","Interpersonal","E01-004","1-4","PDF p.15","听 1-4，跟读后把画线部分换成自己的真实信息。","听录音，跟读并替换：1–3。","兩人","每人產出三句替換句","只修補影響可理解度的聲調／語序。","音檔 1-4"
"020","P2","11–17","跟讀替換 4–6","Interpersonal","E01-004","1-4","PDF p.15","换一个同伴，继续完成句子 4–6。","听录音，跟读并替换：4–6。","兩人","完成第二輪替換","讓學生立即使用，不要求背誦完整句型。","音檔 1-4"
