module_order,module_id,module_name_vi,module_name_zh,source_page,status,slide_range,notes
1,cover,Trang bìa,封面,,planned,,Trang bìa bài học: 第七课 · 你吃什么
2,objectives,Mục tiêu bài học,学习目标,,planned,,"Mục tiêu: 16 từ vựng mới (đồ ăn, nhà ăn), 1 hội thoại, 2 ngữ pháp (几+量词, lượng từ)"
3,warmup,Khởi động,暖身活动,,planned,,"Hoạt động khởi động: hỏi nhau trưa ăn gì, giới thiệu hình ảnh món ăn Trung Quốc."
4,vocabulary,Từ vựng,生词,57,extracted,,16 từ vựng chính. Counter format: XX/16.
5,vocabulary_practice_divider,Tập từ vựng,词汇练习,,planned,,Divider: TẬP TỪ VỰNG / 词汇练习 (purple accent)
6,vocab_summary,Ôn tập từ vựng,词汇小测,,planned,,Mini quiz từ vựng: chia nhóm 01-08/16 và 09-16/16
7,grammar,Ngữ pháp,语法,58,extracted,,"2 điểm ngữ pháp: 几+量词, lượng từ (个, 碗, 斤)"
8,comprehensive_practice,Luyện tập tổng hợp,综合练习,,planned,,"Divider: LUYỆN TẬP TỔNG HỢP / 综合练习 (amber accent) + luyện gọi món, dùng lượng từ đúng"
9,text,Bài đọc,课文,56,extracted,,1 hội thoại: 你吃什么 (gọi đồ ăn trong nhà ăn)
10,stroke_writing,Tập viết chữ Hán,写汉字,62,planned,,Tập viết chữ Hán từ bài 7: 吃、饭、要、个、米、碗、汤、酒、些、子、面、条
11,culture_supplement,Văn hóa bổ sung,文化补充,,planned,,Văn hóa ẩm thực Trung Quốc: sự khác biệt giữa Nam (米饭) và Bắc (馒头/面条). Giới thiệu các món ăn phổ biến.
12,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,60,planned,,"Bài tập: đọc liền nhiều âm tiết, hoàn thành hội thoại gọi món, tập viết chữ Hán"
