record_id,source_page,source_pdf_page,source_page_range,source_pdf_page_range,section,record_type,title_vi,title_zh,chinese_simplified,pinyin,vietnamese,english,raw_source_text,teaching_order,classroom_visibility,image_role,image_prompt,image_file,image_reuse_from,image_status,image_semantic_check
T001,37,55,37-38,55-56,Bài đọc,text,Đây là thầy giáo Vương,这是王老师,"这是王老师，这是我爸爸。
王老师，您好！
您好！请进！请坐！请喝茶！
谢谢！
不客气！
工作忙吗？
不太忙。
身体好吗？
很好！","zhè shì Wáng lǎoshī, zhè shì wǒ bàba.
Wáng lǎoshī, nín hǎo!
nín hǎo! qǐng jìn! qǐng zuò! qǐng hē chá!
xièxie!
bú kèqi!
gōngzuò máng ma?
bú tài máng.
shēntǐ hǎo ma?
hěn hǎo!","Đây là thầy giáo Vương, đây là bố tôi.
Thầy Vương, chào thầy!
Chào bạn! Mời vào! Mời ngồi! Mời uống trà!
Cảm ơn!
Không có gì!
Công việc bận không?
Không bận lắm.
Sức khỏe tốt không?
Rất tốt!","This is Teacher Wang, this is my father.
Teacher Wang, hello!
Hello! Please come in! Please sit down! Please have some tea!
Thank you!
You're welcome!
Is work busy?
Not too busy.
How is your health?
Very good!",课文 这是王老师: 这是王老师，这是我爸爸。王老师，您好！您好！请进！请坐！请喝茶！谢谢！不客气！工作忙吗？不太忙。身体好吗？很好！,15,student_visible,,,,,,
V001,38,56,38,56,Từ vựng,vocabulary,,,这,zhè,"đây, này",this,"这 (代) zhè (giá) this đây, này",1,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a friendly student pointing to a nearby object on a desk, clearly meaning this / here.",assets/vocab-images/vocab-v001-zhe.png,,ready_for_visual_qa,"Verify image clearly matches 这 / đây, này and contains no text, labels, numbers, or Chinese characters."
V002,38,56,38,56,Từ vựng,vocabulary,,,是,shì,là,"to be (am, are, is)",是 (动) shì (thị) to be là,2,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: one person gently introducing another person with an open-hand gesture, clearly conveying this is someone.",assets/vocab-images/vocab-v002-shi.png,,ready_for_visual_qa,"Verify image clearly matches 是 / là and contains no text, labels, numbers, or Chinese characters."
V003,38,56,38,56,Từ vựng,vocabulary,,,老师,lǎoshī,thầy/cô giáo,teacher,老师 (名) lǎoshī (lão sư) teacher thầy/cô giáo,3,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a warm teacher standing beside a simple classroom board, holding a book, with students implied softly in the foreground.",assets/vocab-images/vocab-v003-laoshi.png,,ready_for_visual_qa,"Verify image clearly matches 老师 / thầy/cô giáo and contains no text, labels, numbers, or Chinese characters."
V004,38,56,38,56,Từ vựng,vocabulary,,,爸爸,bàba,"bố, ba",father,"爸爸 (名) bàba (ba ba) father bố, ba",4,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a kind father standing with a child, warm family feeling, natural proportions.",assets/vocab-images/vocab-v004-baba.png,,ready_for_visual_qa,"Verify image clearly matches 爸爸 / bố, ba and contains no text, labels, numbers, or Chinese characters."
V005,38,56,38,56,Từ vựng,vocabulary,,,您,nín,"ngài, ông/bà (lịch sự)",you (polite form),"您 (代) nín (nâm) you (polite) ngài, ông/bà (lịch sự)",5,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a young person politely greeting an older respected adult with a slight bow and warm expression.",assets/vocab-images/vocab-v005-nin.png,,ready_for_visual_qa,"Verify image clearly matches 您 / ngài, ông/bà (lịch sự) and contains no text, labels, numbers, or Chinese characters."
V006,38,56,38,56,Từ vựng,vocabulary,,,请,qǐng,"mời, xin",please; to invite,"请 (动) qǐng (thỉnh) please; to invite mời, xin",6,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a host politely gesturing with an open hand toward a doorway or seat, inviting a guest in.",assets/vocab-images/vocab-v006-qing.png,,ready_for_visual_qa,"Verify image clearly matches 请 / mời, xin and contains no text, labels, numbers, or Chinese characters."
V007,38,56,38,56,Từ vựng,vocabulary,,,进,jìn,vào,to enter; to come in,进 (动) jìn (tiến) to enter; to come in vào,7,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person stepping through an open doorway into a bright room.",assets/vocab-images/vocab-v007-jin.png,,ready_for_visual_qa,"Verify image clearly matches 进 / vào and contains no text, labels, numbers, or Chinese characters."
V008,38,56,38,56,Từ vựng,vocabulary,,,坐,zuò,ngồi,to sit,坐 (动) zuò (tọa) to sit ngồi,8,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person calmly sitting on a chair beside a simple desk.",assets/vocab-images/vocab-v008-zuo.png,,ready_for_visual_qa,"Verify image clearly matches 坐 / ngồi and contains no text, labels, numbers, or Chinese characters."
V009,38,56,38,56,Từ vựng,vocabulary,,,喝,hē,uống,to drink,喝 (动) hē (hát) to drink uống,9,student_visible,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person taking a sip from a cup, clearly drinking.",assets/vocab-images/vocab-v009-he.png,,ready_for_visual_qa,"Verify image clearly matches 喝 / uống and contains no text, labels, numbers, or Chinese characters."
