record_type,record_id,textbook_id,lesson_key,word,pinyin,pattern,expression,meaning_en_source,meaning_vi,meaning_vi_status
vocabulary,boya-elementary-i:杯子:beizi,boya-elementary-i,,杯子,beizi,,,cup,cái cốc; ly,translated_subagent_draft
vocabulary,boya-elementary-i:北方:beifang,boya-elementary-i,,北方,beifang,,,,miền Bắc,translated_subagent_draft
vocabulary,boya-elementary-i:安静:anjing,boya-elementary-i,,安静,anjing,,,quiet,yên tĩnh,translated_subagent_draft
vocabulary,boya-elementary-i:本子:benzi,boya-elementary-i,,本子,benzi,,,notebook,quyển vở,translated_subagent_draft
vocabulary,boya-elementary-i:安排:ainpai,boya-elementary-i,,安排,ainpai,,,to plan,sắp xếp; bố trí,translated_subagent_draft
vocabulary,boya-elementary-i:比较:bijido,boya-elementary-i,,比较,bijido,,,comparactively; relatively,khá; tương đối; so sánh,translated_subagent_draft
vocabulary,boya-elementary-i:熬夜:doye,boya-elementary-i,,熬夜,do ye,,,to stay up late,thức khuya,translated_subagent_draft
vocabulary,boya-elementary-i:比如:biru,boya-elementary-i,,比如,biru,,,for example,ví dụ như,translated_subagent_draft
vocabulary,boya-elementary-i:比赛:bisai,boya-elementary-i,,比赛,bisai,,,match; competition,cuộc thi; trận đấu,translated_subagent_draft
vocabulary,boya-elementary-i:吧:ba,boya-elementary-i,,吧,ba,,,"of a sentence to indicate a supposition, suggestion， request or order","trợ từ cuối câu dùng để đề nghị, yêu cầu hoặc phỏng đoán",translated_subagent_draft
vocabulary,boya-elementary-i:笔:bi,boya-elementary-i,,笔,bǐ,,,pen,bút,translated_subagent_draft
vocabulary,boya-elementary-i:爸爸:baba,boya-elementary-i,,爸爸,baba,,,father,bố; ba,translated_subagent_draft
vocabulary,boya-elementary-i:笔试:bishi,boya-elementary-i,,笔试,bishi,,,written examination,thi viết,translated_subagent_draft
vocabulary,boya-elementary-i:白:bai,boya-elementary-i,,白,bai,,,"possession, roughly equiva- lent to “-S” suffix",trợ từ chỉ quan hệ sở hữu,translated_subagent_draft
vocabulary,boya-elementary-i:表演:biaoyan,boya-elementary-i,,表演,biaoyan,,,to perform,biểu diễn,translated_subagent_draft
vocabulary,boya-elementary-i:白菜:baicai,boya-elementary-i,,白菜,baicai,,,cabbage,cải thảo,translated_subagent_draft
vocabulary,boya-elementary-i:别:bie,boya-elementary-i,,别,bie,,,do not,đừng,translated_subagent_draft
vocabulary,boya-elementary-i:白天:baitian,boya-elementary-i,,白天,baitian,,,daytime,ban ngày,translated_subagent_draft
vocabulary,boya-elementary-i:别的:biede,boya-elementary-i,,别的,bie de,,,oneself,khác; cái khác,translated_subagent_draft
vocabulary,boya-elementary-i:班:ban,boya-elementary-i,,班,ban,,,Class,lớp,translated_subagent_draft
vocabulary,boya-elementary-i:冰:bing,boya-elementary-i,,冰,bing,,,ice,đá; băng,translated_subagent_draft
vocabulary,boya-elementary-i:搬:ban,boya-elementary-i,,搬,ban,,,to move,chuyển; dọn,translated_subagent_draft
vocabulary,boya-elementary-i:病假条:bingjiatido,boya-elementary-i,,病假条,bingjiatido,,,certificate for sick leave,giấy xin nghỉ ốm,translated_subagent_draft
vocabulary,boya-elementary-i:办:ban,boya-elementary-i,,办,ban,,,to do,làm; giải quyết,translated_subagent_draft
vocabulary,boya-elementary-i:补考:bukdo,boya-elementary-i,,补考,bukdo,,,to make-up examination,thi lại,translated_subagent_draft
vocabulary,boya-elementary-i:办法:banfd,boya-elementary-i,,办法,banfd,,,method; means,cách; biện pháp,translated_subagent_draft
vocabulary,boya-elementary-i:不:bu,boya-elementary-i,,不,bu,,,no; not,không,translated_subagent_draft
vocabulary,boya-elementary-i:办公室:bangongshi,boya-elementary-i,,办公室,bangongshi,,,ofhice,văn phòng,translated_subagent_draft
vocabulary,boya-elementary-i:不错:bucuo,boya-elementary-i,,不错,bucuo,,,not bad,không tệ; khá tốt,translated_subagent_draft
vocabulary,boya-elementary-i:半:ban,boya-elementary-i,,半,ban,,,half,một nửa,translated_subagent_draft
vocabulary,boya-elementary-i:不过:buguo,boya-elementary-i,,不过,buguo,,,but; however,nhưng; tuy nhiên,translated_subagent_draft
vocabulary,boya-elementary-i:帮:bang,boya-elementary-i,,帮,bang,,,to help,giúp,translated_subagent_draft
vocabulary,boya-elementary-i:不好意思:buhdoyisi,boya-elementary-i,,不好意思,bu hdoyisi,,,excuse me,xin lỗi; ngại quá,translated_subagent_draft
vocabulary,boya-elementary-i:帮忙:bangmang,boya-elementary-i,,帮忙,bang mang,,,to help,giúp đỡ,translated_subagent_draft
vocabulary,boya-elementary-i:不用:buyong,boya-elementary-i,,不用,buyong,,,need not,không cần,translated_subagent_draft
vocabulary,boya-elementary-i:包子:bdozi,boya-elementary-i,,包子,bdozi,,,steamed stu ffed bun,bánh bao,translated_subagent_draft
vocabulary,boya-elementary-i:部分:bufen,boya-elementary-i,,部分,bufen,,,part; section,phần; bộ phận,translated_subagent_draft
vocabulary,boya-elementary-i:报告:baogdo,boya-elementary-i,,报告,baogdo,,,report,báo cáo,translated_subagent_draft
vocabulary,boya-elementary-i:报名:bdoming,boya-elementary-i,,报名,bdo ming,,,to enroll; to sign up,đăng ký,translated_subagent_draft
vocabulary,boya-elementary-i:抱歉:bdoqian,boya-elementary-i,,抱歉,bdoqian,,,sorry,xin lỗi; lấy làm tiếc,translated_subagent_draft
vocabulary,boya-elementary-i:菜:cai,boya-elementary-i,,菜,cai,,,dish,món ăn; rau,translated_subagent_draft
vocabulary,boya-elementary-i:杯:bei,boya-elementary-i,,杯,bei,,,Cup,cốc; ly (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:菜单:caidan,boya-elementary-i,,菜单,caidan,,,menu li to be away from,thực đơn,translated_subagent_draft
vocabulary,boya-elementary-i:待:dai,boya-elementary-i,,待,dai,,,to stay,ở lại; lưu lại,translated_subagent_draft
vocabulary,boya-elementary-i:参加:canjia,boya-elementary-i,,参加,canjia,,,to join; to attend; take part in,tham gia,translated_subagent_draft
vocabulary,boya-elementary-i:茶:cha,boya-elementary-i,,茶,cha,,,tea,trà,translated_subagent_draft
vocabulary,boya-elementary-i:担心:danxin,boya-elementary-i,,担心,dan xin,,,to Worry dui： • Iai shuo for （Sb.）,lo lắng,translated_subagent_draft
