slide_no,section,page_type,title,student_instruction_zh,template,generated_assets
"1","姓名","divider","中国人如何给孩子取名字？","先认识三种常见方法。","lesson-01-final-v4","generated"
"2","姓名","method","方法一：请别人帮忙取名字","认识第一种取名方法。","lesson-01-final-v4","generated"
"3","姓名","expectation","方法二：把期望和祝福放进名字里","这些名字有什么意思？","lesson-01-final-v4","generated"
"4","姓名","choose","方法三：自己选字、组合名字","认识第三种取名方法。","lesson-01-final-v4","generated"
"5","姓名","choose-discussion","你选哪一个？为什么？","小组讨论五分钟，然后发表。","lesson-01-final-v4","generated"
"6","称呼","divider","怎么称呼别人？","先认识不同场合的称呼方法。","lesson-01-final-v4","generated"
"7","称呼","listening-dialogue","听力练习","听对话，说说你学到了什么。","lesson-01-final-v4","generated"
"8","称呼","answer-questions","回答问题","根据对话回答两个问题。","lesson-01-final-v4","generated"
"9","称呼","four-factors","称呼要看什么？","关系、年龄、身份、场合。","lesson-01-final-v4","shape-only"
"10","称呼","question-name-divider","怎么问姓名？","","lesson-01-final-v4","generated"
"11","称呼","question-methods","怎么问姓名？","","lesson-01-final-v4","shape-only"
"12","称呼","ask-surname","问称呼的方法","只练习问姓。","lesson-01-final-v4","generated"
"13","称呼","ask-address","问称呼的方法","只练习问称呼。","lesson-01-final-v4","generated"
"14","称呼","school-company-divider","在学校和公司","认识学校和公司里的称呼。","lesson-01-final-v4","generated"
"15","称呼","surname-role","姓＋身份：王老师","观察图片，读一读“王老师”。","lesson-01-final-v4","generated"
"16","称呼","surname-role","姓＋身份：李医生","观察图片，读一读“李医生”。","lesson-01-final-v4","generated"
"17","称呼","surname-role","姓＋身份：张主任","观察图片，读一读“张主任”。","lesson-01-final-v4","generated"
"18","称呼","surname-role","姓＋身份：阮同学","观察图片，读一读“阮同学”。","lesson-01-final-v4","generated"
"19","称呼","surname-role-question","和越南人的称呼方法有什么不同？","想一想，再和同伴说一说。","lesson-01-final-v4","generated"
"20","称呼","familiar-divider","熟人","认识熟人之间的称呼方法。","lesson-01-final-v4","generated"
"21","称呼","familiar-name","熟人称呼方式：名字","看图，读一读“名字”。","lesson-01-final-v4","generated"
"22","称呼","familiar-small","熟人称呼方式：小＋姓／名字","看图，读一读“小＋姓／名字”。","lesson-01-final-v4","generated"
"23","称呼","familiar-old","熟人称呼方式：老＋姓／名字","看图，读一读“老＋姓／名字”。","lesson-01-final-v4","generated"
"24","称呼","familiar-a","熟人称呼方式：阿＋名字","看图，读一读“阿＋名字”。","lesson-01-final-v4","generated"
"25","称呼","safe-divider","安全称呼","","lesson-01-final-v4","generated"
"26","称呼","safe-service","安全称呼：服务员","看图，读一读“服务员”。","lesson-01-final-v4","generated"
"27","称呼","safe-master","安全称呼：师傅","看图，读一读“师傅”。","lesson-01-final-v4","generated"
"28","称呼","safe-ms","安全称呼：女士","看图，读一读“女士”。","lesson-01-final-v4","generated"
"29","称呼","safe-mr","安全称呼：先生","看图，读一读“先生”。","lesson-01-final-v4","generated"
"30","称呼","safe-situation-quiz","在咖啡店第一次见面，你怎么称呼他们？","回答五个具体情境。","lesson-01-final-v4","shape-only"
"31","称呼","caution","注意","看一看，记住这三个词。","lesson-01-final-v4","shape-only"
"32","称呼","roleplay","情境任务：完成一次第一次见面","一个人是老师，一个人是学生。","lesson-01-final-v4","shape-only"
"33","称呼","scenarios","你现在会怎么称呼？","请回答","lesson-01-final-v4","shape-only"
