lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,source_tone_sandhi_rule_id,related_rule_id,script_note,meaning_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_04,P1,,1,lesson_cover,page_l4_01,封面,,,,lesson_page,,第四课课程封面。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P2,,2,learning_objective,page_l4_02,学习目标,,,,lesson_page,,说明本课要学 ai/ao/ou/ei/er、iu/ui/ie/üe、含声调拼读、词汇发音与字义、üe 拼写变化。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P3,,3,warmup_activity,page_l4_03,暖身活动：复习第三课生词,,,,lesson_page,,复习第三课生词；活动可用连连看或听音猜意 flash card。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P4,,4,pinyin_learning_cover,page_l4_04,拼音学习封面 1：ai ao ou ei er,,,,lesson_page,,进入第一组复韵母学习段落。,,,,,,,,true,true,false,,false,
pinyin_lesson_04,P5,,5,pinyin_chart,pinyin_chart_l4_group_1,拼音学习表格 1：全部声母 + ai ao ou ei er,,,,lesson_page,,建立 21 声母与 ai/ao/ou/ei/er 的拼读组合。,,,pinyin_chart_l4_group_1,,,,,true,true,false,false,false,
pinyin_lesson_04,P6,,6,pinyin_exercise,page_l4_06,拼音练习 1,,,,lesson_page,,第一组复韵母拼读练习，含声调。,,,pinyin_chart_l4_group_1,,,,,true,true,false,true,false,
pinyin_lesson_04,P7,,7,vocabulary_set,vocab_set_l4_01,词汇 1,,,,lesson_page,,开、菜、猫、少、手、口、谁、二。,,vocab_set_l4_01,,,,,,true,true,false,,false,
pinyin_lesson_04,P8,,8,vocab_exercise,page_l4_08,词汇练习 1,,,,lesson_page,,词汇 1 的发音与字义练习。,,vocab_set_l4_01,,,,,,true,true,false,,false,
pinyin_lesson_04,P9,,9,pinyin_learning_cover,page_l4_09,拼音学习封面 2：iu ui ie üe,,,,lesson_page,,进入第二组复韵母学习段落。,,,,,,,,true,true,false,,false,封面包含 üe；P10 表格只列 iu/ui/ie，üe 于 P14 规则处理。
pinyin_lesson_04,P10,,10,pinyin_chart,pinyin_chart_l4_group_2,拼音学习表格 2：全部声母 + iu ui ie,,,,lesson_page,,建立 21 声母与 iu/ui/ie 的拼读组合。,,,pinyin_chart_l4_group_2,,,,,true,true,false,false,false,不含 üe；üe 另由 P14 规则与 P15 词汇承接。
pinyin_lesson_04,P11,,11,pinyin_exercise,page_l4_11,拼音练习 2,,,,lesson_page,,第二组复韵母拼读练习，含声调。,,,pinyin_chart_l4_group_2,,,,,true,true,false,true,false,
pinyin_lesson_04,P12,,12,vocabulary_set,vocab_set_l4_02,词汇 2,,,,lesson_page,,六、牛、九、球、对、睡、贵、姐姐、写、谢谢。,,vocab_set_l4_02,,,,,,true,true,false,,false,
