lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,word_type_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,T001,text,Bài đọc,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,76,76-77,1,李昌浩：请问，这是办公室吗？职员：是。你找谁？李昌浩：王老师在吗？我是他的学生。职员：他不在。他在家呢。李昌浩：他住哪儿？职员：他住十八楼一门，房间号是601。李昌浩：您知道他的电话号码吗？职员：知道，6293 1074。李昌浩：他的手机号码是多少？职员：不知道。李昌浩：谢谢您。职员：不谢。,"Lǐ Chānghào: Qǐngwèn, zhè shì bàngōngshì ma? Zhíyuán: Shì. Nǐ zhǎo shéi? Lǐ Chānghào: Wáng lǎoshī zài ma? Wǒ shì tā de xuésheng. Zhíyuán: Tā bú zài. Tā zài jiā ne. Lǐ Chānghào: Tā zhù nǎr? Zhíyuán: Tā zhù shíbā lóu yì mén, fángjiān hào shì liù líng yāo. Lǐ Chānghào: Nín zhīdào tā de diànhuà hàomǎ ma? Zhíyuán: Zhīdào, liù èr jiǔ sān yāo líng qī sì. Lǐ Chānghào: Tā de shǒujī hàomǎ shì duōshao? Zhíyuán: Bù zhīdào. Lǐ Chānghào: Xièxie nín. Zhíyuán: Bú xiè.","Lý Xương Hạo hỏi ở văn phòng: thầy Vương có ở đó không, thầy ở đâu, số phòng và số điện thoại là bao nhiêu. Nhân viên trả lời thầy không ở văn phòng, thầy ở nhà; thầy sống ở tầng 18, cửa số 1, phòng 601; số điện thoại nhà là 6293 1074, không biết số di động.",,课文：他住哪儿。李昌浩和职员关于王老师的位置、住址、房间号、电话号码和手机号码的对话。,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,2,办公室,bàngōngshì,văn phòng,danh từ,办公室（名）bàngōngshì (biện công thất) office văn phòng,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V001A,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,2.1,办公,bàngōng,"làm việc ở văn phòng, làm việc tại cơ quan",động từ,办公（动）bàngōng (biện công) to work (in an office) làm việc (tại cơ quan). Sub-entry under 办公室.,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,3,职员,zhíyuán,"nhân viên, viên chức",danh từ,"职员（名）zhíyuán (chức viên) employee; office worker nhân viên, viên chức",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,4,找,zhǎo,"tìm, kiếm",động từ,"找（动）zhǎo (trảo) to look for tìm, kiếm",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,5,在,zài,"ở, có mặt; tại","động từ, giới từ","在（动、介）zài (tại) to be in/at; in; at ở, có mặt; tại",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77,6,家,jiā,nhà; gia đình,"danh từ, lượng từ","家（名、量）jiā (gia) home; classifier for a family, company, shop, etc. nhà; gia đình",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,77,77-78,7,呢,ne,trợ từ ngữ khí,trợ từ,呢（助）ne (ni) modal particle used at the end of a declarative sentence to indicate continuation of an action or situation,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,78,78,8,住,zhù,"ở, cư trú",động từ,"住（动）zhù (trú) to live ở, cư trú",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,78,78,9,楼,lóu,"tầng, nhà lầu",danh từ,"楼（名）lóu (lầu) building tầng, nhà lầu",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,78,78,10,门,mén,"cửa, cổng",danh từ,"门（名）mén (môn) door; gate cửa, cổng",student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,78,78,11,房间,fángjiān,phòng,danh từ,房间（名）fángjiān (phòng gian) room phòng,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
lesson-10,第十课 · 他住哪儿 · Bài 10 · Anh ấy sống ở đâu?,V011,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,78,78,12,号,hào,số,danh từ,号（名）hào (hiệu) number số,student_visible,pending_review,,,2026-06-03T04:21:25+00:00
