record_id,exercise_order,exercise_type,source_pages,periods,route,pbi_mode,classroom_activity,observable_evidence,audio_asset_ids,answer_status
"E01-001","1","listening_comprehension_questions","教材 p.3 | PDF p.14","P1","課堂核心","詮釋理解","聽對話抓主旨，再以證據卡回答 6 題","完成答案並指出支持答案的詞語","A01-002","not_provided_in_source"
"E01-002","2","listening_multiple_choice","教材 p.3 | PDF p.14","P1","課堂核心","詮釋理解","聽句子後小組比對相近意思，說明選項理由","每組提交 2 題證據解釋","A01-003","not_provided_in_source"
"E01-003","3","guided_speaking","教材 p.4 | PDF p.15","P1","課堂互動","人際互動","三至五句回答後，交換問題並追問一題","完成一次 4-turn 互動","","not_provided_in_source"
"E01-004","4","listen_repeat_substitute","教材 p.4 | PDF p.15","P2","課堂核心","人際互動","跟讀後立即替換個人資料與命名情境","每人產出 3 句可理解的替換句","A01-004","not_provided_in_source"
"E01-005","5","dialogue_repetition","教材 p.4 | PDF p.15","P2","課堂核心","人際互動","聽後遮稿重建對話，再與另一組交換角色","雙人完成一次不看稿複述","A01-005","not_provided_in_source"
"E01-006","6","listening_fill_blank","教材 p.5 | PDF p.16","P3","課堂核心","詮釋理解","第一次聽力只填關鍵資訊，不要求逐字聽寫","完成關鍵空格並比較小組答案","A01-006","not_provided_in_source"
"E01-007","7","listening_true_false","教材 p.5 | PDF p.16","P3","課堂核心","詮釋理解","第二次聽力判斷正誤，要求引用音檔證據","每題附一個聽力依據","A01-006","not_provided_in_source"
"E01-008","8","listening_open_response","教材 p.5 | PDF p.16","P3","課堂討論","人際互動","小組判斷朋友是否贊成，整理不同理由","小組共識＋個人一句理由","A01-006","not_provided_in_source"
"E01-009","9","pattern_dialogue_completion","教材 pp.6, 7 | PDF pp.17, 18","P2","課堂輪站","人際互動","情境卡用「總不能……吧」完成對話","每人完成 2 個新情境","","not_provided_in_source"
"E01-010","10","pattern_rewrite","教材 p.7 | PDF p.18","P2","課堂輪站","人際互動","用「……才怪呢」改寫並互相判斷語氣","同伴能說出語氣效果","","not_provided_in_source"
"E01-011","11","pattern_situation","教材 p.7 | PDF p.18","P2","課堂輪站","人際互動","為句子配情境，再由同伴追問「為什麼」","每組完成一個情境說明","","not_provided_in_source"
"E01-012","12","pattern_discussion","教材 p.7 | PDF p.18","P2","課堂輪站","人際互動","用「話說回來」從正反兩面談姓名選擇","完成兩面觀點的 30 秒表達","","not_provided_in_source"
"E01-013","13","culture_discussion","教材 p.7 | PDF p.18","P3","課堂討論","人際互動","文化問題四角討論：同音、吉利與姓名選擇","小組提交一個文化觀察與例子","","not_provided_in_source"
"E01-014","14","reading_comprehension","教材 p.8 | PDF p.19","P3","課前閱讀＋課堂證據","詮釋理解","課前讀短文，課堂用資訊拼圖回答問題","每人完成一張「觀點—例子」證據表","","not_provided_in_source"
"E01-015","15","paragraph_speaking","教材 p.8 | PDF p.19","P3","課堂短講","表達呈現","用兩個諧音例子完成 60 秒成段敘述","錄下或現場完成一次成段表達","","not_provided_in_source"
"E01-016","16","role_play","教材 p.9 | PDF p.20","P4","課堂核心任務","人際互動＋表達呈現","三至四人「起名兒公司」：訪問客戶、協商條件、提出姓名","90 秒顧問提案＋客戶追問","","not_provided_in_source"
"E01-017","17","classroom_practice","教材 p.9 | PDF p.20","P4","課堂小組延伸","人際互動＋表達呈現","根據演員名字的音與義提出中文名，說明取名理由","小組完成 2 個名字與理由","","not_provided_in_source"
"E01-018","18","survey_report","教材 p.9 | PDF p.20","P4","課堂報告","表達呈現","整理姓名的時代意義、地域特點或美好願望，做小組調查報告","2 分鐘小組報告＋一題同伴提問","","not_provided_in_source"
"E01-019","19","classroom_exchange","教材 p.10 | PDF p.21","P5","課堂核心","人際互動","介紹本國常見姓與名，說明常見原因；先用預習卡交換","完成一次比較型訪談","A01-007","not_provided_in_source"
"E01-020","20","listening_comprehension_questions","教材 p.11 | PDF p.22","P5","課堂核心","詮釋理解","聽對話回答問題，小組先協商再全班核對","每組提交主旨與兩個細節","A01-008","not_provided_in_source"
"E01-021","21","guided_speaking","教材 p.11 | PDF p.22","P5","課堂互動","人際互動","三至五句回答後追問同伴的姓與名","完成一次 4-turn 互動","","not_provided_in_source"
"E01-022","22","listen_repeat_substitute","教材 p.11 | PDF p.22","P5","課堂輪站","人際互動","跟讀替換：把姓氏與稱呼換成班級真實資料","每人完成 3 句替換句","A01-009","not_provided_in_source"
"E01-023","23","dialogue_repetition","教材 p.12 | PDF p.23","P5","課堂核心","人際互動","聽後遮稿重建對話，再交換角色重述","雙人完成一次不看稿重建","A01-010","not_provided_in_source"
"E01-024","24","listening_fill_blank","教材 pp.12, 13 | PDF pp.23, 24","P6","課堂核心","詮釋理解","第一次聽力填關鍵資訊，先個人後小組拼圖","完成關鍵空格與小組共識","A01-011","not_provided_in_source"
"E01-025","25","listening_true_false","教材 p.13 | PDF p.24","P6","課堂核心","詮釋理解","第二次聽力判斷正誤，為答案找音檔依據","每題附一個證據片段或關鍵詞","A01-011","not_provided_in_source"
"E01-026","26","listening_open_response","教材 p.13 | PDF p.24","P6","課堂討論","人際互動","小組整理「老」姓氏造成的麻煩，互相補充例子","小組完成問題—原因—結果表","A01-011","not_provided_in_source"
"E01-027","27","pattern_practice","教材 p.14 | PDF p.25","P6","課堂輪站","人際互動","句式練習改成資訊差任務：每人持有不同姓氏資料","每人完成兩次資訊交換","","not_provided_in_source"
"E01-028","28","culture_discussion","教材 p.14 | PDF p.25","P6","課堂輪站","人際互動","文化問題小組討論：單姓、複姓與姓名來源","小組提出一個比較觀察","","not_provided_in_source"
"E01-029","29","reading_comprehension","教材 pp.14, 15 | PDF pp.25, 26","P6","課前閱讀＋課堂證據","詮釋理解","課前閱讀，課堂以 jigsaw 找到問題答案與文本依據","每組教會新組員一個文本重點","","not_provided_in_source"
"E01-030","30","paragraph_speaking","教材 p.15 | PDF p.26","P6","課堂短講","表達呈現","解釋「張王李趙遍地流（劉）」並談一個熟悉姓氏","60–90 秒成段表達","","not_provided_in_source"
"E01-031","31","research_speaking","教材 p.15 | PDF p.26","P6","課前微研究＋課堂回報","表達呈現","課前準備一位歷史名人，課堂小組拼成 10 姓名人圖","每人 30 秒人物介紹","","not_provided_in_source"
"E01-032","32","pronunciation_reading","教材 pp.15, 16 | PDF pp.26, 27","P6","課堂輪站","表達呈現","朗讀單姓與複姓，再說明自己認識的姓氏","同伴能聽懂並記下 2 個姓氏","","not_provided_in_source"
"E01-033","33","dialogue_reflection","教材 p.16 | PDF p.27","P6","出口任務","人際互動＋反思","讀對話後談體會，回應同伴一個觀點","完成 30 秒反思＋一個追問","","not_provided_in_source"
"E01-034","34","classroom_exchange","教材 p.2 | PDF p.13","P1","課前準備＋課堂開場","人際互動","預先準備姓名意思與來歷，入場後完成同伴訪談","每人完成一張姓名資訊卡","","not_provided_in_source"
"E01-035","35","survey_report","教材 p.2 | PDF p.13","P1|P4","課前田野＋課堂呈現","人際互動＋表達呈現","課前訪問至少三位中文使用者；P1 比較資料，P4 轉成小組報告","資料表＋2 分鐘報告","","not_provided_in_source"
