lesson_id,record_id,record_type,chinese_simplified,pinyin,vietnamese,teacher_review_status,generated_at
lesson-13,T001,text,(dialogue),,,pending,2026-06-04T10:00:00+00:00
lesson-13,V001,vocabulary,没有,méiyǒu,không có,pending,2026-06-04T10:00:00+00:00
lesson-13,V002,vocabulary,箱子,xiāngzi,vali,pending,2026-06-04T10:00:00+00:00
lesson-13,V003,vocabulary,重,zhòng,nặng,pending,2026-06-04T10:00:00+00:00
lesson-13,V004,vocabulary,轻,qīng,nhẹ,pending,2026-06-04T10:00:00+00:00
lesson-13,V005,vocabulary,旧,jiù,cũ,pending,2026-06-04T10:00:00+00:00
lesson-13,V006,vocabulary,黑,hēi,đen,pending,2026-06-04T10:00:00+00:00
lesson-13,V007,vocabulary,红,hóng,đỏ,pending,2026-06-04T10:00:00+00:00
lesson-13,V008,vocabulary,东西,dōngxi,đồ,pending,2026-06-04T10:00:00+00:00
lesson-13,V009,vocabulary,药,yào,thuốc,pending,2026-06-04T10:00:00+00:00
lesson-13,V010,vocabulary,中药,zhōngyào,thuốc đông y,pending,2026-06-04T10:00:00+00:00
lesson-13,V011,vocabulary,茶叶,cháyè,lá trà,pending,2026-06-04T10:00:00+00:00
lesson-13,V012,vocabulary,日用品,rìyòngpǐn,đồ dùng,pending,2026-06-04T10:00:00+00:00
lesson-13,V013,vocabulary,衣服,yīfu,quần áo,pending,2026-06-04T10:00:00+00:00
lesson-13,V014,vocabulary,雨伞,yǔsǎn,ô,pending,2026-06-04T10:00:00+00:00
lesson-13,V015,vocabulary,香水,xiāngshuǐ,nước hoa,pending,2026-06-04T10:00:00+00:00
lesson-13,V016,vocabulary,词典,cídiǎn,từ điển,pending,2026-06-04T10:00:00+00:00
lesson-13,V017,vocabulary,光盘,guāngpán,đĩa CD,pending,2026-06-04T10:00:00+00:00
lesson-13,V018,vocabulary,笔,bǐ,bút,pending,2026-06-04T10:00:00+00:00
lesson-13,G001,grammar,是不是问句,,Câu hỏi 是不是,pending,2026-06-04T10:00:00+00:00
lesson-13,G002,grammar,没有否定,,Phủ định 没有,pending,2026-06-04T10:00:00+00:00
lesson-13,G003,grammar,量词,,Lượng từ cho đồ vật,pending,2026-06-04T10:00:00+00:00
lesson-13,G004,grammar,的 nominalizer,,的 danh từ hóa,pending,2026-06-04T10:00:00+00:00
