lesson_key,content_id,source_section,source_pages,exercise_or_task,ppt_deck,ppt_slides,audio,status,answer_policy,notes
boya-quasi-intermediate-i:lesson-01,L01-VOCAB,vocabulary,教材 P1–2,29个词语和2个专有名词,online,3–33,,covered,source-controlled,逐页一词；词性空白保留
boya-quasi-intermediate-i:lesson-01,L01-E02,vocabulary_comprehension,教材 P3,关于家庭生活的词语,face-to-face,6,1-2,covered,answer_pdf_checked,教材题目为唯一文本来源
boya-quasi-intermediate-i:lesson-01,L01-E03,vocabulary_comprehension,教材 P3,关于工作的词语,face-to-face,7,1-2,covered,answer_pdf_checked,教材题目为唯一文本来源
boya-quasi-intermediate-i:lesson-01,L01-E04,vocabulary_comprehension,教材 P3,关于爱好的词语,face-to-face,PPT未提供,1-2,PPT未提供,answer_pdf_checked,不以推测补齐投影片
boya-quasi-intermediate-i:lesson-01,L01-E05,listening_sentences,教材 P4,听句子判断对错（1–9）,face-to-face,8,1-3,covered,answer_pdf_checked,9题
boya-quasi-intermediate-i:lesson-01,L01-E06,listening_sentences,教材 P4–5,听小对话选择正确答案（1–5）,face-to-face,9,1-4,covered,answer_pdf_checked,5题
boya-quasi-intermediate-i:lesson-01,L01-E07,listening_sentences,教材 P5,听句子回答问题（1–8）,face-to-face,12,1-5,covered,answer_pdf_checked,8题
boya-quasi-intermediate-i:lesson-01,L01-T1-FL,short_text_1,教材 P5–6,来源短文问题（PPT未设置此听力遍次）,online,34–38,1-6,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读与信息记录为准
boya-quasi-intermediate-i:lesson-01,L01-T1-SL,short_text_1,教材 P5–6,来源短文问题（PPT未设置此听力遍次）,online,34–38,1-6,source_only_not_in_ppt,open_no_unique_answer,仅保留来源审核记录；学生材料以PPT阅读与信息记录为准
boya-quasi-intermediate-i:lesson-01,L01-T1-P,short_text_1,教材 P5–6,介绍丽丽6–8句,online+face-to-face,38;21,1-6,covered,open_no_unique_answer,按批准PPT第38、21页；不增加字数要求
boya-quasi-intermediate-i:lesson-01,L01-T1-C,short_text_1,教材 P5–6,读短文并与口语比较,online+face-to-face,38;22,1-6,covered,open_no_unique_answer,不补写标准答案
