record_id,lesson_id,lesson_number,lesson_title,sequence,text_type,title,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,text,audio_asset_ids,glossary_count,review_status,text_fidelity_status,uncertainty,extraction_method,source_file
T01-001,boya-intermediate-i-lesson-01,1,中国人的姓名,1,content_prompt,,5,,16,,S01-004-01,内容提示,老常的妻子给他生了个大胖小子，给孩子起名儿就成了老常生活中的头等大事。他琢磨了两天，终于给孩子想好了一个名字，叫常殊，“殊”是“特殊”的意思，老常希望孩子将来能成为与众不同的人。朋友们在前来祝贺的同时，也不约而同地谈起对这个名字的看法。让我们分别来听听他们的看法吧。,"[""A01-006""]",0,pending_review,,,manual_visual_transcription_from_scan_plus_ocr,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
T01-002,boya-intermediate-i-lesson-01,1,中国人的姓名,2,reading,,8,,19,,S01-006-02,阅读短文，回答问题,"谐音指字词的音相同或相近，是汉语中的一种特殊现象。有时候，一个字或词读出来容易使人产生对另一个字或词的遐想，有时也容易产生误会。
在中国，人们常利用谐音来表达自己的某种愿望，如过年的时候吃鱼表示对生活年年有“余”的渴望；而吃年糕则表示生活水平“年年高”。
从另一个角度来说，人们在利用谐音表达愿望的同时，也会尽量避免谐音带来的不吉利的影响，如恋人不愿把梨分开吃，因为分梨与“分离”谐音；给老人送礼物不能送钟，因为容易使人联想到“送终”这个不吉利的词语。
由于上述原因，中国人在起名字的时候往往十分谨慎，很怕一不小心就与不吉利的字词沾了边儿，让人笑话。不过，人的姓是不能轻易更改的，即使和不吉利的字词发音相同，也没有办法。",,6,pending_review,,,manual_visual_transcription_from_scan_plus_ocr,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
T01-003,boya-intermediate-i-lesson-01,1,中国人的姓名,3,content_prompt,,12,,23,,S01-011-01,内容提示,子随父姓，自古以来就是这样。不管你喜欢不喜欢，你都要姓这个姓。但中国百家姓中有些姓会遇到一些不必要的麻烦，甚至会变成啼笑皆非的笑话。,,0,pending_review,,,manual_visual_transcription_from_scan_plus_ocr,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
T01-004,boya-intermediate-i-lesson-01,1,中国人的姓名,4,reading,,"[14,15]",14–15,"[25,26]",25–26,S01-013-02,阅读短文，回答问题,中国人的姓大多是单姓，如张、王、李、刘等，也有少数人是复姓，如司马、欧阳、诸葛、上官等。中国人姓的来历，主要有以下几种：一是以古代的国名或地名为姓，如齐、鲁、宋、郑、吴、秦、赵、陈等，都是今天常见的姓；二是以古代的官名为姓，如司马、司徒、上官等；还有以职业、技艺为姓，如陶等。中国流行的《百家姓》是北宋时期成书的，里面收集了411个姓氏，后增补到504个，单姓444个，复姓60个。其中张、王、李、赵、陈、杨、吴、刘、黄、周，这10个姓占人口的40%。,,0,pending_review,,,manual_visual_transcription_from_scan_plus_ocr,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
T01-005,boya-intermediate-i-lesson-01,1,中国人的姓名,5,dialogue,,16,,27,,S01-014-04,读对话，谈体会,"A：多音字学多了，慢慢我也摸着一点儿规律了。
B：你摸着什么规律啦？
A：我发现，“中华”的“华”、“城区”的“区”、“菜单”的“单”、“仇恨”的“仇”，这都是常用字吧，可它们都还有一个不常用的读音。
B：它们还念什么？
A：在做姓的时候，“华（huá）”念huà，“区（qū）”念ōu，“单（dān）”念shàn，“仇（chóu）”念qiú。
B：还真是这样。
A：后来我就摸着了这条规律，一看到有常用字做姓的时候，我就想，会不会有别的读音啊？一查字典，还真发现一些多音字。
A：你很会总结经验啊！
B：你还夸我呢？我倒霉就倒霉在这上头了！
A：怎么啦？
B：上学期期末考试，有一位老师到我们班监考。我从课表上知道，这位老师姓石，“石头”的“石”。考试的时候，我有问题想问老师，刚要张口，忽然想起这“石”字还有一个不常用的读音，念dàn，对，这dàn一定是姓，于是我就叫了一声“石（dàn）老师——”
B：好嘛！老师成鸡蛋啦？
A：这一下教室里笑翻了天。那老师一生气，以为我是故意捣乱，把我的考卷拿走了，你说我冤不冤啊！
B：那怪谁呀！",,0,pending_review,,,manual_visual_transcription_from_scan_plus_ocr,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
T02-001,boya-intermediate-i-lesson-02,2,真正的朋友,1,content_prompt,京剧爱好者协会,21,,,,S02-005-01,内容提示,京剧是一门艺术。在很多大学里，都有一些京剧迷，他们组织成立京剧爱好者协会，利用休息时间积极排练，充实自己的业余生活。不过，现在喜欢京剧的年轻人越来越少了，有的京剧爱好者感叹“知音难求”。如果能够遇到一个知己，会让他们喜出望外。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
T02-002,boya-intermediate-i-lesson-02,2,真正的朋友,2,reading,俞伯牙和钟子期,"[23,24]",23–24,,,S02-007-02,阅读短文，回答问题,"古时候，有一个名叫俞伯牙的人，他弹琴弹得非常好，达到很高的艺术境界，遗憾的是没有人能听懂他的音乐。

有一天，他乘船顺江而游，在船上弹起了琴，刚刚弹完一首曲子，就听见山上一个砍柴人称赞说：“弹得真好！多么雄伟的高山啊！”伯牙吃了一惊，又弹了一首曲子，那人听后又称赞说：“多么浩荡的江河啊！”伯牙喜出望外，难得在这么偏僻的地方能有人听懂他的音乐，这真算得上是知音啊！这个砍柴的人就是钟子期。

俞伯牙和钟子期成为最好的朋友。后来钟子期去世了，伯牙非常难过，他把自己的琴摔碎，从此不再弹琴，因为他知道以后再也没有人能听懂他的音乐了，知音是可遇不可求。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
T02-003,boya-intermediate-i-lesson-02,2,真正的朋友,3,content_prompt,真正的朋友,28,,,,S02-013-01,内容提示,什么样的人可以成为自己的朋友？对这个问题，每个人都有自己的答案。有的希望结交思想境界高的朋友，有的希望结交趣味相同的朋友，有的希望对方品学兼优，有的希望对方幽默活泼，但是，几乎没有人不承认，朋友往往是可遇不可求的。,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
T02-004,boya-intermediate-i-lesson-02,2,真正的朋友,4,reading,仁、义、礼、智、信,"[30,31]",30–31,,,S02-015-02,阅读短文，回答问题,"在中国，儒家思想是根深蒂固的。其中一个最重要的思想体系就是“仁、义、礼、智、信”。

“仁”是这一思想体系的核心。仁者，爱人也，也就是说，做人不能只想着自己，要多为别人考虑，能与别人和睦相处。爱别人，也就是爱自己。

“义”指的是情义，在别人遇到困难的时候能伸出手来，帮别人一把，这就是“义”。

“礼”指的是与人交往要讲究礼仪，只有尊敬别人才会受到别人的尊敬。

“智”指的是在日常生活中有辨别是非的能力。

“信”则指人与人之间要守信用，不欺诈。",,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
T03-001,boya-intermediate-i-lesson-03,3,宜居之地,1,content_prompt,海滨城市——三亚,36,,,,S03-005-01,内容提示,放假了，人们都在考虑假期去哪儿玩儿。\n如今，利用假期去旅游的人越来越多。为了能够接待更多的游客，很多旅游胜地盖起了假日酒店、度假村，现代化建筑占用了大片的绿地，对此，你有什么看法呢？,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-03.json
T03-002,boya-intermediate-i-lesson-03,3,宜居之地,2,reading,北京是一座绿色城市,"[38,39]",38–39,,,S03-007-02,阅读短文，回答问题,北京是一座绿色的城市。其标志之一就是树多。\n无论是在公园里，还是在大街上，你会看到各种各样的大树，洋槐、枣树、杨树、柳树等等。\n洋槐大多生长在公园和较大的院落里。春天，树上开满一串串小白花儿。孩子们迫不及待地摘下来塞进嘴里，品尝花儿的清香。\n枣树更是孩子们的所爱。每到秋末，孩子们抬头仰望着由青变红的大枣发呆。直到有一天，大人说：“可以打枣了。”于是大孩子们在大人带领下，或者用长竹竿敲打，或者登梯上房，摇晃树枝；而小孩子们则满地乱跑，把掉在地上的枣一个个捡进篮子里。\n柳树一般种植在河边，而杨树大多排列在道路的两旁。相比于洋槐和枣树，柳树和杨树则不太受孩子们的喜爱。因为每到四五月份，柳絮和杨花儿常常会满天飞舞，一不留神就会眯了眼睛或者钻进鼻孔，让人感觉很难受。,,0,pending_text_fidelity_review,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-03.json
T03-003,boya-intermediate-i-lesson-03,3,宜居之地,3,content_prompt,城市还是农村,42,,,,S03-013-01,内容提示,如果有人问你愿意住在城市还是农村，你怎么回答？无论你的回答是什么，都是有一定道理的。而你父母的想法跟你也有可能是不同的，你说是不是？,,0,visually_confirmed,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-03.json
