lesson_key,content_id,source_section,source_pages,exercise_or_task,audio,items,answer_policy,status,notes
boya-quasi-intermediate-i:lesson-02,L02-VOCAB,vocabulary,教材 P12–13,29个词语（L02-V01–L02-V29）,2-1,29,source-controlled,draft,一页一个词语；不知不觉词性空白保留
boya-quasi-intermediate-i:lesson-02,L02-E01,vocabulary_comprehension,教材 P13–14,听词语、看图选择并跟读（三组）,2-2,11,answer_pdf_checked,draft,图片标签与答案来自canonical source
boya-quasi-intermediate-i:lesson-02,L02-E02,listening_sentences,教材 P14–15,听句子判断对错（1–10）,2-3,10,answer_pdf_checked,draft,题目与闭合答案来自答案PDF
boya-quasi-intermediate-i:lesson-02,L02-E03,listening_dialogue,教材 P15,听小对话选择正确答案（1–5）,2-4,5,answer_pdf_checked,draft,保留教材对话原文
boya-quasi-intermediate-i:lesson-02,L02-E04,short_text_1,教材 P15,短文一第一遍听力问题（1–5）,2-5,5,open_no_unique_answer,draft,听后回答王红学校生活
boya-quasi-intermediate-i:lesson-02,L02-E05,short_text_1,教材 P16,短文一第二遍用词语说两三个句子,2-5,2,open_no_unique_answer,draft,不少于20字
boya-quasi-intermediate-i:lesson-02,L02-E06,short_text_2,教材 P17,短文二第一遍听力问题（1–4）,2-6,4,open_no_unique_answer,draft,听后回答生日午餐
boya-quasi-intermediate-i:lesson-02,L02-E07,short_text_2,教材 P17,短文二第二遍用词语说两三个句子,2-6,2,open_no_unique_answer,draft,不少于20字
boya-quasi-intermediate-i:lesson-02,L02-E08,short_text_2,教材 P17–18,王红的生日午餐：先说、补充、总结,,1,open_no_unique_answer,draft,4–6句→补充→6–8句总结
boya-quasi-intermediate-i:lesson-02,L02-E09,short_text_3,教材 P18,短文三第一遍听力问题（1–3）,2-7,3,open_no_unique_answer,draft,2-7用户恢复音频；语义核对待完成
boya-quasi-intermediate-i:lesson-02,L02-E10,short_text_3,教材 P19,短文三第二遍用词语说两三个句子,2-7,2,open_no_unique_answer,draft,不少于20字
boya-quasi-intermediate-i:lesson-02,L02-E11,short_text_3,教材 P18–19,大家一起谈谈王红的课外活动,,1,open_no_unique_answer,draft,4–6句→补充→6–8句总结
boya-quasi-intermediate-i:lesson-02,L02-EXP01–05,common_expressions_school_life,教材 P16–17,学校生活常用表达5项,,5,open_personal_sentence,draft,以教材例句为情境；不设唯一答案
boya-quasi-intermediate-i:lesson-02,L02-EXP06–15,common_expressions_extra_curricular,教材 P18–20,课外生活常用表达10项,,10,open_personal_sentence,draft,以教材例句为情境；不设唯一答案
boya-quasi-intermediate-i:lesson-02,L02-E12,comprehensive_practice,教材 P20,根据三段短文填王红一天的安排表,2-5;2-6;2-7,1,open_table_teacher_check,draft,表格由教师依据听力证据核对
boya-quasi-intermediate-i:lesson-02,L02-E13,comprehensive_practice,教材 P20,谈学校生活、生日午餐和课外活动,,1,open_presentational_task,draft,先6–8句再小组补充，最后8–10句
boya-quasi-intermediate-i:lesson-02,L02-E14,comprehensive_practice,教材 P21,谈自己的学校生活、难忘生日和课外活动,,1,open_presentational_task,draft,8–10句，不少于80字
