lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,word_type_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
pinyin-l1,Pinyin · Bài 1,C001,outline,Mục lục,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,3,3,1,,,Khái niệm về pinyin; thanh mẫu; vận mẫu; thanh điệu; từ vựng; thử thách bản thân,,Hôm nay bạn sẽ học những gì? Nội dung...,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,C002,concept,Khái niệm pinyin,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,4,4,2,拼音,pīnyīn,Phiên âm tiếng Trung; công cụ giúp đọc chữ Hán và luyện phát âm,danh từ,Vì sao chúng ta nên học pinyin? Phiên âm / Chữ Hán / hǎo / nǐ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,C003,concept,Khái niệm pinyin,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,5,5,3,声母,shēng mǔ,Thanh mẫu: phụ âm đầu trong âm tiết tiếng Trung,danh từ,Thanh mẫu là phụ âm trong tiếng Trung. Nó luôn đứng trước một phiên âm.,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,C004,concept,Khái niệm pinyin,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,5,5,4,韵母,yùn mǔ,"Vận mẫu: phần vần/nguyên âm, thành phần thiết yếu của âm tiết",danh từ,"Vận mẫu là nguyên âm trong tiếng Trung, được xem là thành phần thiết yếu của một âm tiết.",student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,C005,concept,Khái niệm pinyin,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,5,5,5,声调,shēng diào,Thanh điệu: dấu giọng làm thay đổi nghĩa của từ,danh từ,"Trong tiếng Trung có 4 thanh điệu chính, được biểu thị bằng dấu.",student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,P001,pinyin_table,Phát âm,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,6,6,6,发音,fāyīn,Ghép thanh mẫu b/p/m/f với vận mẫu a/o/e/i/u/ü; vận mẫu er không ghép với thanh mẫu,,Kết hợp đọc thanh mẫu và vận mẫu theo như bảng. er không ghép được với bất kỳ thanh mẫu nào.,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,P002,initials,Thanh mẫu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,6,6,7,,b p m f,"Nhóm thanh mẫu đầu bài: b, p, m, f",,b ba bo bi bu; p pa po pi pu; m ma mo me mi mu; f fa fo fu,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,P003,finals,Vận mẫu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,6,6,8,,a o e i u ü er,"Nhóm vận mẫu đầu bài: a, o, e, i, u, ü, er",,a o e i u ü; er special final,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,P004,spelling_rule,Quy tắc viết pinyin,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,7,7,9,拼写规则,i → yi; u → wu; ü → yu,Khi i/u/ü đứng độc lập thành âm tiết: thêm y/w theo quy tắc và bỏ hai chấm của ü khi viết yu,,i → yi; u → wu; ü → yu,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,T001,tone,Thanh điệu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,8,8,10,妈,mā,Thanh 1: cao và ngang (55),ví dụ,妈 mā thanh 1 55,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,T002,tone,Thanh điệu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,8,8,11,麻,má,Thanh 2: đi lên (35),ví dụ,麻 má thanh 2 35,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,T003,tone,Thanh điệu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,8,8,12,马,mǎ,Thanh 3: xuống rồi lên (214),ví dụ,马 mǎ thanh 3 214,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,T004,tone,Thanh điệu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,8,8,13,骂,mà,Thanh 4: xuống mạnh (51),ví dụ,骂 mà thanh 4 51,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,T005,tone,Thanh điệu,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,8,8,14,吗,ma,Thanh nhẹ: không ghi dấu,ví dụ,吗 ma thanh nhẹ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,E001,exercise,Luyện tập,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,9,9,15,练习,,Nghe và chọn đáp án đúng cho mỗi câu,,Nghe và chọn đáp án đúng cho mỗi câu.,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V001,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,16,不,bù,không; chẳng,phó từ,不 bù,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V002,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,17,笔,bǐ,bút,danh từ,笔 bǐ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V003,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,18,雨,yǔ,mưa,danh từ,雨 yǔ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V004,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,19,鱼,yú,cá,danh từ,鱼 yú,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V005,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,20,一,yī,một,số từ,一 yī,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V006,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,21,二,èr,hai,số từ,二 èr,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V007,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,22,饿,è,đói,tính từ / động từ trạng thái,饿 è,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V008,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,10,10,23,鹅,é,ngỗng,danh từ,鹅 é,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,E002,exercise,Luyện tập,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,11,11,24,练习,,Nghe và chọn đáp án đúng cho mỗi câu,,Nghe và chọn đáp án đúng cho mỗi câu.,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V009,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,25,服务,fú wù,phục vụ; dịch vụ,động từ / danh từ,服务 fú wù,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V010,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,26,衣服,yī fu,quần áo,danh từ,衣服 yī fu,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V011,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,27,五,wǔ,năm,số từ,五 wǔ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V012,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,28,怕,pà,sợ,động từ / tính từ,怕 pà,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V013,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,29,妈妈,mā ma,mẹ,danh từ,妈妈 mā ma,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V014,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,30,父母,fù mǔ,bố mẹ; cha mẹ,danh từ,父母 fù mǔ,student_visible,pending_review,,,2026-05-08T18:11:33
pinyin-l1,Pinyin · Bài 1,V015,vocabulary,Từ vựng,/Users/ssyan110/.hermes/cache/documents/doc_6df651b622fb_pinyin-l1.14102024210713.pdf,12,12,31,婆婆,pó po,mẹ chồng; bà nội/bà ngoại theo ngữ cảnh,danh từ,婆婆 pó po,student_visible,pending_review,,,2026-05-08T18:11:33
