lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,word_type_vi,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V001,vocabulary,Từ vựng,work/pdf-pages/,31,31-32,1,忙,máng,bận,tính từ,mang,hěn máng,很忙,rất bận,"忙 (形) máng (mang) busy bận",student_visible,pending,,Kiểm tra: thanh điệu máng (thanh 2),2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V002,vocabulary,Từ vựng,work/pdf-pages/,31,31-32,2,吗,ma,trợ từ nghi vấn,trợ từ,ma,nǐ hǎo ma,你好吗,Bạn khỏe không?,"吗 (助) ma (ma) (a particle used at the end of a question) trợ từ nghi vấn",student_visible,pending,,Thanh nhẹ — không dấu,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V003,vocabulary,Từ vựng,work/pdf-pages/,31,31-32,3,很,hěn,rất,phó từ,"ngận, hận",hěn hǎo,很好,rất tốt,"很 (副) hěn (ngận) very rất",student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V004,vocabulary,Từ vựng,work/pdf-pages/,31,31-32,4,汉语,Hànyǔ,"tiếng Hán, tiếng Hoa",danh từ,Hán ngữ,xué Hànyǔ,学汉语,học tiếng Hán,"汉语 (名) Hànyǔ (Hán ngữ) Chinese; Chinese language tiếng Hán, tiếng Hoa",student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V005,vocabulary,Từ vựng,work/pdf-pages/,31,31-32,5,难,nán,khó,tính từ,nan,hěn nán,很难,rất khó,"难 (形) nán (nan) hard; difficult khó",student_visible,pending,,Kiểm tra: thanh điệu nán (thanh 2),2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V006,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,6,太,tài,"hơi, quá, lắm",phó từ,thái,tài nán,太难,quá khó,"太 (副) tài (thái) excessively; too; over hơi, quá, lắm",student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V007,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,7,爸爸,bàba,"bố, ba",danh từ,ba ba,wǒ bàba,我爸爸,bố tôi,"爸爸 (名) bàba (ba ba) dad bố, ba",student_visible,pending,,Thanh nhẹ ở âm tiết thứ 2,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V008,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,8,妈妈,māma,"mẹ, má",danh từ,ma ma,wǒ māma,我妈妈,mẹ tôi,"妈妈 (名) māma (ma ma) mum mẹ, má",student_visible,pending,,Thanh nhẹ ở âm tiết thứ 2,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V009,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,9,他,tā,"anh ta, ông ấy",đại từ,tha,tā hěn máng,他很忙,anh ấy rất bận,"他 (代) tā (tha) he; him anh ta, ông ấy",student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V010,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,10,她,tā,"cô ta, bà ấy",đại từ,tha,tā hěn hǎo,她很好,cô ấy rất tốt,"她 (代) tā (tha) she; her cô ta, bà ấy",student_visible,pending,,Cùng pinyin với 他 nhưng khác chữ,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V011,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,11,男,nán,"nam giới, con trai",tính từ,nam,nán shēng,男生,nam sinh,"男 (形) nán (nam) male nam giới, con trai",student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V012,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,12,哥哥,gēge,anh trai,danh từ,ca ca,wǒ gēge,我哥哥,anh trai tôi,"哥哥 (名) gēge (ca ca) elder brother anh trai",student_visible,pending,,Thanh nhẹ ở âm tiết thứ 2,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V013,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,13,弟弟,dìdi,em trai,danh từ,đệ đệ,wǒ dìdi,我弟弟,em trai tôi,"弟弟 (名) dìdi (đệ đệ) younger brother em trai",student_visible,pending,,Thanh nhẹ ở âm tiết thứ 2,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,V014,vocabulary,Từ vựng,work/pdf-pages/,32,31-32,14,妹妹,mèimei,em gái,danh từ,muội muội,wǒ mèimei,我妹妹,em gái tôi,"妹妹 (名) mèimei (muội muội) younger sister em gái",student_visible,pending,,Thanh nhẹ ở âm tiết thứ 2,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,T001,text,Bài đọc,work/pdf-pages/,31,31,15,"A: 你忙吗? B: 很忙。A: 汉语难吗? B: 不太难。","A: Nǐ máng ma? B: Hěn máng. A: Hànyǔ nán ma? B: Bù tài nán.","A: Bạn bận không? B: Rất bận. A: Tiếng Hán khó không? B: Không khó lắm.",,,,,课文: 你忙吗? 很忙。汉语难吗? 不太难。,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,N001,phonetics_note,Ngữ âm,work/pdf-pages/,33,33-34,16,轻声,qīngshēng,Thanh nhẹ (neutral tone),,,,,"注释: 轻声 — āma bàba dìdi gēge mèimei",student_visible,pending,,Giải thích thanh nhẹ + ví dụ,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,N002,phonetics_note,Ngữ âm,work/pdf-pages/,33,33-34,17,半三声,bàn sān shēng,Nửa thanh ba (half 3rd tone),,,,,"注释: 半三声 — hěn máng hěn nán nǐ hē hǎo ma",student_visible,pending,,Giải thích nửa thanh 3 + ví dụ,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E001,exercise,Bài tập,work/pdf-pages/,34,34-35,18,声调练习,shēngdiào liànxí,Luyện thanh điệu,,,,,声调练习: tā máng hěn nán Hànyǔ bàba māma gēge mèimei dìdi,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E002,exercise,Bài tập,work/pdf-pages/,34,34-35,19,轻声练习,qīngshēng liànxí,Luyện thanh nhẹ,,,,,轻声: māma gēge tāde tāmen hóngde mángma tàima báide,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E003,exercise,Bài tập,work/pdf-pages/,34,34-35,20,半三声练习,bàn sān shēng liànxí,Luyện nửa thanh ba,,,,,半三声: hěn gāo hěn nán hěn dà hǎo ba nǐ hē nǐ lái mǐfàn hǎo le,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E004,exercise,Bài tập,work/pdf-pages/,35,34-36,21,辨音辨调,biànyīn biàndiào,"Phân biệt âm, thanh điệu",,,,,辨音辨调: bàngōng bànkōng dònghóng tónghóng hěnnán hěnlán hánlěng kěnéng,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E005,exercise,Bài tập,work/pdf-pages/,35,34-36,22,认读,rèndú,Nhận biết chữ Hán và đọc,,,,,认读: 爸爸 妈妈 好吗 忙吗 难吗 很好 很忙 很大 很难 + hội thoại mẫu,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E006,exercise,Bài tập,work/pdf-pages/,35,34-36,23,回答问题,huídá wèntí,Trả lời câu hỏi,,,,,回答问题: Nǐ máng ma? Hànyǔ nán ma? Nǐ bàba hǎo ma? Tā máng ma?,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E007,exercise,Bài tập,work/pdf-pages/,35-36,34-36,24,完成会话,wánchéng huìhuà,Hoàn thành hội thoại,,,,,完成会话: 3 hội thoại cần điền phần thiếu,student_visible,pending,,,2026-06-02T10:00:00+00:00
lesson-02,第二课 · 汉语不太难 · Bài 2 · Tiếng Hán không khó lắm,E008,exercise,Bài tập,work/pdf-pages/,36,34-36,25,写汉字,xiě hànzì,Tập viết chữ Hán,,,,,写汉字: các chữ Hán bài 2 (xác nhận khi review),student_visible,pending,,,2026-06-02T10:00:00+00:00
