chinese_simplified,pinyin_variants,lesson_record_count,lessons,record_ids,textbook_pages,marked_in_any_lesson,part_of_speech,meaning_chinese_from_source,review_statuses,source_file_count
一干二净,yìgān-èrjìng,1,第3课 宜居之地,V03-009,32,False,,,pending_text_fidelity_review,1
一无所有,yīwúsuǒyǒu,1,第8课 学汉语的苦恼,V08-040,120,False,,,pending_text_fidelity_review,1
一无所长,yīwúsuǒcháng,1,第7课 我的同事,V07-025,97,True,,,pending_review,1
三点水旁,sāndiǎnshuǐpáng,1,第8课 学汉语的苦恼,V08-005,111,False,,,pending_text_fidelity_review,1
上年纪,shàng niánjì,1,第3课 宜居之地,V03-031,40,True,,,pending_text_fidelity_review,1
下辈子,xià bèizi,1,第6课 挑战,V06-016,80,False,,,visually_confirmed,1
不再,bú zài,1,第2课 真正的朋友,V02-010,17,False,,,visually_confirmed,1
不屈,bùqū,1,第6课 挑战,V06-019,80,True,,,visually_confirmed,1
不屑,búxiè,1,第7课 我的同事,V07-026,97,True,,,pending_review,1
不由得,bùyóude,1,第1课 中国人的姓名,V01-024,10,True,,,pending_review,1
不简单,bù jiǎndān,1,第8课 学汉语的苦恼,V08-011,111,False,,,pending_text_fidelity_review,1
不约而同,búyuē'értóng,1,第1课 中国人的姓名,V01-013,2,True,,,pending_review,1
与众不同,yǔzhòng-bùtóng,1,第1课 中国人的姓名,V01-012,2,False,,,pending_review,1
世人,shìrén,1,第6课 挑战,V06-052,88,False,,,visually_confirmed,1
丛林,cónglín,1,第3课 宜居之地,V03-027,33,False,,,pending_text_fidelity_review,1
两码事,liǎngmǎshì,1,第4课 地球人的担忧,V04-040,55,False,,,pending_text_fidelity_review,1
丧失,sàngshī,1,第6课 挑战,V06-033,88,False,,,visually_confirmed,1
丰盛,fēngshèng,1,第7课 我的同事,V07-007,96,True,,,pending_review,1
丹麦,Dānmài,1,第8课 学汉语的苦恼,V08-031,119,False,,,pending_text_fidelity_review,1
举办,jǔbàn,1,第8课 学汉语的苦恼,V08-044,120,False,,,pending_text_fidelity_review,1
乐团,yuètuán,1,第5课 音乐的魅力,V05-010,63,False,,,visually_confirmed,1
乔木,qiáomù,1,第3课 宜居之地,V03-017,33,True,,,pending_text_fidelity_review,1
交响乐,jiāoxiǎngyuè,1,第5课 音乐的魅力,V05-007,63,True,,,visually_confirmed,1
交往,jiāowǎng,1,第1课 中国人的姓名,V01-032,10,False,,,pending_review,1
享（清福）,xiǎng (qīngfú),1,第3课 宜居之地,V03-037,40,False,,,pending_text_fidelity_review,1
亭子,tíngzi,1,第2课 真正的朋友,V02-020,18,False,,,visually_confirmed,1
亲临,qīnlín,1,第6课 挑战,V06-035,88,False,,,visually_confirmed,1
亲热,qīnrè,1,第1课 中国人的姓名,V01-034,10,False,,,pending_review,1
人为,rénwéi,1,第4课 地球人的担忧,V04-035,54,False,,,pending_text_fidelity_review,1
人心惶惶,rénxīn-huánghuáng,1,第4课 地球人的担忧,V04-041,55,False,,,pending_text_fidelity_review,1
人烟稀少,rényān-xīshǎo,1,第5课 音乐的魅力,V05-018,64,False,,,visually_confirmed,1
人生,rénshēng,1,第2课 真正的朋友,V02-042,26,False,,,visually_confirmed,1
人间,rénjiān,1,第2课 真正的朋友,V02-041,26,False,,,visually_confirmed,1
从何谈起,cóng hé tán qǐ,1,第2课 真正的朋友,V02-032,25,False,,,visually_confirmed,1
从小,cóngxiǎo,1,第1课 中国人的姓名,V01-005,1,False,,,pending_review,1
优美,yōuměi,1,第6课 挑战,V06-040,88,True,,,visually_confirmed,1
传染,chuánrǎn,1,第4课 地球人的担忧,V04-029,47,False,,,pending_text_fidelity_review,1
伤亡,shāngwáng,1,第4课 地球人的担忧,V04-052,55,False,,,pending_text_fidelity_review,1
伴随,bànsuí,1,第4课 地球人的担忧,V04-064,56,False,,,pending_text_fidelity_review,1
低调,dīdiào,1,第1课 中国人的姓名,V01-018,2,False,,,pending_review,1
体力,tǐlì,1,第4课 地球人的担忧,V04-004,46,False,,,pending_text_fidelity_review,1
体现,tǐxiàn,1,第8课 学汉语的苦恼,V08-028,112,False,,,pending_text_fidelity_review,1
佩服,pèifú,1,第7课 我的同事,V07-016,97,True,,,pending_review,1
依山靠海,yīshān-kàohǎi,1,第3课 宜居之地,V03-012,32,True,,,pending_text_fidelity_review,1
保障,bǎozhàng,1,第4课 地球人的担忧,V04-039,55,False,,,pending_text_fidelity_review,1
信任,xìnrèn,1,第2课 真正的朋友,V02-031,25,False,,,visually_confirmed,1
倾听,qīngtīng,1,第5课 音乐的魅力,V05-021,64,False,,,visually_confirmed,1
假日,jiàrì,1,第3课 宜居之地,V03-021,33,False,,,pending_text_fidelity_review,1
假期,jiàqī,1,第3课 宜居之地,V03-018,33,False,,,pending_text_fidelity_review,1
偏偏,piānpiān,1,第1课 中国人的姓名,V01-026,10,True,,,pending_review,1
偏旁,piānpáng,1,第8课 学汉语的苦恼,V08-003,111,False,,,pending_text_fidelity_review,1
停顿,tíngdùn,1,第6课 挑战,V06-046,88,False,,,visually_confirmed,1
健全,jiànquán,1,第3课 宜居之地,V03-039,40,False,,,pending_text_fidelity_review,1
健美,jiànměi,1,第6课 挑战,V06-004,79,True,,,visually_confirmed,1
偶像,ǒuxiàng,1,第6课 挑战,V06-001,79,True,,,visually_confirmed,1
储存,chǔcún,1,第4课 地球人的担忧,V04-062,56,False,,,pending_text_fidelity_review,1
傻里傻气,shǎlishǎqì,1,第7课 我的同事,V07-002,96,True,,,pending_review,1
像样儿,xiàng yàngr,1,第7课 我的同事,V07-028,97,True,,,pending_review,1
像模像样,xiàngmú-xiàngyàng,1,第5课 音乐的魅力,V05-040,71,False,,,visually_confirmed,1
