lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,related_rule_id,script_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_06,P1,,1,lesson_cover,page_l6_01,封面,,,,lesson_page,,第六課課程封面。,,,,,,true,true,false,,false,
pinyin_lesson_06,P2,,2,learning_objective,page_l6_02,學習目標,,,,lesson_page,,說明本課要學 ia/iao/ian/iang/iong、ua/uo/uai/uan/uang/üan、含聲調拼讀、詞彙發音與字義、üan 拼寫變化。,,,,,,true,true,false,,false,
pinyin_lesson_06,P3,,3,warmup_activity,page_l6_03,暖身活動：複習第五課生詞,,,,lesson_page,,複習第五課生詞；活動可用連連看或聽音猜意 flash card。,,,,,,true,true,false,,false,
pinyin_lesson_06,P4,,4,pinyin_learning_cover,page_l6_04,拼音學習封面 1：ia iao ian iang iong,,,,lesson_page,,進入第一組 i 開頭複合韻母學習段落。,,,,,,true,true,false,,false,
pinyin_lesson_06,P5,,5,pinyin_chart,pinyin_chart_l6_group_1,拼音學習表格 1：全部聲母 + ia iao ian iang iong,,,,lesson_page,,建立 21 聲母與 ia/iao/ian/iang/iong 的拼讀組合。,,,pinyin_chart_l6_group_1,,,true,true,false,false,false,
pinyin_lesson_06,P6,,6,pinyin_exercise,page_l6_06,拼音練習 1,,,,lesson_page,,第一組韻母拼讀練習，含聲調。,,,pinyin_chart_l6_group_1,,,true,true,false,true,false,
pinyin_lesson_06,P7,,7,vocabulary_set,vocab_set_l6_01,詞彙 1,,,,lesson_page,,家、下、腳、小、電、錢、香、窮。,,vocab_set_l6_01,,,,true,true,false,,false,
pinyin_lesson_06,P8,,8,vocab_exercise,page_l6_08,詞彙練習 1,,,,lesson_page,,詞彙 1 的發音與字義練習。,,vocab_set_l6_01,,,,true,true,false,,false,
pinyin_lesson_06,P9,,9,pinyin_learning_cover,page_l6_09,拼音學習封面 2：ua uo uai uan uang üan,,,,lesson_page,,進入第二組 u/ü 開頭複合韻母學習段落。,,,,,,true,true,false,,false,
pinyin_lesson_06,P10,,10,pinyin_chart,pinyin_chart_l6_group_2,拼音學習表格 2：全部聲母 + ua uo uai uan uang üan,,,,lesson_page,,建立 21 聲母與 ua/uo/uai/uan/uang/üan 的拼讀組合。,,,pinyin_chart_l6_group_2,rule_l6_jqx_uan_umlaut,,true,true,false,false,false,
pinyin_lesson_06,P11,,11,pinyin_exercise,page_l6_11,拼音練習 2,,,,lesson_page,,第二組韻母拼讀練習，含聲調。,,,pinyin_chart_l6_group_2,,,true,true,false,true,false,
pinyin_lesson_06,P12,,12,vocabulary_set,vocab_set_l6_02,詞彙 2,,,,lesson_page,,花、黃瓜、多、說、壞、快、船、床。,,vocab_set_l6_02,,,,true,true,false,,false,
pinyin_lesson_06,P13,,13,vocab_exercise,page_l6_13,詞彙練習 2,,,,lesson_page,,詞彙 2 的發音與字義練習。,,vocab_set_l6_02,,,,true,true,false,,false,
pinyin_lesson_06,P14,,14,spelling_rule,rule_l6_jqx_uan_umlaut,規則：üan 的變化,,,,lesson_page,,學習 j/q/x + üan 時，拼寫為 juan/quan/xuan。,,,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,發音仍與 üan 有關，拼寫省略 ü 上兩點。
pinyin_lesson_06,P15,,15,vocabulary_set,vocab_set_l6_03,詞彙 3,,,,lesson_page,,春卷、安全、選。,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,春卷依使用者原字形保留，之後可確認是否改為繁體「春捲」。
pinyin_lesson_06,P16,,16,vocab_exercise,page_l6_16,詞彙練習 3,,,,lesson_page,,詞彙 3 的發音與字義練習。,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,
