lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,word_type_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V001,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,1,你,nǐ,"anh, chị, bạn, ông, bà...",đại từ,"你 (代) nǐ (nhi) you (singular) anh, chị, bạn, ông, bà...",student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V002,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,2,好,hǎo,"tốt, đẹp, hay, ngon",tính từ,"好 (形) hǎo (hảo) good; fine tốt, đẹp, hay, ngon",student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V003,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,3,你好,nǐ hǎo,Xin chào,thành ngữ,你好 nǐ hǎo Hello! xin chào,student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V004,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,4,一,yī,một,số từ,一 (数) yī (nhất) one một,student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V005,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,5,五,wǔ,năm,số từ,五 (数) wǔ (ngũ) five năm,student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V006,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,6,八,bā,tám,số từ,八 (数) bā (bát) eight tám,student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V007,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,7,大,dà,"to, lớn",tính từ,"大 (形) dà (đại) big to, lớn",student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V008,vocabulary,Từ vựng,work/pdf-pages/,19,19-20,8,不,bù,"không, chẳng",phó từ,"不 (副) bù (bất) not không, chẳng",student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V009,vocabulary,Từ vựng,work/pdf-pages/,20,19-20,9,口,kǒu,miệng; nhân khẩu,"danh từ, lượng từ","口 (名、量) kǒu (khẩu) mouth; (a classifier for family members) miệng, nhân khẩu",student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
lesson-01,第一课 · 你好 · Bài 1 · Xin chào,V010,vocabulary,Từ vựng,work/pdf-pages/,20,19-20,10,白,bái,trắng,tính từ,白 (形) bái (bạch) white trắng,student_visible,approved,TRUE,,2026-05-21T08:10:27+00:00
