record_id,汉字,拼音,越南文释义,释义来源,状态
V01-001,起名儿,qǐ míngr,đặt tên,CC-CEDICT 外部词典整理,external_draft_for_review
V01-002,警告,jǐnggào,cảnh báo,CC-CEDICT 外部词典整理,external_draft_for_review
V01-003,愣,lèng,ngẩn người,CC-CEDICT 外部词典整理,external_draft_for_review
V01-004,惊讶,jīngyà,ngạc nhiên,CC-CEDICT 外部词典整理,external_draft_for_review
V01-005,从小,cóngxiǎo,từ nhỏ,CC-CEDICT 外部词典整理,external_draft_for_review
V01-006,吃苦,chīkǔ,chịu khổ,CC-CEDICT 外部词典整理,external_draft_for_review
V01-007,怨,yuàn,trách móc,CC-CEDICT 外部词典整理,external_draft_for_review
V01-008,琢磨,zuómo,suy nghĩ kỹ,CC-CEDICT 外部词典整理,external_draft_for_review
V01-009,费尽心机,fèijìn-xīnjī,vắt óc,CC-CEDICT 外部词典整理,external_draft_for_review
V01-010,莫名其妙,mòmíngqímiào,khó hiểu,CC-CEDICT 外部词典整理,external_draft_for_review
V01-011,困惑不解,kùnhuò-bùjiě,hoang mang,CC-CEDICT 外部词典整理,external_draft_for_review
V01-012,与众不同,yǔzhòng-bùtóng,khác biệt,CC-CEDICT 外部词典整理,external_draft_for_review
V01-013,不约而同,búyuē'értóng,"cùng làm, không hẹn",CC-CEDICT 外部词典整理,external_draft_for_review
V01-014,发音,fāyīn,phát âm,CC-CEDICT 外部词典整理,external_draft_for_review
V01-015,头等大事,tóuděng dàshì,việc quan trọng nhất,CC-CEDICT 外部词典整理,external_draft_for_review
V01-016,别扭,bièniu,gượng gạo,CC-CEDICT 外部词典整理,external_draft_for_review
V01-017,糟,zāo,tệ,CC-CEDICT 外部词典整理,external_draft_for_review
V01-018,低调,dīdiào,kín tiếng,CC-CEDICT 外部词典整理,external_draft_for_review
V01-019,小子,xiǎozi,cậu nhóc,CC-CEDICT 外部词典整理,external_draft_for_review
V01-020,同音,tóngyīn,đồng âm,CC-CEDICT 外部词典整理,external_draft_for_review
V01-021,游戏,yóuxì,trò chơi,CC-CEDICT 外部词典整理,external_draft_for_review
V01-022,居然,jūrán,vậy mà,CC-CEDICT 外部词典整理,external_draft_for_review
V01-023,好奇,hàoqí,tò mò,CC-CEDICT 外部词典整理,external_draft_for_review
V01-024,不由得,bùyóude,không khỏi,CC-CEDICT 外部词典整理,external_draft_for_review
V01-025,祖宗,zǔzōng,tổ tiên,CC-CEDICT 外部词典整理,external_draft_for_review
V01-026,偏偏,piānpiān,lại cứ,CC-CEDICT 外部词典整理,external_draft_for_review
V01-027,操心,cāoxīn,lo lắng,CC-CEDICT 外部词典整理,external_draft_for_review
V01-028,啼笑皆非,tíxiào-jiēfēi,dở khóc dở cười,CC-CEDICT 外部词典整理,external_draft_for_review
V01-029,少见,shǎojiàn,hiếm gặp,CC-CEDICT 外部词典整理,external_draft_for_review
V01-030,尊称,zūnchēng,cách gọi kính trọng,CC-CEDICT 外部词典整理,external_draft_for_review
V01-031,称呼,chēnghu,xưng hô,CC-CEDICT 外部词典整理,external_draft_for_review
V01-032,交往,jiāowǎng,giao tiếp,CC-CEDICT 外部词典整理,external_draft_for_review
V01-033,自古,zìgǔ,từ xưa,CC-CEDICT 外部词典整理,external_draft_for_review
V01-034,亲热,qīnrè,thân mật,CC-CEDICT 外部词典整理,external_draft_for_review
