material_id,name,audience,periods,source_refs,contents,format,production_dependency
"TM-01","第一課教師手冊","教師","P1–P6","全課","每分鐘流程、教材頁碼、音檔、分組、活動規則、教師提示、即時修補、評量與答案政策","DOCX source + printable PDF","PPTX 製作前完成規格；PPTX 完成後對齊 speaker notes"
"PREP-A","課前預習卡 A：姓名","學生","P1–P4","E01-034、E01-035；pp.1–9；1-1–1-6","快速閱讀、音檔接觸、姓名資訊卡、三個卡點、一個命名問題","可列印 PDF／可編輯 PPTX 原稿","P1 前發放"
"PREP-B","課前預習卡 B：姓氏","學生","P5–P6","E01-019、E01-031、E01-032；pp.10–16；2-1–2-5","本國姓氏比較、歷史人物微研究、朗讀準備、一個追問","可列印 PDF／可編輯 PPTX 原稿","P4 結束時發放"
"ACT-01","姓名訪談旋轉卡","學生小組","P1–P2","E01-003、E01-034、E01-035","訪問者／回答者／觀察者角色、問題卡、記錄欄、追問提示","可裁切列印卡","與 PPT slide 7–16 對齊"
"ACT-02","起名兒公司角色與客戶卡","學生小組","P4","E01-016","客戶背景、性別、字數、讀音、字義、風格與文化條件；角色分工","可裁切列印卡","P4 前準備"
"ACT-03","電影演員中文名活動卡","學生小組","P4","E01-017","演員資料、命名空間、音義說明欄、同伴追問","可列印活動卡","與 PPT slide 43–44 對齊"
"ACT-04","姓氏資訊站卡","學生小組","P6","E01-027–E01-032","句式站、文化站、閱讀站、朗讀／人物研究站的任務與輪換規則","站點卡＋教師配置表","P6 前分站"
"ACT-05","調查與研究表","學生小組","P1、P4、P6","E01-018、E01-031、E01-035","姓名資料分類、歷史人物欄位、資料來源／訪談記錄、報告大綱","可列印表單","與預習卡及報告 slide 對齊"
"ASSESS-01","同儕回饋與短講 rubric","學生／教師","P3–P6","E01-015、E01-016、E01-018、E01-030、E01-031","訊息、互動、可理解度、連貫、理由／證據、一次重做目標","半頁列印表","PPT speaker notes 使用同一欄位"
"ASSESS-02","Exit tickets 與 Can-Do 檢核","學生／教師","P1–P6","形成性評量","本節我能……、聽力證據、仍需確認、下一步語言目標","六張半頁卡或一份可裁切 PDF","每節結束收回／拍照紀錄"
"ASSET-01","音檔與版本 manifest","教師／製作","P1–P6","1-1–1-6、2-1–2-5","音檔 track、教材區段、PPT slide、嵌入狀態、SHA-256、備援策略","JSON／CSV internal","PPTX export 與 audio QA 前完成"
