record_id,source_page,source_page_range,source_pdf_page_range,source_pdf_page,source_pdf,section,record_type,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,raw_source_text,teaching_order,slide_number,classroom_visibility,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi
V001,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,你,nǐ,bạn,you (singular),đại từ,代,nhĩ,你 (代) nǐ (nhi) you (singular) bạn,1,5,student_visible,nǐ hǎo,你好,Xin chào
V002,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,好,hǎo,"tốt, đẹp, hay, ngon","good, fine",tính từ,形,hảo,"好 (形) hǎo (hảo) good; fine tốt, đẹp, hay, ngon",2,6,student_visible,hěn hǎo,很好,rất tốt
V003,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,你好,nǐ hǎo,Xin chào,Hello,cụm từ,,,你好 nǐ hǎo Hello! xin chào,,9,student_visible,,,
V001-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,你好,nǐ hǎo,Xin chào,Hello,,,,Mẫu câu cho 你: 你好 nǐ hǎo Xin chào,3,7,student_visible,,,
V002-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,很好,hěn hǎo,rất tốt,very good,,,,Mẫu câu cho 好: 很好 hěn hǎo rất tốt,4,8,student_visible,,,
V004,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,一,yī,một,one,số từ,数,nhất,一 (数) yī (nhất) one một,3,11,student_visible,yī hào,一号,"số 1, ngày 1"
V004-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,一号,yī hào,"số 1, ngày 1",number 1,,,,Mẫu câu cho 一: 一号 yī hào số 1 ngày 1,5,12,student_visible,,,
V005,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,五,wǔ,năm,five,số từ,数,ngũ,五 (数) wǔ (ngũ) five năm,4,13,student_visible,wǔ hào,五号,"số 5, ngày 5"
V005-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,五号,wǔ hào,"số 5, ngày 5",number 5,,,,Mẫu câu cho 五: 五号 wǔ hào số 5 ngày 5,6,14,student_visible,,,
V006,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,八,bā,tám,eight,số từ,数,bát,八 (数) bā (bát) eight tám,5,15,student_visible,bā hào,八号,"số 8, ngày 8"
V006-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,八号,bā hào,"số 8, ngày 8",number 8,,,,Mẫu câu cho 八: 八号 bā hào số 8 ngày 8,7,16,student_visible,,,
V007,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,大,dà,"to, lớn",big,tính từ,形,đại,"大 (形) dà (đại) big to, lớn",6,17,student_visible,hěn dà,很大,rất lớn
V007-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,很大,hěn dà,rất lớn,very big,,,,Mẫu câu cho 大: 很大 hěn dà rất lớn,8,18,student_visible,,,
V008,1,1-2,19-20,19,work/pdf-pages/,Từ vựng,vocabulary,不,bù,"không, chẳng",not,phó từ,副,bất,"不 (副) bù (bất) not không, chẳng",7,19,student_visible,bù hǎo,不好,không tốt
V008-sample,1,1-2,19-20,19,work/pdf-pages/,Mẫu câu,sample,不好,bù hǎo,không tốt,not good,,,,Mẫu câu cho 不: 不好 bù hǎo không tốt,9,20,student_visible,,,
V009,2,1-2,19-20,20,work/pdf-pages/,Từ vựng,vocabulary,口,kǒu,miệng; nhân khẩu,mouth; classifier for family members,"danh từ, lượng từ",名、量,khẩu,"口 (名、量) kǒu (khẩu) mouth; (a classifier for family members) miệng, nhân khẩu",8,21,student_visible,yī kǒu,一口,một miệng / một miếng
V009-sample,2,1-2,19-20,20,work/pdf-pages/,Mẫu câu,sample,一口,yī kǒu,một miệng / một miếng,one mouthful,,,,Mẫu câu cho 口: 一口 yī kǒu một miệng / một miếng,10,22,student_visible,,,
V010,2,1-2,19-20,20,work/pdf-pages/,Từ vựng,vocabulary,白,bái,trắng,white,tính từ,形,bạch,白 (形) bái (bạch) white trắng,9,23,student_visible,,,
V011,2,1-2,19-20,20,work/pdf-pages/,Từ vựng,vocabulary,女,nǚ,"nữ, phụ nữ","female, woman",danh từ,名,nữ,"女 (名) nǚ (nữ) female; woman nữ, phụ nữ",10,25,student_visible,nǚ rén,女人,phụ nữ
V011-sample,2,1-2,19-20,20,work/pdf-pages/,Mẫu câu,sample,女人,nǚ rén,phụ nữ,woman,,,,Mẫu câu cho 女: 女人 nǚ rén phụ nữ,11,26,student_visible,,,
V012,2,1-2,19-20,20,work/pdf-pages/,Từ vựng,vocabulary,马,mǎ,con ngựa,horse,danh từ,名,mã,马 (名) mǎ (mã) horse con ngựa,11,27,student_visible,bái mǎ,白马,ngựa trắng
