record_id,exercise_order,exercise_type,storyboard_slides,audio_track,source_pages,coverage_status
"E01-001","1","listening_comprehension_questions","009|010|011","1-2","PDF p.14","mapped_to_storyboard"
"E01-002","2","listening_multiple_choice","012|013","1-3","PDF p.14","mapped_to_storyboard"
"E01-003","3","guided_speaking","014|015|016","","PDF p.15","mapped_to_storyboard"
"E01-004","4","listen_repeat_substitute","019|020","1-4","PDF p.15","mapped_to_storyboard"
"E01-005","5","dialogue_repetition","021|022","1-5","PDF p.15","mapped_to_storyboard"
"E01-006","6","listening_fill_blank","029|030","1-6","PDF p.16","mapped_to_storyboard"
"E01-007","7","listening_true_false","031","1-6","PDF p.16","mapped_to_storyboard"
"E01-008","8","listening_open_response","032","1-6","PDF p.16","mapped_to_storyboard"
"E01-009","9","pattern_dialogue_completion","023|027","","PDF p.17, PDF p.18","mapped_to_storyboard"
"E01-010","10","pattern_rewrite","024|027","","PDF p.18","mapped_to_storyboard"
"E01-011","11","pattern_situation","025|027","","PDF p.18","mapped_to_storyboard"
"E01-012","12","pattern_discussion","026|027","","PDF p.18","mapped_to_storyboard"
"E01-013","13","culture_discussion","033","","PDF p.18","mapped_to_storyboard"
"E01-014","14","reading_comprehension","034","","PDF p.19","mapped_to_storyboard"
"E01-015","15","paragraph_speaking","035|036","","PDF p.19","mapped_to_storyboard"
"E01-016","16","role_play","039|040|041|042|047","","PDF p.20","mapped_to_storyboard"
"E01-017","17","classroom_practice","043|044","","PDF p.20","mapped_to_storyboard"
"E01-018","18","survey_report","045|046|047","","PDF p.20","mapped_to_storyboard"
"E01-019","19","classroom_exchange","050","2-1","PDF p.21","mapped_to_storyboard"
"E01-020","20","listening_comprehension_questions","051","2-2","PDF p.22","mapped_to_storyboard"
"E01-021","21","guided_speaking","052|056","","PDF p.22","mapped_to_storyboard"
"E01-022","22","listen_repeat_substitute","053|054|056","2-3","PDF p.22","mapped_to_storyboard"
"E01-023","23","dialogue_repetition","055|056","2-4","PDF p.23","mapped_to_storyboard"
"E01-024","24","listening_fill_blank","059","2-5","PDF p.23, PDF p.24","mapped_to_storyboard"
"E01-025","25","listening_true_false","060","2-5","PDF p.24","mapped_to_storyboard"
"E01-026","26","listening_open_response","061","2-5","PDF p.24","mapped_to_storyboard"
"E01-027","27","pattern_practice","062","","PDF p.25","mapped_to_storyboard"
"E01-028","28","culture_discussion","063","","PDF p.25","mapped_to_storyboard"
"E01-029","29","reading_comprehension","064","","PDF p.25, PDF p.26","mapped_to_storyboard"
"E01-030","30","paragraph_speaking","066","","PDF p.26","mapped_to_storyboard"
"E01-031","31","research_speaking","067","","PDF p.26","mapped_to_storyboard"
"E01-032","32","pronunciation_reading","065","","PDF p.26, PDF p.27","mapped_to_storyboard"
"E01-033","33","dialogue_reflection","068","","PDF p.27","mapped_to_storyboard"
"E01-034","34","classroom_exchange","007|016","","PDF p.13","mapped_to_storyboard"
"E01-035","35","survey_report","008|016|045|046","","PDF p.13","mapped_to_storyboard"
