Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
1,“起名儿”的拼音是什么？,qǐ míngr,tíxiào-jiēfēi,shǎojiàn,zāo,20,1
2,“警告”的拼音是什么？,piānpiān,yóuxì,yuàn,jǐnggào,20,4
3,“愣”的拼音是什么？,tíxiào-jiēfēi,chīkǔ,zuómo,lèng,20,4
4,“惊讶”的拼音是什么？,hàoqí,jīngyà,yóuxì,jūrán,20,2
5,“从小”的拼音是什么？,mòmíngqímiào,chīkǔ,cóngxiǎo,jǐnggào,20,3
6,“吃苦”的拼音是什么？,zūnchēng,chīkǔ,bùyóude,yuàn,20,2
7,“怨”的拼音是什么？,fāyīn,cóngxiǎo,shǎojiàn,yuàn,20,4
8,“琢磨”的拼音是什么？,fèijìn-xīnjī,zìgǔ,zuómo,xiǎozi,20,3
9,“费尽心机”的拼音是什么？,fèijìn-xīnjī,cāoxīn,jīngyà,yuàn,20,1
10,“莫名其妙”的拼音是什么？,cóngxiǎo,zǔzōng,yǔzhòng-bùtóng,mòmíngqímiào,20,4
11,“困惑不解”的拼音是什么？,lèng,yǔzhòng-bùtóng,kùnhuò-bùjiě,bièniu,20,3
12,“与众不同”的拼音是什么？,yóuxì,cóngxiǎo,zuómo,yǔzhòng-bùtóng,20,4
13,“不约而同”的拼音是什么？,yóuxì,chīkǔ,zuómo,búyuē'értóng,20,4
14,“发音”的拼音是什么？,jūrán,bùyóude,fāyīn,dīdiào,20,3
15,“头等大事”的拼音是什么？,jūrán,tóuděng dàshì,búyuē'értóng,qīnrè,20,2
16,“别扭”的拼音是什么？,bièniu,cóngxiǎo,xiǎozi,jīngyà,20,1
17,“糟”的拼音是什么？,zuómo,tóuděng dàshì,zāo,tóngyīn,20,3
18,“低调”的拼音是什么？,dīdiào,bùyóude,shǎojiàn,jiāowǎng,20,1
19,“小子”的拼音是什么？,zìgǔ,xiǎozi,qīnrè,jīngyà,20,2
20,“同音”的拼音是什么？,jiāowǎng,tóngyīn,jīngyà,zūnchēng,20,2
21,“游戏”的拼音是什么？,kùnhuò-bùjiě,yuàn,yóuxì,jūrán,20,3
22,“居然”的拼音是什么？,yǔzhòng-bùtóng,jūrán,tíxiào-jiēfēi,jīngyà,20,2
23,“好奇”的拼音是什么？,hàoqí,zūnchēng,búyuē'értóng,jiāowǎng,20,1
24,“不由得”的拼音是什么？,bùyóude,jīngyà,yóuxì,piānpiān,20,1
25,“祖宗”的拼音是什么？,zǔzōng,mòmíngqímiào,fèijìn-xīnjī,qǐ míngr,20,1
26,“偏偏”的拼音是什么？,yǔzhòng-bùtóng,piānpiān,fāyīn,lèng,20,2
27,“操心”的拼音是什么？,qǐ míngr,lèng,cāoxīn,tíxiào-jiēfēi,20,3
28,“啼笑皆非”的拼音是什么？,cóngxiǎo,tíxiào-jiēfēi,búyuē'értóng,bièniu,20,2
29,“少见”的拼音是什么？,zāo,bùyóude,cóngxiǎo,shǎojiàn,20,4
30,“尊称”的拼音是什么？,yóuxì,tíxiào-jiēfēi,qǐ míngr,zūnchēng,20,4
31,“称呼”的拼音是什么？,tóuděng dàshì,zuómo,chēnghu,lèng,20,3
32,“交往”的拼音是什么？,jiāowǎng,tíxiào-jiēfēi,zìgǔ,jūrán,20,1
33,“自古”的拼音是什么？,zuómo,zìgǔ,xiǎozi,cāoxīn,20,2
34,“亲热”的拼音是什么？,qīnrè,jīngyà,tóuděng dàshì,búyuē'értóng,20,1
