"slide_no","period","time","purpose","page_type","pbi_mode","source_refs","source_pages","audio_track","student_instruction_zh","grouping","student_output","support_asset","teacher_note"
"1","P1","见教师手册","中国人的姓名","cover","All modes","","—","","你的名字有什么意思？","全班","你的名字有什么意思？","—","教师提示见教师手册与 PPT speaker notes"
"2","P1","见教师手册","学完这课后，我能……","goals","All modes","","—","","读一读本课要完成的事情。","个人","知道本课要完成的事情","—","教师提示见教师手册与 PPT speaker notes"
"3","P1","见教师手册","听说（一）","divider","All modes","","—","","进入“听说（一）”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"4","P1","见教师手册","课堂小组交流","prompt","Interpersonal","E01-034","PDF p.13","","用汉语介绍自己的名字：它有什么意思？为什么这样取？","两人／小组","用汉语介绍自己的名字：它有什么意思？为什么这样取？","预习卡A","教师提示见教师手册与 PPT speaker notes"
"5","P1","见教师手册","小调查","material","Interpersonal","E01-035","PDF p.13","","采访三位同学，记录名字的意思和来历。准备介绍其中一位同学。","小组","一张访谈记录","活动一《姓名访谈》：访谈者角色卡（含访谈问题）、观察者角色卡（含观察记录）","教师提示见教师手册与 PPT speaker notes"
"6","P1","见教师手册","词语理解","divider","All modes","","—","","进入“词语理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"7","P1","见教师手册","听力练习","listening","Interpretive","E01-001","PDF p.14","音频1-2","完成问题1到6。","个人→小组","完成问题1到6。","—","教师提示见教师手册与 PPT speaker notes"
"8","P1","见教师手册","听力练习","listening","Interpretive","E01-002","PDF p.14","音频1-3","完成问题1到5。","个人→小组","完成问题1到5。","—","教师提示见教师手册与 PPT speaker notes"
"9","P1","见教师手册","用三到五句话回答问题，并使用画线词语","speaking","Presentational","E01-003","PDF p.15","","完成问题1到5。","两人／小组","完成问题1到5。","—","教师提示见教师手册与 PPT speaker notes"
"10","P2","见教师手册","语句理解","divider","All modes","","—","","进入“语句理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"11","P2","见教师手册","听录音，跟读句子，并替换画线词语各说一句话","practice","Interpersonal","E01-004","PDF p.15","音频1-4","完成句子1到6。","两人／小组","完成句子1到6。","—","教师提示见教师手册与 PPT speaker notes"
"12","P2","见教师手册","听录音，复述并模仿对话","sequence","Interpersonal","E01-005","PDF p.15","音频1-5","先盖住课本。听录音，复述并模仿对话1到3。","两人／小组","先盖住课本。听录音，复述并模仿对话1到3。","—","教师提示见教师手册与 PPT speaker notes"
"13","P2","见教师手册","语段理解","divider","All modes","","—","","进入“语段理解”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"14","P2","见教师手册","听力练习","listening","Interpretive","E01-006","PDF p.16","音频1-6","完成填空。","个人→小组","完成填空。","—","教师提示见教师手册与 PPT speaker notes"
"15","P2","见教师手册","听力练习","listening","Interpretive","E01-007","PDF p.16","音频1-6","判断正误。","个人→小组","判断正误。","—","教师提示见教师手册与 PPT speaker notes"
"16","P2","见教师手册","口语练习","prompt","Interpersonal","E01-008","PDF p.16","音频1-6","老常的朋友们赞成给孩子起“殊”这个名字吗？说说他们的理由。","两人／小组","老常的朋友们赞成给孩子起“殊”这个名字吗？说说他们的理由。","—","教师提示见教师手册与 PPT speaker notes"
"17","P2","见教师手册","你呢？","poll","Interpersonal","E01-008","PDF p.16","","你赞成给孩子起“殊”这个名字吗？为什么？和同学讨论。","两人／小组","你赞成给孩子起“殊”这个名字吗？为什么？和同学讨论。","—","教师提示见教师手册与 PPT speaker notes"
"18","P3","见教师手册","口语句式","divider","All modes","","—","","进入“口语句式”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"19","P3","见教师手册","总不能……吧","pbiPattern","Interpersonal","E01-009","—","","总不能……吧","两人／小组","总不能……吧","—","教师提示见教师手册与 PPT speaker notes"
"20","P3","见教师手册","……才怪呢","pbiPattern","Interpersonal","E01-010","PDF p.18","","……才怪呢","两人／小组","……才怪呢","—","教师提示见教师手册与 PPT speaker notes"
"21","P3","见教师手册","到时候","pbiPattern","Interpersonal","E01-011","PDF p.18","","到时候","两人／小组","到时候","—","教师提示见教师手册与 PPT speaker notes"
"22","P3","见教师手册","话说回来","pbiPattern","Interpersonal","E01-012","PDF p.18","","话说回来","两人／小组","话说回来","—","教师提示见教师手册与 PPT speaker notes"
"23","P3","见教师手册","文化知识","divider","All modes","","—","","进入“文化知识”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
"24","P3","见教师手册","请你说说","questions","Interpersonal","E01-013","PDF p.18","","你们国家的人读到你的名字时，常常会想到什么人或什么事物？；在你们国家，人们一般喜欢叫什么名字？","两人／小组","你们国家的人读到你的名字时，常常会想到什么人或什么事物？；在你们国家，人们一般喜欢叫什么名字？","—","教师提示见教师手册与 PPT speaker notes"
"25","P3","见教师手册","阅读短文，回答问题","reading","Interpretive","E01-014","PDF p.19","","读课本短文，完成问题1到3。","全班","读课本短文，完成问题1到3。","—","教师提示见教师手册与 PPT speaker notes"
"26","P3","见教师手册","总结文章","summary","All modes","E01-014","PDF p.19","","用五句话说明这篇文章在说什么。","两人／小组","用五句话说明这篇文章在说什么。","—","教师提示见教师手册与 PPT speaker notes"
"27","P3","见教师手册","口语练习","partner","Interpersonal","E01-014","PDF p.19","","两人一组，共同完成一份总结。 完成后，和大家报告。","两人／小组","两人一组，共同完成一份总结。 完成后，和大家报告。","—","教师提示见教师手册与 PPT speaker notes"
"28","P3","见教师手册","拓展练习","divider","All modes","","—","","进入“拓展练习”","全班","准备进入本课部分","—","教师提示见教师手册与 PPT speaker notes"
