grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,source_section,source_pdf_page,source_status,source_notes
boya-elementary-i:lesson-01:legacy-grammar-001,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,汉语拼音：声母、韵母、四声,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-01:legacy-grammar-002,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,基本问候语,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-01:legacy-grammar-003,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,课堂指令,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-02:legacy-grammar-001,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,拼音与变调训练,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-02:legacy-grammar-002,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,疑问语调,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-02:legacy-grammar-003,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,常用礼貌表达,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-03:legacy-grammar-001,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,拼音综合,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-03:legacy-grammar-002,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,“是/不是”,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-03:legacy-grammar-003,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,“吗”问句,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
boya-elementary-i:lesson-03:legacy-grammar-004,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,人称代词,,,missing_translation,,旧摘要候选（待最新版逐页核对）,,legacy_candidate_not_current_source,来自旧课程摘要，仅作待核查候选，不代表最新版教材逐字语法索引。
