grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,source_section,source_pdf_page,source_printed_page,source_status,source_notes
boya-elementary-i:lesson-06:grammar-001,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这／那是什么？,,,missing_translation,,参考句式/参考句型,51,40,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-06:grammar-002,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这／那是谁的……？,,,missing_translation,,参考句式/参考句型,51,40,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-06:grammar-003,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这／那是……吗？,,,missing_translation,,参考句式/参考句型,51,40,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-06:grammar-004,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,我来介绍一下儿……,,,missing_translation,,参考句式/参考句型,51,40,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-06:grammar-005,boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,这是……,,,missing_translation,,参考句式/参考句型,51,40,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-07:grammar-006,boya-elementary-i:lesson-07,boya-elementary-i,初级起步篇 I,lesson-07,7,欢迎去我家玩儿,你的……在哪儿？,,,missing_translation,,参考句式/参考句型,58,41,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-07:grammar-007,boya-elementary-i:lesson-07,boya-elementary-i,初级起步篇 I,lesson-07,7,欢迎去我家玩儿,你的……在这儿吗？,,,missing_translation,,参考句式/参考句型,58,41,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-008,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,你今天上午八点有课吗？,,,missing_translation,,参考句式/参考句型,67,56,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-009,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,有什么课？,,,missing_translation,,参考句式/参考句型,67,56,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-010,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,明天呢？,,,missing_translation,,参考句式/参考句型,67,56,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-011,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,你几点有时间？,,,missing_translation,,参考句式/参考句型,67,56,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-012,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,……有时间吗？,,,missing_translation,,参考句式/参考句型,68,57,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-013,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,去哪儿……？,,,missing_translation,,参考句式/参考句型,68,57,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-08:grammar-014,boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,几点……？,,,missing_translation,,参考句式/参考句型,68,57,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-015,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,你好！我是……,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-016,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,……有时间吗？,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-017,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,去……吧？,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-018,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,我们怎么去呢？,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-019,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,几点见？,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-09:grammar-020,boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,在哪儿见？,,,missing_translation,我们怎么去？；我们骑自行车去吧。；他办公室的电话号码是62572305。；他不在办公室。；我加一下儿你的微信吧。；这样吧，快递你给我朋友吧。,参考句式/参考句型,79,68,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-021,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,……多少钱？,,,missing_translation,,参考句式/参考句型,87,76,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
boya-elementary-i:lesson-10:grammar-022,boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,怎么卖？,,,missing_translation,,参考句式/参考句型,87,76,ocr_pattern_extracted_needs_review,出版社活动页列出的参考句式；需人工核对 OCR 与补充越南文说明。
