Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
1,“起名儿”是什么意思？,chịu khổ,cậu nhóc,đặt tên,"cùng làm, không hẹn",20,3
2,“警告”是什么意思？,tò mò,hiếm gặp,cảnh báo,chịu khổ,20,3
3,“愣”是什么意思？,đặt tên,phát âm,cậu nhóc,ngẩn người,20,4
4,“惊讶”是什么意思？,vậy mà,suy nghĩ kỹ,ngạc nhiên,từ nhỏ,20,3
5,“从小”是什么意思？,không khỏi,gượng gạo,từ nhỏ,khác biệt,20,3
6,“吃苦”是什么意思？,xưng hô,chịu khổ,kín tiếng,"cùng làm, không hẹn",20,2
7,“怨”是什么意思？,chịu khổ,trách móc,cách gọi kính trọng,suy nghĩ kỹ,20,2
8,“琢磨”是什么意思？,từ xưa,suy nghĩ kỹ,trò chơi,khó hiểu,20,2
9,“费尽心机”是什么意思？,giao tiếp,hiếm gặp,tò mò,vắt óc,20,4
10,“莫名其妙”是什么意思？,ngẩn người,khó hiểu,cảnh báo,vắt óc,20,2
11,“困惑不解”是什么意思？,cậu nhóc,đồng âm,hoang mang,cách gọi kính trọng,20,3
12,“与众不同”是什么意思？,trách móc,không khỏi,khác biệt,đồng âm,20,3
13,“不约而同”是什么意思？,không khỏi,đồng âm,tổ tiên,"cùng làm, không hẹn",20,4
14,“发音”是什么意思？,xưng hô,không khỏi,"cùng làm, không hẹn",phát âm,20,4
15,“头等大事”是什么意思？,đặt tên,việc quan trọng nhất,xưng hô,ngạc nhiên,20,2
16,“别扭”是什么意思？,gượng gạo,suy nghĩ kỹ,dở khóc dở cười,tổ tiên,20,1
17,“糟”是什么意思？,tệ,đặt tên,đồng âm,lo lắng,20,1
18,“低调”是什么意思？,lại cứ,từ xưa,hiếm gặp,kín tiếng,20,4
19,“小子”是什么意思？,cậu nhóc,xưng hô,phát âm,gượng gạo,20,1
20,“同音”是什么意思？,đồng âm,cảnh báo,không khỏi,gượng gạo,20,1
21,“游戏”是什么意思？,thân mật,cách gọi kính trọng,từ nhỏ,trò chơi,20,4
22,“居然”是什么意思？,từ nhỏ,dở khóc dở cười,vậy mà,thân mật,20,3
23,“好奇”是什么意思？,tò mò,đồng âm,"cùng làm, không hẹn",suy nghĩ kỹ,20,1
24,“不由得”是什么意思？,không khỏi,gượng gạo,vậy mà,tổ tiên,20,1
25,“祖宗”是什么意思？,tổ tiên,đồng âm,hiếm gặp,cách gọi kính trọng,20,1
26,“偏偏”是什么意思？,lại cứ,không khỏi,gượng gạo,tổ tiên,20,1
27,“操心”是什么意思？,tò mò,việc quan trọng nhất,vậy mà,lo lắng,20,4
28,“啼笑皆非”是什么意思？,khác biệt,dở khóc dở cười,trò chơi,vắt óc,20,2
29,“少见”是什么意思？,từ xưa,vắt óc,kín tiếng,hiếm gặp,20,4
30,“尊称”是什么意思？,trách móc,cách gọi kính trọng,vậy mà,lo lắng,20,2
31,“称呼”是什么意思？,lo lắng,tệ,xưng hô,từ xưa,20,3
32,“交往”是什么意思？,lại cứ,giao tiếp,từ nhỏ,cảnh báo,20,2
33,“自古”是什么意思？,trách móc,từ xưa,đặt tên,cậu nhóc,20,2
34,“亲热”是什么意思？,thân mật,việc quan trọng nhất,ngẩn người,ngạc nhiên,20,1
