asset_id,name,kind,brief,rights_status,planned_usage_count,usage_slides
"IMG-01","姓名視覺封面","原創攝影／生成圖","不同姓名卡、人物剪影與桌面光影；不使用可辨識個資","待製作；優先原創","1","001"
"IMG-02","姓名卡與字義","自製平面圖形","姓名卡、筆跡、字義標籤與簡體字構成","自製","4","002|006|007|018"
"IMG-03","小組對話場景","原創攝影／生成圖","學生圍桌交換資訊，畫面保留空間給任務提示","待製作；優先原創","2","002|004"
"IMG-04","姓名調查採訪","原創攝影／生成圖","採訪、記錄、手機或紙卡；用於田野資料交換","待製作；優先原創","1","008"
"IMG-05","聽力聲波與對話線索","自製圖形","聲波、對話氣泡、關鍵詞標記，不模擬播放器介面","自製","7","005|009|010|029|030|051|059"
"IMG-06","兩人互動肖像","原創攝影／生成圖","兩位說話者的視線、手勢與空間關係","待製作；優先原創","11","014|015|019|020|021|022|052|053|054|055|068"
"IMG-07","證據牆","自製圖形","答案、關鍵詞、音檔證據以視覺路徑連接","自製","4","011|031|056|060"
"IMG-08","語意選擇卡","自製圖形／生成圖","兩個意思相近的畫面或物件對照，避免大段文字選項","自製或原創","2","012|013"
"IMG-09","訪談角色輪換","自製圖形","採訪者、回答者、觀察者三個視覺角色","自製","1","016"
"IMG-10","句式情境卡","原創攝影／生成圖","限制、反駁、轉折等生活情境的三格小場景","待製作；優先原創","3","023|024|025"
"IMG-11","諧音與姓名文化","自製字形圖形","同音字、音義分岔與姓名選擇的視覺化","自製","4","026|028|032|033"
"IMG-12","閱讀證據桌面","原創攝影／生成圖","短文、標記、便條與一個代表性物件","待製作；優先原創","1","034"
"IMG-13","六十秒短講","原創攝影／生成圖","學生面向聽眾說明，畫面有清楚的 60 秒視覺計時","待製作；優先原創","2","035|036"
"IMG-14","起名兒公司","原創攝影／生成圖","現代命名顧問工作桌、姓名提案與客戶 brief","待製作；優先原創","2","003|038"
"IMG-15","客戶人物卡","原創肖像／生成圖","虛構客戶肖像，搭配少量命名條件","待製作；優先原創","1","039"
"IMG-16","命名條件排序","自製圖形","音、義、風格、文化等條件卡的排序與衝突","自製","1","040"
"IMG-17","中文姓名提案","自製字形圖形／生成圖","姓名字形、讀音、字義與理由以一個提案畫面呈現","自製或原創","4","002|041|042|047"
"IMG-18","電影演員命名","授權肖像／原創插畫","兩位虛構或已確認授權的人物卡；不直接抓網路明星照片","待授權；優先原創插畫","2","043|044"
"IMG-19","調查結果視覺化","自製圖形","姓名意義、地域特點、美好願望的三組資料圖","自製","2","045|046"
"IMG-20","姓氏比較地圖","自製圖形／生成圖","越南與中國姓氏比較的視覺框架，不把文化差異簡化成排名","自製或原創","5","049|050|057|063|066"
"IMG-21","姓氏問題解決圖","自製圖形","問題—原因—結果—說明的因果流程","自製","1","061"
"IMG-22","姓氏資訊站","自製圖形／原創攝影","四個站點的視覺識別與資訊卡","自製或原創","3","058|062|064"
"IMG-23","歷史人物與姓氏","公版資料／原創插畫","確認公版或自行繪製的人物資料卡，不依賴未授權肖像","待核對；優先公版或原創","3","065|066|067"
"IMG-24","課末能力視覺","自製字形圖形","我能句式、姓名字形與簡潔進度標記","自製","5","017|027|037|048|069"
