lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,source_pdf_page,source_pdf_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at,image_role,image_prompt,image_file,image_reuse_from,image_status,image_semantic_check
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,1,这,zhè,"đây, này",this,đại từ,代,giá,zhè shì wǒ bàba.,这是我爸爸。,Đây là bố tôi.,"这 (代) zhè (giá) this đây, này",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a friendly student pointing to a nearby object on a desk, clearly meaning this / here.",assets/vocab-images/vocab-v001-zhe.png,,ready_for_visual_qa,"Verify image clearly matches 这 / đây, này and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,2,是,shì,là,"to be (am, are, is)",động từ,动,thị,zhè shì Wáng lǎoshī.,这是王老师。,Đây là thầy Vương.,是 (动) shì (thị) to be là,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: one person gently introducing another person with an open-hand gesture, clearly conveying this is someone.",assets/vocab-images/vocab-v002-shi.png,,ready_for_visual_qa,"Verify image clearly matches 是 / là and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,3,老师,lǎoshī,thầy/cô giáo,teacher,danh từ,名,lão sư,"Wáng lǎoshī, nín hǎo!",王老师，您好！,"Thầy Vương, chào thầy!",老师 (名) lǎoshī (lão sư) teacher thầy/cô giáo,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a warm teacher standing beside a simple classroom board, holding a book, with students implied softly in the foreground.",assets/vocab-images/vocab-v003-laoshi.png,,ready_for_visual_qa,"Verify image clearly matches 老师 / thầy/cô giáo and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,4,爸爸,bàba,"bố, ba",father,danh từ,名,ba ba,zhè shì wǒ bàba.,这是我爸爸。,Đây là bố tôi.,"爸爸 (名) bàba (ba ba) father bố, ba",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a kind father standing with a child, warm family feeling, natural proportions.",assets/vocab-images/vocab-v004-baba.png,,ready_for_visual_qa,"Verify image clearly matches 爸爸 / bố, ba and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,5,您,nín,"ngài, ông/bà (lịch sự)",you (polite form),đại từ,代,nâm,nín hǎo!,您好！,Chào ngài! (Xin chào ạ!),"您 (代) nín (nâm) you (polite) ngài, ông/bà (lịch sự)",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a young person politely greeting an older respected adult with a slight bow and warm expression.",assets/vocab-images/vocab-v005-nin.png,,ready_for_visual_qa,"Verify image clearly matches 您 / ngài, ông/bà (lịch sự) and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,6,请,qǐng,"mời, xin",please; to invite,động từ,动,thỉnh,qǐng jìn! qǐng zuò!,请进！请坐！,Mời vào! Mời ngồi!,"请 (动) qǐng (thỉnh) please; to invite mời, xin",student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a host politely gesturing with an open hand toward a doorway or seat, inviting a guest in.",assets/vocab-images/vocab-v006-qing.png,,ready_for_visual_qa,"Verify image clearly matches 请 / mời, xin and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,7,进,jìn,vào,to enter; to come in,động từ,动,tiến,qǐng jìn!,请进！,Mời vào!,进 (动) jìn (tiến) to enter; to come in vào,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person stepping through an open doorway into a bright room.",assets/vocab-images/vocab-v007-jin.png,,ready_for_visual_qa,"Verify image clearly matches 进 / vào and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,8,坐,zuò,ngồi,to sit,động từ,动,tọa,qǐng zuò!,请坐！,Mời ngồi!,坐 (动) zuò (tọa) to sit ngồi,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person calmly sitting on a chair beside a simple desk.",assets/vocab-images/vocab-v008-zuo.png,,ready_for_visual_qa,"Verify image clearly matches 坐 / ngồi and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,9,喝,hē,uống,to drink,động từ,动,hát,qǐng hē chá!,请喝茶！,Mời uống trà!,喝 (动) hē (hát) to drink uống,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a person taking a sip from a cup, clearly drinking.",assets/vocab-images/vocab-v009-he.png,,ready_for_visual_qa,"Verify image clearly matches 喝 / uống and contains no text, labels, numbers, or Chinese characters."
lesson-05,第五课 · 这是王老师 · Bài 5 · Đây là thầy giáo Vương,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,38,38,56,56,10,茶,chá,trà,tea,danh từ,名,trà,qǐng hē chá!,请喝茶！,Mời uống trà!,茶 (名) chá (trà) tea trà,student_visible,pending,FALSE,,2026-06-04T08:00:00+00:00,vocabulary_image,"Soft educational textbook illustration for a Chinese classroom slide, 16:9 landscape, thin grey-blue hand-drawn outlines, muted pastel fills, pale clean background, gentle low-contrast shadows, no text, no letters, no numbers, no Chinese characters, no labels, no watermark. Show: a warm cup of tea with gentle steam beside a small teapot and a few tea leaves.",assets/vocab-images/vocab-v010-cha.png,,ready_for_visual_qa,"Verify image clearly matches 茶 / trà and contains no text, labels, numbers, or Chinese characters."
