lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,teaching_order,pinyin_group,pinyin_items_count,chinese_simplified,pinyin,vietnamese,target_sounds,exercise_type,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,C001,concept,Khái niệm về pinyin,Pinyin lessons/pinyin-l1.14102024210713.pdf,3,3-4,1,,,,,,,,拼音是什麼、拼音用途、聲母/韻母/聲調概念。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,I001,initials,Thanh mẫu,Pinyin lessons/pinyin-l1.14102024210713.pdf,5,5,2,labials,4,,,,,,聲母 b p m f,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,F001,finals,Vận mẫu,Pinyin lessons/pinyin-l1.14102024210713.pdf,5,5,3,simple_finals,6,,,,,,韻母 a o e i u ü,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,EX001,exercise,Luyện pinyin,Pinyin lessons/pinyin-l1.14102024210713.pdf,6,6,4,,,,,,,read_pinyin,拼讀練習，不含聲調。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,T001,tone,Thanh điệu,Pinyin lessons/pinyin-l1.14102024210713.pdf,7,7,5,,,,,,,,四聲 + 輕聲。P8 聲調練習不含輕聲。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,EX002,exercise,Luyện thanh điệu,Pinyin lessons/pinyin-l1.14102024210713.pdf,8,8,6,,,,,,,tone_reading,四聲練習，不含輕聲。,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V001,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,7,vocab_set_l1_01,,八,bā,số tám,b a,,八 bā,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V002,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,8,vocab_set_l1_01,,怕,pà,sợ,p a,,怕 pà,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V003,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,9,vocab_set_l1_01,,饿,è,đói,e,,餓 è,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
pinyin-01,Pinyin · Bài 1 · Cơ bản: phát âm nhập môn,V004,vocabulary,Từ vựng,Pinyin lessons/pinyin-l1.14102024210713.pdf,9,9,10,vocab_set_l1_01,,不,bù,không,b u,,不 bù,student_visible,approved_latest_content,true,Phát âm đúng là chính; không yêu cầu nhận mặt chữ Hán.,2026-06-08T09:10:51.866Z
