priority,entity,field_name,why_add,suggested_source,status
P0,Vocabulary,part_of_speech,Needed for lesson planning and controlled practice.,Textbook or teacher-reviewed dictionary; never infer from OCR alone.,blank when not in source
P0,Vocabulary,meaning_chinese,Provides a concise learner-facing definition.,Textbook glossary first; teacher review for missing items.,partially populated only from source glossary
P0,Vocabulary,meaning_vietnamese,Useful for Vinh student support and quick teacher reference.,Teacher-reviewed translation after source approval.,not started
P1,Vocabulary,example_sentence_source,Shows the word in its textbook context.,"Link to a sentence in the printed dialogue/reading, with record_id.",not yet linked
P1,Vocabulary,collocations,Supports natural speaking instead of isolated word memorization.,Textbook examples plus teacher-approved additions.,not started
P1,Vocabulary,usage_register,"Important for formal, colloquial, idiomatic, respectful, or taboo language.",Textbook context and teacher review.,not started
P1,Grammar,usage_function,Connects a pattern to the communicative purpose students must accomplish.,Teacher handbook / PBI task design.,not started
P1,Grammar,form_slots,Makes the replaceable parts of a pattern explicit.,Source examples and teacher validation.,not started
P1,Grammar,common_errors,Captures likely learner problems for just-in-time repair.,"Observed student performance, not assumptions.",not started
P1,Grammar,contrast_patterns,Helps distinguish easily confused forms.,"Teacher-reviewed comparison, e.g. similar connectors or rhetorical questions.",not started
P1,Audio,transcript,"Enables listening replay, search, and transcript-based review.",Manual audio transcription and teacher verification.,not started; do not infer from prompts
P1,Audio,transcript_status,Separates verified transcript from a draft or unavailable transcript.,Manual review log.,not started
P2,Vocabulary/Grammar,student_mastery,"Tracks whether a learner can recognize, understand, use, and repair the item.",Separate student-performance table; do not put personal data in the source catalog.,not started
P2,Vocabulary/Grammar,review_history,Records teacher corrections and approval dates without changing source text.,Versioned review log.,not started
P2,Vocabulary/Grammar,assessment_alignment,"Links each item to interpretive, interpersonal, or presentational evidence.",Approved teacher manual and rubric.,not started
P2,Vocabulary,audio_asset_ids,Already included where source mapping exists; helps students revisit pronunciation/listening context.,Canonical audio map.,partially populated
