lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,category,content_focus,exercise_type,source_set_id,related_rule_id,pronunciation_first,meaning_focus,requires_hanzi_recognition,is_page_range_flexible,notes
pinyin_lesson_07,P1,,1,lesson_cover,page_l7_01,封面,,,lesson_page,第七課課程封面。,,,,true,true,false,false,
pinyin_lesson_07,P2,,2,learning_objective,page_l7_02,學習目標,,,lesson_page,說明本課要學 i/u/ü 開頭拼音變化規則、生詞拼音連寫、詞彙發音與字義。,,,,true,true,false,false,
pinyin_lesson_07,P3,,3,warmup_activity,page_l7_03,暖身活動：複習第六課生詞,,,lesson_page,複習第六課生詞；活動可用連連看或聽音猜意 flash card。,,,,true,true,false,false,
pinyin_lesson_07,P4,,4,pinyin_learning_cover,page_l7_04,i/u/ü 開頭拼音學習封面 1：yi yin ying,,,lesson_page,進入 i/in/ing 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P5,,5,spelling_rule,rule_l7_i_yi_yin_ying,"i 開頭拼音變化規則 1：i, in, ing → yi, yin, ying",,,lesson_page,學習 i、in、ing 獨立成音節時改寫為 yi、yin、ying。,,,rule_l7_i_yi_yin_ying,true,true,false,false,
pinyin_lesson_07,P6,,6,vocabulary_set,vocab_set_l7_01,詞彙 1,,,lesson_page,一、音、贏。,,,rule_l7_i_yi_yin_ying,true,true,false,false,
pinyin_lesson_07,P7,,7,reserved_page,page_l7_07,待安排/保留頁,,,lesson_page,使用者提供的頁碼中未指定 P7 內容。,,,,true,true,false,false,保留原始頁碼間隔，避免自動重排後續頁碼。
pinyin_lesson_07,P8,,8,pinyin_learning_cover,page_l7_08,i/u/ü 開頭拼音學習封面 2：ya ye yao yan yang yong,,,lesson_page,進入 ia/ie/iao/ian/iang/iong 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P9,,9,spelling_rule,rule_l7_i_compound_y,"i 開頭拼音變化規則 2：ia, ie, iao, ian, iang, iong → ya, ye, yao, yan, yang, yong",,,lesson_page,學習 i 開頭複合韻母獨立成音節時改用 y 開頭拼寫。,,,rule_l7_i_compound_y,true,true,false,false,
pinyin_lesson_07,P10,,10,vocabulary_set,vocab_set_l7_02,詞彙 2,,,lesson_page,鴨、爺爺、藥、顏色、羊、使用。,,,rule_l7_i_compound_y,true,true,false,false,
pinyin_lesson_07,P11,,11,pinyin_learning_cover,page_l7_11,i/u/ü 開頭拼音學習封面 3：iu,,,lesson_page,進入 iu 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P12,,12,spelling_rule,rule_l7_iu_you,i 開頭拼音變化規則 3：iu → you,,,lesson_page,學習 iu 獨立成音節時改寫為 you。,,,rule_l7_iu_you,true,true,false,false,
pinyin_lesson_07,P13,,13,vocabulary_set,vocab_set_l7_03,詞彙 3,,,lesson_page,游泳。,,,rule_l7_iu_you,true,true,false,false,
pinyin_lesson_07,P14,,14,vocab_exercise,page_l7_14,詞彙練習 1,,,lesson_page,練習詞彙 1-3 中的十個生詞。,,vocab_set_l7_01|vocab_set_l7_02|vocab_set_l7_03,,true,true,false,false,
pinyin_lesson_07,P15,,15,pinyin_learning_cover,page_l7_15,i/u/ü 開頭拼音學習封面 4：wu,,,lesson_page,進入 u 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P16,,16,spelling_rule,rule_l7_u_wu,u 開頭拼音變化規則 1：u → wu,,,lesson_page,學習 u 獨立成音節時改寫為 wu。,,,rule_l7_u_wu,true,true,false,false,
pinyin_lesson_07,P17,,17,vocabulary_set,vocab_set_l7_04,詞彙 4,,,lesson_page,五。,,,rule_l7_u_wu,true,true,false,false,
pinyin_lesson_07,P18,,18,pinyin_learning_cover,page_l7_18,i/u/ü 開頭拼音學習封面 5：wa wo wai wan wang weng,,,lesson_page,進入 ua/uo/uai/uan/uang/ueng 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P19,,19,spelling_rule,rule_l7_u_compound_w,"u 開頭拼音變化規則 2：ua, uo, uai, uan, uang, ueng → wa, wo, wai, wan, wang, weng",,,lesson_page,學習 u 開頭複合韻母獨立成音節時改用 w 開頭拼寫。,,,rule_l7_u_compound_w,true,true,false,false,
pinyin_lesson_07,P20,,20,vocabulary_set,vocab_set_l7_05,詞彙 5,,,lesson_page,襪子、我、外面、玩、忘記、甕。,,,rule_l7_u_compound_w,true,true,false,false,
pinyin_lesson_07,P21,,21,pinyin_learning_cover,page_l7_21,i/u/ü 開頭拼音學習封面 6：wei wen,,,lesson_page,進入 ui/un 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P22,,22,spelling_rule,rule_l7_ui_un_wei_wen,"u 開頭拼音變化規則 3：ui, un → wei, wen",,,lesson_page,學習 ui、un 獨立成音節時改寫為 wei、wen。,,,rule_l7_ui_un_wei_wen,true,true,false,false,
pinyin_lesson_07,P23,,23,vocabulary_set,vocab_set_l7_06,詞彙 6,,,lesson_page,喂、文化。,,,rule_l7_ui_un_wei_wen,true,true,false,false,
pinyin_lesson_07,P24,,24,vocab_exercise,page_l7_24,詞彙練習 2,,,lesson_page,練習詞彙 4-6 中的十個生詞。,,vocab_set_l7_04|vocab_set_l7_05|vocab_set_l7_06,,true,true,false,false,
pinyin_lesson_07,P25,,25,pinyin_learning_cover,page_l7_25,i/u/ü 開頭拼音學習封面 7：yu yue yuan yun,,,lesson_page,進入 ü/üe/üan/ün 獨立成音節變化段落。,,,,true,true,false,false,
pinyin_lesson_07,P26,,26,spelling_rule,rule_l7_u_umlaut_y,"ü 開頭拼音變化規則：ü, üe, üan, ün → yu, yue, yuan, yun",,,lesson_page,學習 ü 開頭韻母獨立成音節時改用 yu/yue/yuan/yun。,,,rule_l7_u_umlaut_y,true,true,false,false,
pinyin_lesson_07,P27,,27,vocabulary_set,vocab_set_l7_07,詞彙 7,,,lesson_page,魚、雨、月、越南、圓、雲。,,,rule_l7_u_umlaut_y,true,true,false,false,使用者原始標記為詞彙6；此處整理為詞彙7，避免和 P23 詞彙6 重複。
pinyin_lesson_07,P28,,28,vocab_exercise,page_l7_28,詞彙練習 3,,,lesson_page,練習詞彙 7。,,vocab_set_l7_07,,true,true,false,false,使用者原始描述為「練習詞彙6中」；此處依 P27 整理為詞彙7。
pinyin_lesson_07,P29,,29,word_spacing_rule,rule_l7_word_pinyin_spacing,規則：生詞拼音的連寫,,,lesson_page,解釋為什麼「越南」的拼音是 Yuènán，而不是 Yuè nán。,,,rule_l7_word_pinyin_spacing,true,true,false,false,
pinyin_lesson_07,,P30-P31|P30-P32,30,review_exercise,page_l7_30,課後練習,,,lesson_page,2-3 個題型整合複習。,,,,true,true,false,true,
