slide_no,period,time,purpose,visual_role,visual_mode,layout,image_required,image_asset_ids,image_brief,text_budget,screen_copy_strategy,interaction_cue,teacher_info_location,design_qa,source_refs,audio_track
"001","GLOBAL","—","封面","開場英雄頁","full-bleed image","全版主圖＋左下標題","required","IMG-01","姓名卡與人物剪影形成一個安靜的開場畫面","主標 8–12 字；副標最多 1 行","只放課次與主題，不放教學說明","教師直接建立姓名情境","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"002","GLOBAL","—","Can-Do 目標","學生任務頁","three visual verbs","三個大圖像／大字詞橫向排列","required","IMG-02;IMG-03;IMG-17","用聽、問、說三組視覺讓學生直接看懂今天要做什麼","只顯示今天要做的 3 個短動作；每個不超過 6 字","只留真實任務與三個學生動作，不放能力目標或教學術語","學生用一句中文說出今天要做什麼","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"003","GLOBAL","—","最終任務預告","最後任務頁","editorial split","左側任務標題 35%／右側命名工作桌主圖 65%","required","IMG-14","命名工作桌讓學生先看到要完成的事情","主標 8–12 字；副標最多 1 行","只顯示任務名稱與三個短動作","小組先猜一猜要問什麼","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"004","GLOBAL","—","課堂運作規則","課堂運作規則","photo plus three chips","右側合作照片／左側三個短規則","required","IMG-03","小組合作照片承擔情境，規則只用三個短句","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","先做、再修補、留下口語產出","全班用一句中文重述合作規則","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"005","GLOBAL","—","聽力策略","聽力策略","process diagram","中央聲波流程：大意 → 證據","required","IMG-05","以兩段聲波與箭頭表現兩遍聽力的不同任務","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只保留兩個聽力動作與一句證據提示","教師播放音檔前讓學生說出第一遍與第二遍差別","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"006","P1","0–5","P1 目標與預習回收","預習回收","image-led prompt","左側姓名卡大圖／右側一個追問","required","IMG-02","姓名卡照片或圖形作為同伴交換的起點","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示「找一個相同或不同」","兩人交換預習卡","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","",""
"007","P1","5–10","自我介紹姓名","自我介紹","portrait card","人物／姓名卡 60%＋三個提示詞 40%","required","IMG-02","姓名、字義、來歷以一張視覺卡整合","主標 12 字內；只保留 3 個提示詞與時間","只保留意思、來歷、讀音三個提示詞","每人 30 秒說明","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-034",""
"008","P1","10–15","田野資料交換","田野資料交換","documentary split","調查場景 55%＋一個追問框 45%","required","IMG-04","採訪記錄的照片或原創插圖，不放表格全文","主標 12 字內；操作最多 2 行；步驟最多 3 個短句","只顯示觀察與追問兩個產出","三人小組交換資料","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-035",""
"009","P1","15–22","聽力 1-2：問題 1–3","聽力理解","audio anchor","左側聲波／情境圖 40%＋右側題目 60%","required","IMG-05","聲波與簡潔情境圖固定在同一位置，形成聽力識別系統","每頁最多 3 題或 3 個證據欄；不放完整解析","每頁只顯示三題；題目分頁，不塞六題","先個人，再小組比較","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-001","1-2"
"010","P1","22–28","聽力 1-2：問題 4–6","聽力理解","audio anchor","左側聲波／情境圖 40%＋右側題目 60%","required","IMG-05","聲波與簡潔情境圖固定在同一位置，形成聽力識別系統","每頁最多 3 題或 3 個證據欄；不放完整解析","每頁只顯示三題；題目分頁，不塞六題","先個人，再小組比較","speaker notes／教師手冊，不放學生主畫面","主視覺必須可在教室後排辨識；不使用細碎裝飾或低對比文字","E01-001","1-2"
