textbook_id,volume,source_pdf_page,source_section,item_order,example_sentence_ocr,example_sentence_zh,source_status
boya-elementary-i,初级起步篇 I,34,重点句子,1,你好！Ni hdo！,你好！,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,2,你叫什么名字？Ni jido shenme mingzi？,你叫什么名字？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,3,我叫李军。Wo jido Li Jin.,我叫李军。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,4,你是留学生吗？Ni shi liuxuesheng ma？,你是留学生吗？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,5,"他不是留学生，是中国学生。Ta bu shi lidxuesheng, shi Zhongguo xuesheng.",他不是留学生，是中国学生。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,6,我学汉语。W8 xue Hanyu.,我学汉语。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,7,他姓什么？Ta xing shenme？,他姓什么？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,34,重点句子,8,他姓王。Ta xing Wang.,他姓王。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,1,认识你很高兴！Renshini hen gaoxing！,认识你很高兴！,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,2,我也很高兴。Wo ye hen gaoxing.,我也很高兴。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,3,这是我的同学。Zhe shiwo de tongxue.,这是我的同学。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,4,我是韩国留学生，你呢？Wo shi Hanguo liuxuesheng，ni ne？,我是韩国留学生，你呢？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,5,你是哪国人？Ni shi nd guo ren？,你是哪国人？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,6,你是哪个大学的留学生？Ni shi ndge ddxue de liuxuesheng？,你是哪个大学的留学生？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,7,你认识她吗？Ni renshi ta ma？,你认识她吗？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,43,重点句子,8,"她是我同学，也是我的同屋。Ta shiwo de tongxue, ye shiwo de tongwi.",她是我同学，也是我的同屋。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,1,你住在哪儿？Nizhu zdinar？,你住在哪儿？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,2,我住在学校外边。Wi zhu zdi xuexido waibian.,我住在学校外边。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,3,她家就在我们学校的东边。Ta de jia jii zdi women xuexido de dongbian.,她家就在我们学校的东边。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,4,欢迎去我家玩儿。Huanying qu wo jia wainr.,欢迎去我家玩儿。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,5,右边是谁的房间？Youbian shi shei de fangjian？,右边是谁的房间？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,60,重点句子,6,他的专业是国际关系。Ta de zhuanye shi guoji guanxi.,他的专业是国际关系。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,1,我们怎么去？Women zenme qu？,我们怎么去？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,2,我们骑自行车去吧。Wimen qi zixingche qu ba.,我们骑自行车去吧。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,3,他办公室的电话号码是62572305。Ta bangongshi de dianhud haomd shi liu,他办公室的电话号码是62572305。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,4,他不在办公室。Ta bu zai bangongshi.,他不在办公室。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,5,我加一下儿你的微信吧。W8 jia yixidr ni de weixin ba.,我加一下儿你的微信吧。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,79,重点句子,6,"这样吧，快递你给我朋友吧。Zheyang ba, kudidi ni gei wi pengyou ba.",这样吧，快递你给我朋友吧。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,90,重点句子,1,西瓜怎么卖？Xigud zenme mai？,西瓜怎么卖？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,90,重点句子,2,一共多少钱？ Yigong duishao qian？,一共多少钱？,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,90,重点句子,3,"二十五块钱一杯，一共五十。Ershiwi kudi qian yi bei, yigong wishi.",二十五块钱一杯，一共五十。,ocr_sentence_extracted_needs_review
boya-elementary-i,初级起步篇 I,90,重点句子,4,你要买些什么？Ni ydo mdixie shenme？,你要买些什么？,ocr_sentence_extracted_needs_review
