lesson_key,coverage_id,source_section,printed_pages,audio,student_action,output,answer_policy,online_face_proposal,status
boya-quasi-intermediate-i:lesson-03,text.vocabulary,vocabulary,P22-P23,3-1,听词语并跟读23个词语及2个专名,读音记录或口头使用,无唯一答案,线上预习,source_locked
boya-quasi-intermediate-i:lesson-03,text.vocabulary_comprehension,vocabulary_comprehension,P23-P24,3-2,听第一遍选择图片并标序号；第二遍跟读,10项图片选择与跟读,答案以答案PDF核对,线上预习＋实体核对,source_locked
boya-quasi-intermediate-i:lesson-03,text.listening_sentences.exercise_3_3,listening_sentences,P24-P25,3-3,听句子判断对错并说明听到的关键词,12项判断结果,答案以答案PDF核对,实体课听力核对,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_1.exercise.first_listen,short_text_1,P25,3-4,听第一遍简单回答4题,4个口头简答,开放题不设唯一答案,线上预习＋实体互问,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_1.exercise.second_listen,short_text_1,P25,3-4,听第二遍回答3题并说两三个句子不少于20字,3段短口语,开放题不设唯一答案,实体课重做,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_1.exercise.present,short_text_1,P25-P26,3-4,介绍李大为家庭、关系和中文印象,6-8句不少于60字,开放产出；比较文本仅作核对,实体课发表,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_1.exercise.compare,short_text_1,P26,无,阅读比较文本并找出信息差,比较口头反馈,不设唯一答案,线上预习,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_2.exercise.first_listen,short_text_2,P26,3-5,听第一遍回答3题,3个口头简答,开放题不设唯一答案,线上预习＋实体互问,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_2.exercise.second_listen,short_text_2,P27,3-5,用括号词语说出3个两三句回答,3段短口语不少于20字,开放题不设唯一答案,实体课修补重做,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_2.exercise.present,short_text_2,P27,3-5,说明李大为为何选修中文,6-8句不少于60字,开放产出；比较文本仅作核对,实体课发表,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_2.exercise.compare,short_text_2,P27,无,阅读比较文本并核对因果链,比较口头反馈,不设唯一答案,线上预习,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_3.exercise.first_listen,short_text_3,P28,3-6,听第一遍回答4题,4个口头简答,开放题不设唯一答案,线上预习＋实体互问,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_3.exercise.second_listen,short_text_3,P28,3-6,用括号词语说出3个两三句回答,3段短口语不少于20字,开放题不设唯一答案,实体课修补重做,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_3.exercise.group,short_text_3,P29,3-6,小组先说、补充、最后总结中文课,首发4-6句/40字；总结6-8句/60字,开放产出不设唯一答案,实体课小组任务,source_locked
boya-quasi-intermediate-i:lesson-03,text.short_text_3.exercise.compare,short_text_3,P29,无,阅读比较文本并核对信息,比较口头反馈,不设唯一答案,线上预习,source_locked
boya-quasi-intermediate-i:lesson-03,comprehensive_1,comprehensive_practice,P30,3-4/3-5/3-6,根据三段短文填表,三主题信息表,开放表格由教师核对；不补唯一答案,实体课小组准备,source_locked
boya-quasi-intermediate-i:lesson-03,comprehensive_2,comprehensive_practice,P30,3-4/3-5/3-6,用表格和参考词语谈三方面并总结,首发6-8句/60字；总结8-10句/80字,开放产出不设唯一答案,实体课小组发表,source_locked
boya-quasi-intermediate-i:lesson-03,comprehensive_3,comprehensive_practice,P31,无,联系个人经历谈何时开始对中文有兴趣,8-10句不少于80字,开放产出不设唯一答案,实体课拓展发表,source_locked
