expression_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,expression,pinyin,meaning_en_source,meaning_vi,meaning_vi_status,source_section,source_status,source_notes
boya-elementary-i:lesson-01:expression-01,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,你好,Nǐ hǎo,How are you?/How do you do?,Xin chào,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-01:expression-02,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,谢谢,Xièxie,Thanks,Cảm ơn,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-01:expression-03,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,不客气,Bú kèqi,You're welcome,Không có gì,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-01:expression-04,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,对不起,Duìbuqǐ,Sorry,Xin lỗi,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-01:expression-05,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,没关系,Méi guānxi,It's OK,Không sao,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-01:expression-06,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,再见,Zàijiàn,Bye,Tạm biệt,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-02:expression-01,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,早上好,Zǎoshang hǎo,Good morning,Chào buổi sáng,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-02:expression-02,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,晚上好,Wǎnshang hǎo,Good evening,Chào buổi tối,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-02:expression-03,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,明天见,Míngtiān jiàn,See you tomorrow,Hẹn gặp ngày mai,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
boya-elementary-i:lesson-02:expression-04,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,请进,Qǐng jìn,"Come in, please",Mời vào,translated_subagent_draft,日常用语,source_text_manual_seed_needs_review,第1–3课无独立词语页，保留教材日常用语作为可备课查找项。
