record_id,source_page,source_page_range,source_pdf_page,source_pdf_page_range,source_pdf,section,record_type,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,raw_source_text,teaching_order,classroom_visibility,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi
T001,76,76-77,94,94-95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Bài đọc,text,李昌浩：请问，这是办公室吗？职员：是。你找谁？李昌浩：王老师在吗？我是他的学生。职员：他不在。他在家呢。李昌浩：他住哪儿？职员：他住十八楼一门，房间号是601。李昌浩：您知道他的电话号码吗？职员：知道，6293 1074。李昌浩：他的手机号码是多少？职员：不知道。李昌浩：谢谢您。职员：不谢。,"Lǐ Chānghào: Qǐngwèn, zhè shì bàngōngshì ma? Zhíyuán: Shì. Nǐ zhǎo shéi? Lǐ Chānghào: Wáng lǎoshī zài ma? Wǒ shì tā de xuésheng. Zhíyuán: Tā bú zài. Tā zài jiā ne. Lǐ Chānghào: Tā zhù nǎr? Zhíyuán: Tā zhù shíbā lóu yì mén, fángjiān hào shì liù líng yāo. Lǐ Chānghào: Nín zhīdào tā de diànhuà hàomǎ ma? Zhíyuán: Zhīdào, liù èr jiǔ sān yāo líng qī sì. Lǐ Chānghào: Tā de shǒujī hàomǎ shì duōshao? Zhíyuán: Bù zhīdào. Lǐ Chānghào: Xièxie nín. Zhíyuán: Bú xiè.","Lý Xương Hạo hỏi ở văn phòng: thầy Vương có ở đó không, thầy ở đâu, số phòng và số điện thoại là bao nhiêu. Nhân viên trả lời thầy không ở văn phòng, thầy ở nhà; thầy sống ở tầng 18, cửa số 1, phòng 601; số điện thoại nhà là 6293 1074, không biết số di động.","Dialogue about asking whether Teacher Wang is in the office, where he lives, and his telephone numbers.",,,,课文：他住哪儿。李昌浩和职员关于王老师的位置、住址、房间号、电话号码和手机号码的对话。,1,student_visible,,,
V001,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,办公室,bàngōngshì,văn phòng,office,danh từ,名,biện công thất,办公室（名）bàngōngshì (biện công thất) office văn phòng,2,student_visible,zhè shì bàngōngshì ma,这是办公室吗？,Đây có phải là văn phòng không?
V001A,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,办公,bàngōng,"làm việc ở văn phòng, làm việc tại cơ quan",to work in an office,động từ,动,biện công,办公（动）bàngōng (biện công) to work (in an office) làm việc (tại cơ quan). Sub-entry under 办公室.,2.1,student_visible,tā zài bàngōngshì bàngōng,他在办公室办公。,Anh ấy làm việc ở văn phòng.
V002,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,职员,zhíyuán,"nhân viên, viên chức",employee; office worker,danh từ,名,chức viên,"职员（名）zhíyuán (chức viên) employee; office worker nhân viên, viên chức",3,student_visible,zhíyuán shuō tā bú zài,职员说他不在。,Nhân viên nói anh ấy không có ở đây.
V003,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,找,zhǎo,"tìm, kiếm",to look for,động từ,动,trảo,"找（动）zhǎo (trảo) to look for tìm, kiếm",4,student_visible,nǐ zhǎo shéi,你找谁？,Bạn tìm ai?
V004,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,在,zài,"ở, có mặt; tại",to be in/at; in; at,"động từ, giới từ",动、介,tại,"在（动、介）zài (tại) to be in/at; in; at ở, có mặt; tại",5,student_visible,Wáng lǎoshī zài ma,王老师在吗？,Thầy Vương có ở đó không?
V005,77,77,95,95,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,家,jiā,nhà; gia đình,"home; family; classifier for a family, company, shop, etc.","danh từ, lượng từ",名、量,gia,"家（名、量）jiā (gia) home; classifier for a family, company, shop, etc. nhà; gia đình",6,student_visible,tā zài jiā ne,他在家呢。,Anh ấy đang ở nhà.
V006,77,77-78,95,95-96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,呢,ne,trợ từ ngữ khí,modal particle used at the end of a declarative sentence,trợ từ,助,ni,呢（助）ne (ni) modal particle used at the end of a declarative sentence to indicate continuation of an action or situation,7,student_visible,tā zài jiā ne,他在家呢。,Anh ấy đang ở nhà.
V007,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,住,zhù,"ở, cư trú",to live,động từ,动,trú,"住（动）zhù (trú) to live ở, cư trú",8,student_visible,tā zhù nǎr,他住哪儿？,Anh ấy sống ở đâu?
V008,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,楼,lóu,"tầng, nhà lầu",building; floor,danh từ,名,lầu,"楼（名）lóu (lầu) building tầng, nhà lầu",9,student_visible,shíbā lóu,十八楼,tầng 18
V009,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,门,mén,"cửa, cổng",door; gate,danh từ,名,môn,"门（名）mén (môn) door; gate cửa, cổng",10,student_visible,yì mén,一门,cửa số 1
V010,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,房间,fángjiān,phòng,room,danh từ,名,phòng gian,房间（名）fángjiān (phòng gian) room phòng,11,student_visible,fángjiān hào shì liù líng yāo,房间号是601。,Số phòng là 601.
V011,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,号,hào,số,number,danh từ,名,hiệu,号（名）hào (hiệu) number số,12,student_visible,nǐ zhù jǐ hào,你住几号？,Bạn ở số mấy?
V012,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,知道,zhīdào,biết,to know,động từ,动,tri đạo,知道（动）zhīdào (tri đạo) to know biết,13,student_visible,nǐ zhīdào ma,你知道吗？,Bạn có biết không?
V013,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,电话,diànhuà,điện thoại,telephone,danh từ,名,điện thoại,电话（名）diànhuà (điện thoại) telephone điện thoại,14,student_visible,tā de diànhuà hàomǎ shì duōshao,他的电话号码是多少？,Số điện thoại của anh ấy là bao nhiêu?
V013A,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,电,diàn,điện,electricity,danh từ,名,điện,电（名）diàn (điện) electricity điện. Sub-entry under 电话.,14.1,student_visible,diànhuà,电话,điện thoại
V013B,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,话,huà,lời nói,words; speech,danh từ,名,thoại,话（名）huà (thoại) words; speech lời nói. Sub-entry under 电话.,14.2,student_visible,diànhuà,电话,điện thoại
V014,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,号码,hàomǎ,"số, mã số",number,danh từ,名,hiệu mã,"号码（名）hàomǎ (hiệu mã) number số, mã số",15,student_visible,shǒujī hàomǎ,手机号码,số điện thoại di động
V015,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,零（〇）,líng,"lẻ, số không",zero,số từ,数,linh,"零（〇）（数）líng (linh) zero lẻ, số không",16,student_visible,liù líng yāo,601,sáu không một
V016,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,手机,shǒujī,điện thoại di động,mobile phone,danh từ,名,thủ cơ,手机（名）shǒujī (thủ cơ) mobile phone điện thoại di động,17,student_visible,tā de shǒujī hàomǎ shì duōshao,他的手机号码是多少？,Số di động của anh ấy là bao nhiêu?
V016A,78,78,96,96,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,Từ vựng,vocabulary,手,shǒu,tay,hand,danh từ,名,thủ,手（名）shǒu (thủ) hand tay. Sub-entry under 手机.,17.1,student_visible,shǒujī,手机,điện thoại di động
