sheet_name,column_name,description,data_policy
Lessons,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,language,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,extraction_status,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,review_status,Row-level source review status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,translation_status,Translation status in the canonical source package.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,source_qa_status,Lesson source-QA status.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,source_pdf,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,audio_root,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,vocabulary_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,grammar_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,text_dialogue_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,exercise_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,audio_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,section_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,glossary_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,counts_source_json,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,answer_policy,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,uncertainty_count,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Lessons,source_file,Relative path of the canonical structured input.,Relative path of the canonical structured input.
Vocabulary,record_id,Stable source record identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,lesson_id,Lesson identifier from the structured source.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,lesson_number,Book lesson number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,lesson_title,Printed lesson title.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,order,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,chinese_simplified,Simplified Chinese headword; source-faithful.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,pinyin,Pinyin as recorded in the source package.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,pinyin_raw,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,normalized_text,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,marked,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,textbook_page,Single printed textbook page when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,textbook_page_range,Printed textbook page range; not PDF page number.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,source_pdf_page,PDF page number when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,source_pdf_page_range,PDF page range when available.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,section_id,Canonical section identifier.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,section_label,Printed section label for quick navigation.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,part_of_speech,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,meaning_chinese_from_source,Definition copied only from source glossary entries.,Definition copied only from source glossary entries.
Vocabulary,glossary_record_ids,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,source_note,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
Vocabulary,uncertainty,Source field or reserved enrichment field; see README and proposal.,Source value preserved; blank means unavailable or not yet teacher-reviewed.
