Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
1,拼音“qǐ míngr”对应哪个词语？,起名儿,头等大事,交往,愣,20,1
2,拼音“jǐnggào”对应哪个词语？,头等大事,警告,操心,困惑不解,20,2
3,拼音“lèng”对应哪个词语？,从小,交往,别扭,愣,20,4
4,拼音“jīngyà”对应哪个词语？,警告,偏偏,居然,惊讶,20,4
5,拼音“cóngxiǎo”对应哪个词语？,惊讶,警告,从小,偏偏,20,3
6,拼音“chīkǔ”对应哪个词语？,啼笑皆非,吃苦,琢磨,同音,20,2
7,拼音“yuàn”对应哪个词语？,自古,怨,好奇,祖宗,20,2
8,拼音“zuómo”对应哪个词语？,起名儿,低调,偏偏,琢磨,20,4
9,拼音“fèijìn-xīnjī”对应哪个词语？,费尽心机,祖宗,尊称,自古,20,1
10,拼音“mòmíngqímiào”对应哪个词语？,莫名其妙,游戏,怨,费尽心机,20,1
11,拼音“kùnhuò-bùjiě”对应哪个词语？,困惑不解,吃苦,琢磨,游戏,20,1
12,拼音“yǔzhòng-bùtóng”对应哪个词语？,惊讶,交往,与众不同,低调,20,3
13,拼音“búyuē'értóng”对应哪个词语？,不约而同,怨,琢磨,祖宗,20,1
14,拼音“fāyīn”对应哪个词语？,琢磨,发音,起名儿,困惑不解,20,2
15,拼音“tóuděng dàshì”对应哪个词语？,惊讶,糟,莫名其妙,头等大事,20,4
16,拼音“bièniu”对应哪个词语？,游戏,同音,别扭,小子,20,3
17,拼音“zāo”对应哪个词语？,困惑不解,低调,糟,亲热,20,3
18,拼音“dīdiào”对应哪个词语？,不约而同,同音,低调,啼笑皆非,20,3
19,拼音“xiǎozi”对应哪个词语？,交往,怨,小子,从小,20,3
20,拼音“tóngyīn”对应哪个词语？,莫名其妙,同音,从小,啼笑皆非,20,2
21,拼音“yóuxì”对应哪个词语？,称呼,啼笑皆非,交往,游戏,20,4
22,拼音“jūrán”对应哪个词语？,居然,不由得,尊称,游戏,20,1
23,拼音“hàoqí”对应哪个词语？,偏偏,不由得,与众不同,好奇,20,4
24,拼音“bùyóude”对应哪个词语？,低调,不由得,吃苦,称呼,20,2
25,拼音“zǔzōng”对应哪个词语？,从小,发音,偏偏,祖宗,20,4
26,拼音“piānpiān”对应哪个词语？,不约而同,偏偏,交往,警告,20,2
27,拼音“cāoxīn”对应哪个词语？,操心,祖宗,从小,警告,20,1
28,拼音“tíxiào-jiēfēi”对应哪个词语？,尊称,不由得,啼笑皆非,操心,20,3
29,拼音“shǎojiàn”对应哪个词语？,少见,同音,亲热,困惑不解,20,1
30,拼音“zūnchēng”对应哪个词语？,少见,尊称,起名儿,祖宗,20,2
31,拼音“chēnghu”对应哪个词语？,称呼,别扭,游戏,惊讶,20,1
32,拼音“jiāowǎng”对应哪个词语？,好奇,费尽心机,交往,警告,20,3
33,拼音“zìgǔ”对应哪个词语？,起名儿,自古,少见,惊讶,20,2
34,拼音“qīnrè”对应哪个词语？,不约而同,惊讶,发音,亲热,20,4
