册次,ISBN,编著者,出版社,出版时间,课次,课题（官方目录）,内容大纲,核心词语库,核心语法/句式,词语来源性质,语法来源性质,核实说明,来源URL
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,1,拼音和日常用语（一）,汉语拼音基础、声母韵母和声调；配合最基本的课堂与日常问候语。,你好；老师；学生；谢谢；再见；请；听；说；读；写,汉语拼音：声母、韵母、四声；基本问候语；课堂指令。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,2,拼音和日常用语（二）,继续训练拼音、声调与音节辨听；扩大常用课堂与日常表达。,早上好；晚上好；对不起；没关系；请问；再说一遍；知道；明白；不明白,拼音与变调训练；疑问语调；常用礼貌表达。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,3,拼音和日常用语（三）,完成初级拼音与语音训练，并把语音练习过渡到最基本的日常交际。,名字；中国；汉语；同学；朋友；老师；学生；是；不；吗,拼音综合；“是/不是”；“吗”问句；人称代词。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,4,你叫什么名字,询问和介绍姓名，完成最基础的自我介绍。,叫；姓；名字；什么；我；你；他；她；是；不是,S + 叫 + 名字；S + 姓 + 姓氏；“什么”疑问句；“吗”问句。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,5,认识你很高兴,初次见面时介绍国籍、身份等个人信息，并使用礼貌寒暄。,认识；高兴；国家；中国；美国；韩国；日本；留学生；也；很,A 也……；A 很……；“呢”用于追问；“是 + 身份/国籍”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,6,这是什么,识别并询问身边物品，练习指示、所属和量词表达。,这；那；什么；书；本子；手机；电脑；谁；的；个,这/那 + 量词 + 名词；“什么/谁”；结构助词“的”；“是”字句。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,7,欢迎去我家玩儿,邀请别人到家里做客，介绍住处、人物和简单方位。,欢迎；家；玩儿；来；去；请；坐；喝；水；房间；宿舍,“欢迎 + 人 + 来/去……”；“请 + V”；“在 + 地点”；“有”字句。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,8,明天晚上你有时间吗,询问时间和是否有空，提出简单邀请并约定活动。,明天；晚上；时间；有空；有事；电影；一起；去；几点；吧,时间词作状语；“有 + 时间/事”；“几点”；句末“吧”用于建议/邀请。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,9,我们怎么去,询问出行方式与路线，说明如何从一个地点到另一个地点。,怎么；去；坐；公共汽车；地铁；出租车；走；从；到；车站,“怎么 + V”；“坐 + 交通工具”；“从……到……”；连动结构。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
初级起步篇 I,9787301306444,李海燕,北京大学出版社,2019-10,10,西瓜怎么卖,购物询价、数量和价格，完成最基础的买卖互动。,西瓜；买；卖；多少钱；块；斤；贵；便宜；要；给,“多少钱”；数量 + 量词；“太……了”；“便宜一点儿”。,教学整理（非教材逐字词语总表）,教学整理（非教材逐字语言点索引）,课题、册次、作者、ISBN与教材定位已由公开书目/样章核实。,https://www.aijiaocai.com/textbook/details?textbook_id=714611 | https://www.toho-shoten.co.jp/toho-web/search/detail?bookType=ch&id=454298
