lesson_key,candidate_page_id,source_section,source_ref,printed_pages,audio,student_action,existing_assets,missing_assets,online_candidate,face_candidate,adam_boundary_status,blocker
boya-quasi-intermediate-i:lesson-03,L03-P01,vocabulary,canonical-source.json#sections.vocabulary,P22-P23,3-1,"看词语、拼音和图片；听后跟读23项词语及2个专名","L03-V01-L03-V25",none,"词语预习", "课堂任务中调用/短修补",pending,"词语来源已由Adam确认；音频3-1语义听核待完成"
boya-quasi-intermediate-i:lesson-03,L03-P02,vocabulary_comprehension,canonical-source.json#sections.vocabulary_comprehension,P23-P24,3-2,"听第一遍从图片选择并标序号；听第二遍跟读","L03-V02,L03-V03", "L03-E03-2-FOOD-B,L03-E03-2-STUDY-A,B,C,L03-E03-2-LIFE-D", "预习初做＋实体核对", "课堂核对与重做",pending,"5个听词图片候选尚未生成；音频语义听核待完成"
boya-quasi-intermediate-i:lesson-03,L03-P03,listening_sentences,canonical-source.json#sections.listening_sentences.exercise_3_3,P24-P25,3-3,"听句子并判断对错；记录关键词作为证据","none",none,"不作为预习必做", "听力证据核对",pending,"闭合答案已核对；音频语义听核待完成"
boya-quasi-intermediate-i:lesson-03,L03-P04,short_text_1,canonical-source.json#sections.short_text_1,P25-P26,3-4,"听短文、回答问题并介绍家庭生活和中文兴趣","L03-CONTEXT-CHINESE-NEW-YEAR",none,"阅读/听力预习", "互问、发表、重做",pending,"开放产出无唯一答案；正式课时待确认"
boya-quasi-intermediate-i:lesson-03,L03-P05,common_expressions_family,canonical-source.json#sections.common_expressions_family,P26,none,"理解家庭生活常用表达并准备个人句子","L03-V05,L03-V06,L03-V14,L03-V15,L03-V16",none,"表达预览", "任务中使用",pending,"不得脱离教材例句新增答案"
boya-quasi-intermediate-i:lesson-03,L03-P06,short_text_2,canonical-source.json#sections.short_text_2,P26-P28,3-5,"听短文、说明为什么选修中文并完成因果信息","L03-CONTEXT-TRANSFER-CHOICE",none,"阅读/听力预习", "同伴问答、因果链与发表",pending,"开放产出无唯一答案；正式课时待确认"
boya-quasi-intermediate-i:lesson-03,L03-P07,common_expressions_study,canonical-source.json#sections.common_expressions_study,P27-P28,none,"理解学习工作常用表达并准备个人句子","L03-V07,V08,V17,V18,V20,V21,V22,V23,V24,V25",none,"表达预览", "任务中使用",pending,"教材词类空白须保留；开放表达无唯一答案"
boya-quasi-intermediate-i:lesson-03,L03-P08,short_text_3,canonical-source.json#sections.short_text_3,P28-P29,3-6,"听中文课、回答问题并完成小组先说-补充-总结","L03-CONTEXT-CHINESE-CLASS,L03-V09,L03-V11,L03-V12,L03-V13",none,"阅读/听力预习", "听力证据、小组任务与重做",pending,"音频语义听核待完成；正式课时待确认"
boya-quasi-intermediate-i:lesson-03,L03-P09,common_expressions_discuss,canonical-source.json#sections.common_expressions_discuss,P29,none,"理解中文课堂常用表达并准备课堂互助对话","L03-V09,L03-V11,L03-V12,L03-V13,L03-V14",none,"表达预览", "互相帮助与追问",pending,"课堂动作须与批准教师手册同步"
boya-quasi-intermediate-i:lesson-03,L03-P10,comprehensive_practice,canonical-source.json#sections.comprehensive_practice,P30-P31,3-4/3-5/3-6,"根据三段短文填表、总结并联系个人经历发表","L03-CONTEXT-CHINESE-NEW-YEAR,L03-CONTEXT-TRANSFER-CHOICE,L03-CONTEXT-CHINESE-CLASS",none,"预填关键词", "小组总结与个人迁移",pending,"正式课时和线上／实体边界待Adam确认"
