module_order,module_id,module_name_vi,module_name_zh,source_page,status,notes
1,warmup,Khởi động,暖身活动,,generated,"Hoạt động khởi động do giáo viên thiết kế, không có trong sách"
2,objectives,Mục tiêu bài học,学习目标,,generated,Mục tiêu học tập được tổng hợp từ nội dung bài
3,pinyin,Ngữ âm,拼音,,skip,SKIP — Nội dung ngữ âm được xử lý bởi quy trình pinyin riêng biệt
4,pinyin_practice,Luyện ngữ âm,拼音练习,,skip,SKIP — Luyện ngữ âm được xử lý bởi quy trình pinyin riêng biệt
5,vocabulary,Từ vựng,生词,19,extracted,12 từ vựng mới từ trang 19-20
6,vocabulary_practice,Luyện từ vựng,生词练习,,generated,Bài tập luyện từ vựng do giáo viên thiết kế
7,grammar,Ngữ pháp,语法,,skip,SKIP — Bài 1 không có nội dung ngữ pháp
8,grammar_practice,Luyện ngữ pháp,语法练习,,skip,SKIP — Bài 1 không có nội dung ngữ pháp
9,text_preview,Giới thiệu bài khóa,课文预习,,generated,Hoạt động dẫn nhập trước khi đọc bài khóa
10,text,Bài đọc,课文,19,extracted,Hội thoại chào hỏi đơn giản: 你好 / 你好
11,culture,Văn hóa bổ sung,文化补充,,generated,Bổ sung kiến thức văn hóa liên quan đến chào hỏi
12,discussion,Thảo luận,课程讨论,,generated,Hoạt động thảo luận cuối bài
13,homework_intro,Giới thiệu bài tập về nhà,课后作业说明,,generated,Hướng dẫn bài tập về nhà
