lesson,mode,slide,final_title,project_title,title_match,final_text_chars,project_text_chars,text_match,final_upper_right_page,project_upper_right_page,page_marker_match
01,在线预习,1,,,true,24,24,true,01,01,true
01,在线预习,2,学习流程图,学习流程图,true,19,19,true,02,02,true
01,在线预习,3,,,true,126,126,true,03,03,true
01,在线预习,4,,,true,35,35,true,04,04,true
01,在线预习,5,独生女,独生女,true,125,126,false,05,05,true
01,在线预习,6,出生,出生,true,91,92,false,06,06,true
01,在线预习,7,照顾,照顾,true,91,92,false,07,07,true
01,在线预习,8,离开,离开,true,95,96,false,08,08,true
01,在线预习,9,广告,广告,true,119,120,false,09,09,true
01,在线预习,10,请你说说它们的中文并造句,请你说说它们的中文并造句,true,42,42,true,10,10,true
01,在线预习,11,满意,满意,true,116,117,false,11,11,true
01,在线预习,12,努力,努力,true,103,104,false,12,12,true
01,在线预习,13,压力,压力,true,92,93,false,13,13,true
01,在线预习,14,开夜车,开夜车,true,130,131,false,14,14,true
01,在线预习,15,受欢迎,受欢迎,true,155,158,false,15,15,true
01,在线预习,16,请你说说它们的中文并造句,请你说说它们的中文并造句,true,43,43,true,16,16,true
01,在线预习,17,帮助,帮助,true,112,113,false,17,17,true
01,在线预习,18,放假,放假,true,153,154,false,18,18,true
01,在线预习,19,越来越,越来越,true,128,129,false,19,19,true
01,在线预习,20,拍,拍,true,102,103,false,20,20,true
01,在线预习,21,照片,照片,true,115,112,false,21,21,true
01,在线预习,22,请你说说它们的中文并造句,请你说说它们的中文并造句,true,41,41,true,22,22,true
01,在线预习,23,适应,适应,true,106,107,false,23,23,true
01,在线预习,24,要求,要求,true,100,120,false,24,24,true
01,在线预习,25,卫生,卫生,true,114,115,false,25,25,true
01,在线预习,26,担心,担心,true,124,125,false,26,26,true
01,在线预习,27,父母,父母,true,88,89,false,27,27,true
01,在线预习,28,请你说说它们的中文并造句,请你说说它们的中文并造句,true,41,41,true,28,28,true
01,在线预习,29,空儿,空儿,true,114,115,false,29,29,true
