lesson_id,page_range,sequence,module_id,module_name_vi,module_name_zh,content_focus,notes,source_page,source_page_range,status
pinyin-01,1,1,lesson_overview,Mục lục,目录,第一课课程流程总览。,作为课程导览页。,1,1,ready
pinyin-01,2,2,learning_objective,Mục tiêu học tập,学习目标,认识拼音、声母、韵母、声调；能正确发音第一课词汇。,目标应强调发音，不强调认字。,2,2,ready
pinyin-01,3-4,3,concept,Khái niệm pinyin,拼音概念,拼音是什么、拼音用途、声母/韵母/声调概念。,适合拆成多个概念卡。,3,3-4,ready
pinyin-01,5,4,pinyin_chart,Bảng ghép âm,声母 b p m f + 韵母 a o e i u ü 拼音表,建立第一组拼读组合；不含声调。,,5,5,ready
pinyin-01,6,5,pinyin_exercise,Luyện pinyin,拼音练习,拼读练习，不含声调。,,6,6,ready
pinyin-01,7,6,tone,Thanh điệu,声调学习,四声 + 轻声。,,7,7,ready
pinyin-01,8,7,tone_exercise,Luyện thanh điệu,声调练习,四声练习，不含轻声。,,8,8,ready
pinyin-01,9,8,vocabulary_set,Từ vựng,词汇 1,八、怕、饿、不、鼻、木、马、佛。,,9,9,ready
pinyin-01,10,9,vocab_exercise,Luyện từ vựng,词汇练习 1,词汇 1 的发音练习。,,10,10,ready
pinyin-01,11,10,vocabulary_set,Từ vựng,词汇 2,妈妈、爸爸、服务、衣服、皮肤、密码、伯父/伯母。,,11,11,ready
pinyin-01,12,11,vocab_exercise,Luyện từ vựng,词汇练习 2,词汇 2 的发音练习。,,12,12,ready
pinyin-01,13,12,review_exercise,Ôn tập cuối bài,课后练习,2-3 个题型整合复习。,,13,13,ready
pinyin-01,18-19,13,tech_setup,Cài bộ gõ,输入法安装教学,中文输入法安装与设定。,,18,18-19,ready
