lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,symbol,category,final_group,content_focus,exercise_type,source_set_id,source_chart_id,related_rule_id,script_note,pronunciation_first,meaning_focus,requires_hanzi_recognition,includes_tones,is_page_range_flexible,notes
pinyin_lesson_06,P1,,1,lesson_cover,page_l6_01,封面,,,,lesson_page,,第六课课程封面。,,,,,,true,true,false,,false,
pinyin_lesson_06,P2,,2,learning_objective,page_l6_02,学习目标,,,,lesson_page,,说明本课要学 ia/iao/ian/iang/iong、ua/uo/uai/uan/uang/üan、含声调拼读、词汇发音与字义、üan 拼写变化。,,,,,,true,true,false,,false,
pinyin_lesson_06,P3,,3,warmup_activity,page_l6_03,暖身活动：复习第五课生词,,,,lesson_page,,复习第五课生词；活动可用连连看或听音猜意 flash card。,,,,,,true,true,false,,false,
pinyin_lesson_06,P4,,4,pinyin_learning_cover,page_l6_04,拼音学习封面 1：ia iao ian iang iong,,,,lesson_page,,进入第一组 i 开头复合韵母学习段落。,,,,,,true,true,false,,false,
pinyin_lesson_06,P5,,5,pinyin_chart,pinyin_chart_l6_group_1,拼音学习表格 1：全部声母 + ia iao ian iang iong,,,,lesson_page,,建立 21 声母与 ia/iao/ian/iang/iong 的拼读组合。,,,pinyin_chart_l6_group_1,,,true,true,false,false,false,
pinyin_lesson_06,P6,,6,pinyin_exercise,page_l6_06,拼音练习 1,,,,lesson_page,,第一组韵母拼读练习，含声调。,,,pinyin_chart_l6_group_1,,,true,true,false,true,false,
pinyin_lesson_06,P7,,7,vocabulary_set,vocab_set_l6_01,词汇 1,,,,lesson_page,,家、下、脚、小、电、钱、香、穷。,,vocab_set_l6_01,,,,true,true,false,,false,
pinyin_lesson_06,P8,,8,vocab_exercise,page_l6_08,词汇练习 1,,,,lesson_page,,词汇 1 的发音与字义练习。,,vocab_set_l6_01,,,,true,true,false,,false,
pinyin_lesson_06,P9,,9,pinyin_learning_cover,page_l6_09,拼音学习封面 2：ua uo uai uan uang üan,,,,lesson_page,,进入第二组 u/ü 开头复合韵母学习段落。,,,,,,true,true,false,,false,
pinyin_lesson_06,P10,,10,pinyin_chart,pinyin_chart_l6_group_2,拼音学习表格 2：全部声母 + ua uo uai uan uang üan,,,,lesson_page,,建立 21 声母与 ua/uo/uai/uan/uang/üan 的拼读组合。,,,pinyin_chart_l6_group_2,rule_l6_jqx_uan_umlaut,,true,true,false,false,false,
pinyin_lesson_06,P11,,11,pinyin_exercise,page_l6_11,拼音练习 2,,,,lesson_page,,第二组韵母拼读练习，含声调。,,,pinyin_chart_l6_group_2,,,true,true,false,true,false,
pinyin_lesson_06,P12,,12,vocabulary_set,vocab_set_l6_02,词汇 2,,,,lesson_page,,花、黄瓜、多、说、坏、快、船、床。,,vocab_set_l6_02,,,,true,true,false,,false,
pinyin_lesson_06,P13,,13,vocab_exercise,page_l6_13,词汇练习 2,,,,lesson_page,,词汇 2 的发音与字义练习。,,vocab_set_l6_02,,,,true,true,false,,false,
pinyin_lesson_06,P14,,14,spelling_rule,rule_l6_jqx_uan_umlaut,规则：üan 的变化,,,,lesson_page,,学习 j/q/x + üan 时，拼写为 juan/quan/xuan。,,,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,发音仍与 üan 有关，拼写省略 ü 上两点。
pinyin_lesson_06,P15,,15,vocabulary_set,vocab_set_l6_03,词汇 3,,,,lesson_page,,春卷、安全、选。,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,春卷依使用者原字形保留，之后可确认是否改为繁体「春卷」。
pinyin_lesson_06,P16,,16,vocab_exercise,page_l6_16,词汇练习 3,,,,lesson_page,,词汇 3 的发音与字义练习。,,vocab_set_l6_03,,rule_l6_jqx_uan_umlaut,,true,true,false,,false,
pinyin_lesson_06,,P17-P18|P17-P19,17,review_exercise,page_l6_17,课后练习,,,,lesson_page,,2-3 个题型整合复习。,,,,,,true,true,false,,true,页码与页数待定；发音正确、认字义为主，不需要认汉字。
pinyin_lesson_06,P3,,90,warmup_activity,warmup_review_pinyin_lesson_05,暖身活动：复习第五课生词,,,,warmup_activity,,复习前一课的生词,,,,,,true,true,false,,,暖身活动放在学习目标之后，用第五课生词作为复习材料。
pinyin_lesson_06,P3,,91,warmup_activity_option,warmup_review_pinyin_lesson_05_option_1,连连看,,,,matching,,学生看照片，连到对应的拼音与汉字。,,,,,,true,true,false,,,
pinyin_lesson_06,P3,,92,warmup_activity_option,warmup_review_pinyin_lesson_05_option_2,听音猜意 flash card,,,,audio_flashcard,,正面播放生词音档，学生猜意思；反面显示汉字、拼音与图片。,,,,,,true,true,false,,,
pinyin_lesson_06,P5|P10,,100,initials_reference,summary_21_initials,全部 21 声母,,,,initials_reference,,b|p|m|f|d|t|n|l|g|k|h|j|q|x|zh|ch|sh|r|z|c|s,,,,,,true,false,false,,,
pinyin_lesson_06,P4,,101,final,final_ia,韵母 ia,,,ia,final,i_start_group,韵母 ia。,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_06,P4,,102,final,final_iao,韵母 iao,,,iao,final,i_start_group,韵母 iao。,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_06,P4,,103,final,final_ian,韵母 ian,,,ian,final,i_start_group,韵母 ian。,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_06,P4,,104,final,final_iang,韵母 iang,,,iang,final,i_start_group,韵母 iang。,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_06,P4,,105,final,final_iong,韵母 iong,,,iong,final,i_start_group,韵母 iong。,,,,,,true,false,false,,,chart_page=P5; rule_page=
pinyin_lesson_06,P9,,106,final,final_ua,韵母 ua,,,ua,final,u_start_group,韵母 ua。,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_06,P9,,107,final,final_uo,韵母 uo,,,uo,final,u_start_group,韵母 uo。,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_06,P9,,108,final,final_uai,韵母 uai,,,uai,final,u_start_group,韵母 uai。,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_06,P9,,109,final,final_uan,韵母 uan,,,uan,final,u_start_group,韵母 uan。,,,,,,true,false,false,,,chart_page=P10; rule_page=
pinyin_lesson_06,P9,,110,final,final_uang,韵母 uang,,,uang,final,u_start_group,韵母 uang。,,,,,,true,false,false,,,chart_page=P10; rule_page=
