record_id,exercise_order,exercise_type,textbook_page,pdf_page,section_id,audio_asset_ids,answer_status,source_review_status,planned_teaching_slot
"E01-001","1","listening_comprehension_questions","3","14","S01-003","A01-002","not_provided_in_source","pending_review","待教學重組"
"E01-002","2","listening_multiple_choice","3","14","S01-003","A01-003","not_provided_in_source","pending_review","待教學重組"
"E01-003","3","guided_speaking","4","15","S01-003-03","","","pending_review","待教學重組"
"E01-004","4","listen_repeat_substitute","4","15","S01-003A","A01-004","","pending_review","待教學重組"
"E01-005","5","dialogue_repetition","4","15","S01-003A","A01-005","","pending_review","待教學重組"
"E01-006","6","listening_fill_blank","5","16","S01-004","A01-006","not_provided_in_source","pending_review","待教學重組"
"E01-007","7","listening_true_false","5","16","S01-004","A01-006","not_provided_in_source","pending_review","待教學重組"
"E01-008","8","listening_open_response","5","16","S01-004","A01-006","","pending_review","待教學重組"
"E01-009","9","pattern_dialogue_completion","6|7","17|18","S01-005","","","pending_review","待教學重組"
"E01-010","10","pattern_rewrite","7","18","S01-005","","","pending_review","待教學重組"
"E01-011","11","pattern_situation","7","18","S01-005","","","pending_review","待教學重組"
"E01-012","12","pattern_discussion","7","18","S01-005","","","pending_review","待教學重組"
"E01-013","13","culture_discussion","7","18","S01-006","","","pending_review","待教學重組"
"E01-014","14","reading_comprehension","8","19","S01-006","","","pending_review","待教學重組"
"E01-015","15","paragraph_speaking","8","19","S01-007","","","pending_review","待教學重組"
"E01-016","16","role_play","9","20","S01-007","","","pending_review","待教學重組"
"E01-017","17","classroom_practice","9","20","S01-007","","","pending_review","待教學重組"
"E01-018","18","survey_report","9","20","S01-007","","","pending_review","待教學重組"
"E01-034","34","classroom_exchange","2","13","S01-002-02","","","pending_review","待教學重組"
"E01-035","35","survey_report","2","13","S01-002-03","","","pending_review","待教學重組"
"E01-019","19","classroom_exchange","10","21","S01-009-02","A01-007","","pending_review","待教學重組"
"E01-020","20","listening_comprehension_questions","11","22","S01-010","A01-008","","pending_review","待教學重組"
"E01-021","21","guided_speaking","11","22","S01-010","","","pending_review","待教學重組"
"E01-022","22","listen_repeat_substitute","11","22","S01-010A","A01-009","","pending_review","待教學重組"
"E01-023","23","dialogue_repetition","12","23","S01-010A-02","A01-010","","pending_review","待教學重組"
"E01-024","24","listening_fill_blank","12|13","23|24","S01-011","A01-011","","pending_review","待教學重組"
"E01-025","25","listening_true_false","13","24","S01-011","A01-011","","pending_review","待教學重組"
"E01-026","26","listening_open_response","13","24","S01-011","A01-011","","pending_review","待教學重組"
"E01-027","27","pattern_practice","14","25","S01-012","","","pending_review","待教學重組"
"E01-028","28","culture_discussion","14","25","S01-013","","","pending_review","待教學重組"
"E01-029","29","reading_comprehension","14|15","25|26","S01-013","","","pending_review","待教學重組"
"E01-030","30","paragraph_speaking","15","26","S01-014","","","pending_review","待教學重組"
"E01-031","31","research_speaking","15","26","S01-014","","","pending_review","待教學重組"
"E01-032","32","pronunciation_reading","15|16","26|27","S01-014","","","pending_review","待教學重組"
"E01-033","33","dialogue_reflection","16","27","S01-014","","","pending_review","待教學重組"
