lesson_id,page_range,page_range_options,sequence,record_type,item_id,title,hanzi,pinyin,category,content_focus,exercise_type,source_set_id,related_rule_id,pronunciation_first,meaning_focus,requires_hanzi_recognition,is_page_range_flexible,notes
pinyin_lesson_07,P1,,1,lesson_cover,page_l7_01,封面,,,lesson_page,第七课课程封面。,,,,true,true,false,false,
pinyin_lesson_07,P2,,2,learning_objective,page_l7_02,学习目标,,,lesson_page,说明本课要学 i/u/ü 开头拼音变化规则、生词拼音连写、词汇发音与字义。,,,,true,true,false,false,
pinyin_lesson_07,P3,,3,warmup_activity,page_l7_03,暖身活动：复习第六课生词,,,lesson_page,复习第六课生词；活动可用连连看或听音猜意 flash card。,,,,true,true,false,false,
pinyin_lesson_07,P4,,4,pinyin_learning_cover,page_l7_04,i/u/ü 开头拼音学习封面 1：yi yin ying,,,lesson_page,进入 i/in/ing 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P5,,5,spelling_rule,rule_l7_i_yi_yin_ying,"i 开头拼音变化规则 1：i, in, ing → yi, yin, ying",,,lesson_page,学习 i、in、ing 独立成音节时改写为 yi、yin、ying。,,,rule_l7_i_yi_yin_ying,true,true,false,false,
pinyin_lesson_07,P6,,6,vocabulary_set,vocab_set_l7_01,词汇 1,,,lesson_page,一、音、赢。,,,rule_l7_i_yi_yin_ying,true,true,false,false,
pinyin_lesson_07,P7,,7,reserved_page,page_l7_07,待安排/保留页,,,lesson_page,使用者提供的页码中未指定 P7 内容。,,,,true,true,false,false,保留原始页码间隔，避免自动重排后续页码。
pinyin_lesson_07,P8,,8,pinyin_learning_cover,page_l7_08,i/u/ü 开头拼音学习封面 2：ya ye yao yan yang yong,,,lesson_page,进入 ia/ie/iao/ian/iang/iong 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P9,,9,spelling_rule,rule_l7_i_compound_y,"i 开头拼音变化规则 2：ia, ie, iao, ian, iang, iong → ya, ye, yao, yan, yang, yong",,,lesson_page,学习 i 开头复合韵母独立成音节时改用 y 开头拼写。,,,rule_l7_i_compound_y,true,true,false,false,
pinyin_lesson_07,P10,,10,vocabulary_set,vocab_set_l7_02,词汇 2,,,lesson_page,鸭、爷爷、药、颜色、羊、使用。,,,rule_l7_i_compound_y,true,true,false,false,
pinyin_lesson_07,P11,,11,pinyin_learning_cover,page_l7_11,i/u/ü 开头拼音学习封面 3：iu,,,lesson_page,进入 iu 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P12,,12,spelling_rule,rule_l7_iu_you,i 开头拼音变化规则 3：iu → you,,,lesson_page,学习 iu 独立成音节时改写为 you。,,,rule_l7_iu_you,true,true,false,false,
pinyin_lesson_07,P13,,13,vocabulary_set,vocab_set_l7_03,词汇 3,,,lesson_page,游泳。,,,rule_l7_iu_you,true,true,false,false,
pinyin_lesson_07,P14,,14,vocab_exercise,page_l7_14,词汇练习 1,,,lesson_page,练习词汇 1-3 中的十个生词。,,vocab_set_l7_01|vocab_set_l7_02|vocab_set_l7_03,,true,true,false,false,
pinyin_lesson_07,P15,,15,pinyin_learning_cover,page_l7_15,i/u/ü 开头拼音学习封面 4：wu,,,lesson_page,进入 u 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P16,,16,spelling_rule,rule_l7_u_wu,u 开头拼音变化规则 1：u → wu,,,lesson_page,学习 u 独立成音节时改写为 wu。,,,rule_l7_u_wu,true,true,false,false,
pinyin_lesson_07,P17,,17,vocabulary_set,vocab_set_l7_04,词汇 4,,,lesson_page,五。,,,rule_l7_u_wu,true,true,false,false,
pinyin_lesson_07,P18,,18,pinyin_learning_cover,page_l7_18,i/u/ü 开头拼音学习封面 5：wa wo wai wan wang weng,,,lesson_page,进入 ua/uo/uai/uan/uang/ueng 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P19,,19,spelling_rule,rule_l7_u_compound_w,"u 开头拼音变化规则 2：ua, uo, uai, uan, uang, ueng → wa, wo, wai, wan, wang, weng",,,lesson_page,学习 u 开头复合韵母独立成音节时改用 w 开头拼写。,,,rule_l7_u_compound_w,true,true,false,false,
pinyin_lesson_07,P20,,20,vocabulary_set,vocab_set_l7_05,词汇 5,,,lesson_page,袜子、我、外面、玩、忘记、瓮。,,,rule_l7_u_compound_w,true,true,false,false,
pinyin_lesson_07,P21,,21,pinyin_learning_cover,page_l7_21,i/u/ü 开头拼音学习封面 6：wei wen,,,lesson_page,进入 ui/un 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P22,,22,spelling_rule,rule_l7_ui_un_wei_wen,"u 开头拼音变化规则 3：ui, un → wei, wen",,,lesson_page,学习 ui、un 独立成音节时改写为 wei、wen。,,,rule_l7_ui_un_wei_wen,true,true,false,false,
pinyin_lesson_07,P23,,23,vocabulary_set,vocab_set_l7_06,词汇 6,,,lesson_page,喂、文化。,,,rule_l7_ui_un_wei_wen,true,true,false,false,
pinyin_lesson_07,P24,,24,vocab_exercise,page_l7_24,词汇练习 2,,,lesson_page,练习词汇 4-6 中的十个生词。,,vocab_set_l7_04|vocab_set_l7_05|vocab_set_l7_06,,true,true,false,false,
pinyin_lesson_07,P25,,25,pinyin_learning_cover,page_l7_25,i/u/ü 开头拼音学习封面 7：yu yue yuan yun,,,lesson_page,进入 ü/üe/üan/ün 独立成音节变化段落。,,,,true,true,false,false,
pinyin_lesson_07,P26,,26,spelling_rule,rule_l7_u_umlaut_y,"ü 开头拼音变化规则：ü, üe, üan, ün → yu, yue, yuan, yun",,,lesson_page,学习 ü 开头韵母独立成音节时改用 yu/yue/yuan/yun。,,,rule_l7_u_umlaut_y,true,true,false,false,
pinyin_lesson_07,P27,,27,vocabulary_set,vocab_set_l7_07,词汇 7,,,lesson_page,鱼、雨、月、越南、圆、云。,,,rule_l7_u_umlaut_y,true,true,false,false,使用者原始标记为词汇6；此处整理为词汇7，避免和 P23 词汇6 重复。
pinyin_lesson_07,P28,,28,vocab_exercise,page_l7_28,词汇练习 3,,,lesson_page,练习词汇 7。,,vocab_set_l7_07,,true,true,false,false,使用者原始描述为「练习词汇6中」；此处依 P27 整理为词汇7。
pinyin_lesson_07,P29,,29,word_spacing_rule,rule_l7_word_pinyin_spacing,规则：生词拼音的连写,,,lesson_page,解释为什么「越南」的拼音是 Yuènán，而不是 Yuè nán。,,,rule_l7_word_pinyin_spacing,true,true,false,false,
pinyin_lesson_07,,P30-P31|P30-P32,30,review_exercise,page_l7_30,课后练习,,,lesson_page,2-3 个题型整合复习。,,,,true,true,false,true,
pinyin_lesson_07,,P33|P34,31,spelling_rule_summary,summary_l7_i_u_umlaut_rules,i/u 变化规则总结表格,,,lesson_page,整理 i/u/ü 开头拼音变化规则。,,,,true,true,false,true,
pinyin_lesson_07,P3,,90,warmup_activity,warmup_review_pinyin_lesson_06,暖身活动：复习第六课生词,,,warmup_activity,复习前一课的生词,,,,true,true,false,,暖身活动放在学习目标之后，用第六课生词作为复习材料。
pinyin_lesson_07,P3,,91,warmup_activity_option,warmup_review_pinyin_lesson_06_option_1,连连看,,,matching,学生看照片，连到对应的拼音与汉字。,,,,true,true,false,,
pinyin_lesson_07,P3,,92,warmup_activity_option,warmup_review_pinyin_lesson_06_option_2,听音猜意 flash card,,,audio_flashcard,正面播放生词音档，学生猜意思；反面显示汉字、拼音与图片。,,,,true,true,false,,
pinyin_lesson_07,P5,,101,spelling_rule,rule_l7_i_yi_yin_ying,i/in/ing → yi/yin/ying,,,spelling_rule,韵母独立成音节时，需要依规则改写拼音开头。,,,rule_l7_i_yi_yin_ying,true,true,false,,
pinyin_lesson_07,P5,,102,spelling_rule_mapping,rule_l7_i_yi_yin_ying_i_to_yi,i→yi,,,spelling_rule_mapping,i is written as yi.,,,rule_l7_i_yi_yin_ying,true,true,false,,
pinyin_lesson_07,P5,,103,spelling_rule_mapping,rule_l7_i_yi_yin_ying_in_to_yin,in→yin,,,spelling_rule_mapping,in is written as yin.,,,rule_l7_i_yi_yin_ying,true,true,false,,
pinyin_lesson_07,P5,,104,spelling_rule_mapping,rule_l7_i_yi_yin_ying_ing_to_ying,ing→ying,,,spelling_rule_mapping,ing is written as ying.,,,rule_l7_i_yi_yin_ying,true,true,false,,
pinyin_lesson_07,P9,,105,spelling_rule,rule_l7_i_compound_y,ia/ie/iao/ian/iang/iong → ya/ye/yao/yan/yang/yong,,,spelling_rule,韵母独立成音节时，需要依规则改写拼音开头。,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,106,spelling_rule_mapping,rule_l7_i_compound_y_ia_to_ya,ia→ya,,,spelling_rule_mapping,ia is written as ya.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,107,spelling_rule_mapping,rule_l7_i_compound_y_ie_to_ye,ie→ye,,,spelling_rule_mapping,ie is written as ye.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,108,spelling_rule_mapping,rule_l7_i_compound_y_iao_to_yao,iao→yao,,,spelling_rule_mapping,iao is written as yao.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,109,spelling_rule_mapping,rule_l7_i_compound_y_ian_to_yan,ian→yan,,,spelling_rule_mapping,ian is written as yan.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,110,spelling_rule_mapping,rule_l7_i_compound_y_iang_to_yang,iang→yang,,,spelling_rule_mapping,iang is written as yang.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P9,,111,spelling_rule_mapping,rule_l7_i_compound_y_iong_to_yong,iong→yong,,,spelling_rule_mapping,iong is written as yong.,,,rule_l7_i_compound_y,true,true,false,,
pinyin_lesson_07,P12,,112,spelling_rule,rule_l7_iu_you,iu → you,,,spelling_rule,韵母独立成音节时，需要依规则改写拼音开头。,,,rule_l7_iu_you,true,true,false,,
pinyin_lesson_07,P12,,113,spelling_rule_mapping,rule_l7_iu_you_iu_to_you,iu→you,,,spelling_rule_mapping,iu is written as you.,,,rule_l7_iu_you,true,true,false,,
