vocabulary_key,textbook_id,volume,word,pinyin,part_of_speech,meaning_en_source,meaning_vi,meaning_vi_status,repeated_mark,lesson_numbers,lesson_titles,source_printed_pages,source_appendix_pdf_pages,source_section,source_status,source_notes
boya-elementary-i:杯子:beizi,boya-elementary-i,初级起步篇 I,杯子,beizi,名,cup,cái cốc; ly,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:北方:beifang,boya-elementary-i,初级起步篇 I,北方,beifang,,,miền Bắc,translated_subagent_draft,,4;16,你叫什么名字;来一斤饺子,16,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:安静:anjing,boya-elementary-i,初级起步篇 I,安静,anjing,形,quiet,yên tĩnh,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:本子:benzi,boya-elementary-i,初级起步篇 I,本子,benzi,名,notebook,quyển vở,translated_subagent_draft,,2;6,拼音和日常用语（二）;这是什么,6,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:安排:ainpai,boya-elementary-i,初级起步篇 I,安排,ainpai,动,to plan,sắp xếp; bố trí,translated_subagent_draft,,4;22,你叫什么名字;明天你下了课去哪儿,22,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:比较:bijido,boya-elementary-i,初级起步篇 I,比较,bijido,,comparactively; relatively,khá; tương đối; so sánh,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:熬夜:doye,boya-elementary-i,初级起步篇 I,熬夜,do ye,,to stay up late,thức khuya,translated_subagent_draft,,4;19,你叫什么名字;你又熬夜了,19,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:比如:biru,boya-elementary-i,初级起步篇 I,比如,biru,动,for example,ví dụ như,translated_subagent_draft,,4;18,你叫什么名字;今天我七点半就起床了,18,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:比赛:bisai,boya-elementary-i,初级起步篇 I,比赛,bisai,名,match; competition,cuộc thi; trận đấu,translated_subagent_draft,,5;25,认识你很高兴;准备好了吗,25,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
boya-elementary-i:吧:ba,boya-elementary-i,初级起步篇 I,吧,ba,助,"of a sentence to indicate a supposition, suggestion， request or order","trợ từ cuối câu dùng để đề nghị, yêu cầu hoặc phỏng đoán",translated_subagent_draft,,2;8,拼音和日常用语（二）;明天晚上你有时间吗,8,238,词语总表,appendix_canonical_needs_pos_translation_review,词语总表提供词语、拼音和教材印刷页码；词类与越南文释义待从对应词语页核对。
