id,page,section,type,zh,pinyin,vi,pos,raw,seq
C001,3,Mục lục,outline,,,Khái niệm về pinyin; thanh mẫu; vận mẫu; thanh điệu; từ vựng; thử thách bản thân,,Hôm nay bạn sẽ học những gì? Nội dung...,1
C002,4,Khái niệm pinyin,concept,拼音,pīnyīn,Phiên âm tiếng Trung; công cụ giúp đọc chữ Hán và luyện phát âm,danh từ,Vì sao chúng ta nên học pinyin? Phiên âm / Chữ Hán / hǎo / nǐ,2
C003,5,Khái niệm pinyin,concept,声母,shēng mǔ,Thanh mẫu: phụ âm đầu trong âm tiết tiếng Trung,danh từ,Thanh mẫu là phụ âm trong tiếng Trung. Nó luôn đứng trước một phiên âm.,3
C004,5,Khái niệm pinyin,concept,韵母,yùn mǔ,"Vận mẫu: phần vần/nguyên âm, thành phần thiết yếu của âm tiết",danh từ,"Vận mẫu là nguyên âm trong tiếng Trung, được xem là thành phần thiết yếu của một âm tiết.",4
C005,5,Khái niệm pinyin,concept,声调,shēng diào,Thanh điệu: dấu giọng làm thay đổi nghĩa của từ,danh từ,"Trong tiếng Trung có 4 thanh điệu chính, được biểu thị bằng dấu.",5
P001,6,Phát âm,pinyin_table,发音,fāyīn,Ghép thanh mẫu b/p/m/f với vận mẫu a/o/e/i/u/ü; vận mẫu er không ghép với thanh mẫu,,Kết hợp đọc thanh mẫu và vận mẫu theo như bảng. er không ghép được với bất kỳ thanh mẫu nào.,6
P002,6,Thanh mẫu,initials,,b p m f,"Nhóm thanh mẫu đầu bài: b, p, m, f",,b ba bo bi bu; p pa po pi pu; m ma mo me mi mu; f fa fo fu,7
P003,6,Vận mẫu,finals,,a o e i u ü er,"Nhóm vận mẫu đầu bài: a, o, e, i, u, ü, er",,a o e i u ü; er special final,8
P004,7,Quy tắc viết pinyin,spelling_rule,拼写规则,i → yi; u → wu; ü → yu,Khi i/u/ü đứng độc lập thành âm tiết: thêm y/w theo quy tắc và bỏ hai chấm của ü khi viết yu,,i → yi; u → wu; ü → yu,9
T001,8,Thanh điệu,tone,妈,mā,Thanh 1: cao và ngang (55),ví dụ,妈 mā thanh 1 55,10
T002,8,Thanh điệu,tone,麻,má,Thanh 2: đi lên (35),ví dụ,麻 má thanh 2 35,11
T003,8,Thanh điệu,tone,马,mǎ,Thanh 3: xuống rồi lên (214),ví dụ,马 mǎ thanh 3 214,12
T004,8,Thanh điệu,tone,骂,mà,Thanh 4: xuống mạnh (51),ví dụ,骂 mà thanh 4 51,13
T005,8,Thanh điệu,tone,吗,ma,Thanh nhẹ: không ghi dấu,ví dụ,吗 ma thanh nhẹ,14
E001,9,Luyện tập,exercise,练习,,Nghe và chọn đáp án đúng cho mỗi câu,,Nghe và chọn đáp án đúng cho mỗi câu.,15
V001,10,Từ vựng,vocabulary,不,bù,không; chẳng,phó từ,不 bù,16
V002,10,Từ vựng,vocabulary,笔,bǐ,bút,danh từ,笔 bǐ,17
V003,10,Từ vựng,vocabulary,雨,yǔ,mưa,danh từ,雨 yǔ,18
V004,10,Từ vựng,vocabulary,鱼,yú,cá,danh từ,鱼 yú,19
V005,10,Từ vựng,vocabulary,一,yī,một,số từ,一 yī,20
V006,10,Từ vựng,vocabulary,二,èr,hai,số từ,二 èr,21
V007,10,Từ vựng,vocabulary,饿,è,đói,tính từ / động từ trạng thái,饿 è,22
V008,10,Từ vựng,vocabulary,鹅,é,ngỗng,danh từ,鹅 é,23
E002,11,Luyện tập,exercise,练习,,Nghe và chọn đáp án đúng cho mỗi câu,,Nghe và chọn đáp án đúng cho mỗi câu.,24
V009,12,Từ vựng,vocabulary,服务,fú wù,phục vụ; dịch vụ,động từ / danh từ,服务 fú wù,25
V010,12,Từ vựng,vocabulary,衣服,yī fu,quần áo,danh từ,衣服 yī fu,26
V011,12,Từ vựng,vocabulary,五,wǔ,năm,số từ,五 wǔ,27
V012,12,Từ vựng,vocabulary,怕,pà,sợ,động từ / tính từ,怕 pà,28
V013,12,Từ vựng,vocabulary,妈妈,mā ma,mẹ,danh từ,妈妈 mā ma,29
V014,12,Từ vựng,vocabulary,父母,fù mǔ,bố mẹ; cha mẹ,danh từ,父母 fù mǔ,30
V015,12,Từ vựng,vocabulary,婆婆,pó po,mẹ chồng; bà nội/bà ngoại theo ngữ cảnh,danh từ,婆婆 pó po,31
V016,12,Từ vựng,vocabulary,爸爸,bà ba,bố; ba,danh từ,爸爸 bà ba,32
E003,13,Luyện tập,exercise,练习,wǔ; fù mǔ; fú wù,Nối hình với phiên âm tương ứng,,Nối những hình sau với phiên âm tương ứng.,33
E004,15,Thử thách bản thân,exercise,自我挑战,mā; má; mǎ; mà; ma,Nối phiên âm với thanh điệu tương ứng,,Nối những phiên âm sau với thanh điệu tương ứng.,34
E005,16,Thử thách bản thân,exercise,自我挑战,,Nhìn hình và viết phiên âm đúng vào ô trống,,Nhìn hình và viết phiên âm đúng của mỗi từ vào ô trống.,35
A001,18,Phụ lục,appendix,简体中文,,Cách cài bộ gõ tiếng Trung trên iOS,,Cách cài đặt bộ gõ tiếng Trung cho điện thoại — iOS,36
A002,19,Phụ lục,appendix,简体中文,,Cách cài bộ gõ tiếng Trung trên Android,,Cách cài đặt bộ gõ tiếng Trung cho điện thoại — Android,37
