lesson_key,retrospective_not_generation_input,deck,deck_label,slide_number,slide_id,observed_layout,slide_title_and_visible_text,student_action_observed,speaker_notes_excerpt,textbook_printed_pages_observed,audio_track_observed,image_count,audio_relationship_count,materials_observed,source_refs,source_ref_status,qa_status
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,1,L01-online-001,cover,第一课 | 丽丽是独生女 | 家庭 · 工作 · 爱好 | Online preview,,学生先看主题，准备进入线上预习。,,,1,0,,,none,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,2,L01-online-002,learning-route,第一课 · 丽丽是独生女 | 02 | 我们这样学习 | 看词语 → 读三篇短文 → 学常用表达 → 每项造三句 → 完成综合准备,看词语 → 读三篇短文 → 学常用表达 → 每项造三句 → 完成综合准备,线上学习路线；不写时间要求。,,,1,0,,,none,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,3,L01-online-003,vocabulary-card,第一课 · 丽丽是独生女 | 03 | 独生女 | 教材 P1–2 | 独生女 | dúshēngnǚ | 词类：名 | 意思：only daughter | 使用场合：谈论人、事物或生活信息 | 例句：丽丽是家里的独生女。 | 扩展：请把“独生女”换成你的信息，说一句话。,扩展：请把“独生女”换成你的信息，说一句话。,词语 独生女；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,4,L01-online-004,vocabulary-card,第一课 · 丽丽是独生女 | 04 | 出生 | 教材 P1–2 | 出生 | chūshēng | 词类：动 | 意思：to be born | 使用场合：说明动作或计划 | 例句：我出生在河内。 | 扩展：请把“出生”换成你的信息，说一句话。,扩展：请把“出生”换成你的信息，说一句话。,词语 出生；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,5,L01-online-005,vocabulary-card,第一课 · 丽丽是独生女 | 05 | 照顾 | 教材 P1–2 | 照顾 | zhàogù | 词类：动 | 意思：to look after | 使用场合：说明动作或计划 | 例句：周末我照顾弟弟。 | 扩展：请把“照顾”换成你的信息，说一句话。,扩展：请把“照顾”换成你的信息，说一句话。,词语 照顾；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,6,L01-online-006,vocabulary-card,第一课 · 丽丽是独生女 | 06 | 离开 | 教材 P1–2 | 离开 | líkāi | 词类：— | 意思：to leave | 使用场合：放在句子中说明相关信息 | 例句：毕业以后，我要离开家乡。 | 扩展：请把“离开”换成你的信息，说一句话。,扩展：请把“离开”换成你的信息，说一句话。,词语 离开；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,7,L01-online-007,vocabulary-card,第一课 · 丽丽是独生女 | 07 | 广告 | 教材 P1–2 | 广告 | guǎnggào | 词类：名 | 意思：advertisement | 使用场合：谈论人、事物或生活信息 | 例句：这家公司设计广告。 | 扩展：请把“广告”换成你的信息，说一句话。,扩展：请把“广告”换成你的信息，说一句话。,词语 广告；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,8,L01-online-008,vocabulary-card,第一课 · 丽丽是独生女 | 08 | 满意 | 教材 P1–2 | 满意 | mǎnyì | 词类：动 | 意思：to be satisfied | 使用场合：说明动作或计划 | 例句：客户对这个设计很满意。 | 扩展：请把“满意”换成你的信息，说一句话。,扩展：请把“满意”换成你的信息，说一句话。,词语 满意；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,9,L01-online-009,vocabulary-card,第一课 · 丽丽是独生女 | 09 | 努力 | 教材 P1–2 | 努力 | nǔlì | 词类：形 | 意思：to work hard; hardworking | 使用场合：说明状态、感觉或评价 | 例句：他学习很努力。 | 扩展：请把“努力”换成你的信息，说一句话。,扩展：请把“努力”换成你的信息，说一句话。,词语 努力；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
boya-quasi-intermediate-i:lesson-01,true,online,在线预习,10,L01-online-010,vocabulary-card,第一课 · 丽丽是独生女 | 10 | 压力 | 教材 P1–2 | 压力 | yālì | 词类：名 | 意思：pressure; stress | 使用场合：谈论人、事物或生活信息 | 例句：考试前我觉得压力很大。 | 扩展：请把“压力”换成你的信息，说一句话。,扩展：请把“压力”换成你的信息，说一句话。,词语 压力；学生看拼音、词类、意思、使用场合、例句，并替换成个人信息。,1–2,,1,0,教材,00-source/source-extraction-draft.json#sections.vocabulary,direct,static_observed
