lesson_id,lesson_title,record_id,record_type,section,source_pdf,source_page,source_page_range,source_pdf_page,source_pdf_page_range,teaching_order,chinese_simplified,pinyin,vietnamese,english,word_type_vi,word_type_abbr,han_viet,sample_sentence_pinyin,sample_sentence_zh,sample_sentence_vi,raw_source_text,classroom_visibility,teacher_review_status,approved,notes_for_review,generated_at
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V001,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,29,29-30,47,47-48,1,今天,jīntiān,hôm nay,today,danh từ,名,kim thiên,jīntiān xīngqī jǐ?,今天星期几？,Hôm nay thứ mấy?,今天 (名) jīntiān (kim thiên) today hôm nay,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V002,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,29,29-30,47,47-48,2,星期,xīngqī,"tuần, thứ",week; day of the week,danh từ,名,tinh kỳ,jīntiān xīngqī'èr.,今天星期二。,Hôm nay thứ ba.,星期 (名) xīngqī (tinh kỳ) week tuần,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V003,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,29,29-30,47,47-48,3,几,jǐ,"mấy, vài",how many; which; several,đại từ,代,kỷ,jīntiān xīngqī jǐ?,今天星期几？,Hôm nay thứ mấy?,"几 (代) jǐ (kỷ) how many; what; several mấy, vài",student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V004,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,29,29-30,47,47-48,4,二,èr,hai,two,số từ,数,nhị,xīngqī'èr,星期二,thứ ba,二 (数) èr (nhị) two hai,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V005,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,5,三,sān,ba,three,số từ,数,tam,xīngqīsān,星期三,thứ tư,三 (数) sān (tam) three ba,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V006,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,6,四,sì,bốn,four,số từ,数,tứ,xīngqīsì,星期四,thứ năm,四 (数) sì (tứ) four bốn,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V007,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,7,哪儿,nǎr,ở đâu,where,đại từ,代,nả nhĩ,nǐ qù nǎr?,你去哪儿？,Bạn đi đâu?,哪儿 (代) nǎr (nả nhĩ) where ở đâu,student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V008,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,8,那儿,nàr,"ở đó, nơi đó",there,đại từ,代,na nhĩ,tā qù nàr.,他去那儿。,Anh ấy đi đó.,"那儿 (代) nàr (na nhĩ) there ở đó, nơi đó, chỗ kia",student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V009,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,9,我,wǒ,tôi,I; me,đại từ,代,ngã,wǒ qù xuéxiào.,我去学校。,Tôi đi trường.,"我 (代) wǒ (ngã) I; me tôi, tao, ta",student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
lesson-04,第四课 · 你去哪儿 · Bài 4 · Bạn đi đâu,V010,vocabulary,Từ vựng,Giáo trình full/[hanka.edu.vn] - GT Hán Ngữ 1 (Tập 1 - Quyển thượng).pdf,30,29-30,48,47-48,10,回,huí,"về, trở về",to go back; to return,động từ,动,hồi,wǒ huí xuéxiào.,我回学校。,Tôi về trường.,"回 (动) huí (hồi) to go back (to) về, trở về, quay về",student_visible,pending,FALSE,,2026-06-03T14:00:00+00:00
