grammar_id,lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,pattern,function_zh,meaning_vi,meaning_vi_status,example_sentence_zh,evidence_zh,source_section,source_pdf_page,source_printed_page,source_pdf_pages,source_printed_pages,source_status,needs_manual,source_notes
boya-elementary-i:lesson-01:audit-grammar-001,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,声调标在韵母主元音a、o、e、i、u、ü上,,Dấu thanh đặt trên nguyên âm chính của vần; ưu tiên a o e rồi mới đến i u ü.,translated_subagent_draft,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,注意／四声、轻声；注意／j-q-x与ü、i调号；日常用语；日常用语问答,13,2,13;14;15;16,2;3;4;5,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-01:audit-grammar-002,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,轻声不标调号,,Âm nhẹ đọc ngắn và nhẹ; trong pinyin không ghi dấu thanh.,translated_subagent_draft,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,注意／四声、轻声；注意／j-q-x与ü、i调号；日常用语；日常用语问答,13,2,13;14;15;16,2;3;4;5,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-01:audit-grammar-003,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,j/q/x后ü省略两点（写u）,,Sau j q x âm ü vẫn đọc là ü nhưng viết thành u và bỏ hai chấm.,translated_subagent_draft,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,注意／四声、轻声；注意／j-q-x与ü、i调号；日常用语；日常用语问答,13,2,13;14;15;16,2;3;4;5,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-01:audit-grammar-004,boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,i上标调时省略i点,,Khi i mang dấu thanh thì bỏ chấm trên i để tránh hai dấu.,translated_subagent_draft,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,声调要标在韵母中“a、o、e、i、u、ü”这六个字母上。；汉语中还有又轻又短的轻声，轻声不标声调符号。；j、q、x后的u是ü，i标调时不再加点。；你好；谢谢；不客气；对不起；没关系；再见。,注意／四声、轻声；注意／j-q-x与ü、i调号；日常用语；日常用语问答,13,2,13;14;15;16,2;3;4;5,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-02:audit-grammar-001,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,复韵母、鼻韵母辨音,,Phân biệt âm ghép và âm mũi qua cách phát âm; chú ý phần vần và âm cuối.,translated_subagent_draft,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,复韵母／听辨；注意／调号顺序；日常用语,17,6,17;18;20,6;7;9,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-02:audit-grammar-002,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,调号标写顺序a、o、e、i、u、ü,,Khi ghi pinyin hãy đặt dấu thanh theo thứ tự ưu tiên a o e i u ü.,translated_subagent_draft,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,复韵母／听辨；注意／调号顺序；日常用语,17,6,17;18;20,6;7;9,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-02:audit-grammar-003,boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,u和i同现时调号标在后一个元音,,Nếu u và i cùng có trong một vần thì dấu thanh đặt trên nguyên âm đứng sau.,translated_subagent_draft,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,声调标写顺序为：a、o、e、i、u、ü。；u和i一起出现时，声调要标在后面的元音上。；早上好；晚上好；明天见；请进；什么；多少钱。,复韵母／听辨；注意／调号顺序；日常用语,17,6,17;18;20,6;7;9,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-03:audit-grammar-001,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,儿化韵：er接在名词词尾并与前韵母融合，写作r,,Âm er gắn sau danh từ và hòa vào vần trước; khi viết thường chỉ thêm r. Cách này có thể gợi sắc thái nhỏ hoặc thân mật.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-03:audit-grammar-002,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,无声母时i开头韵母写y（yi/yin/ying、ya/ye/yao/you等）,,Khi vần bắt đầu bằng i mà không có phụ âm đầu thì dùng y để viết như yi hoặc yao.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
boya-elementary-i:lesson-03:audit-grammar-003,boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,无声母时ü开头写yu/yue/yuan/yun，u开头写wu/wa/wo等,,Khi ü hoặc u đứng đầu vần không có phụ âm đầu thì viết yu hoặc wu cùng các dạng liên quan.,translated_subagent_draft,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵有时表示喜爱或小巧，部分词儿化后词义、词性变化。；i开头韵母前无声母时写成yi、yin、ying或ya、ye、yao、you等。；ü开头无声母写yu、yue、yuan、yun；u开头无声母加w。；‘不’在第四声前变调；‘一’在不同声调前变调（具体调值请看图核对）。；明白了；我听不懂；请再说一遍；太贵了；便宜（一）点儿吧；厕所在哪儿？,儿化韵；儿化韵说明；y和w拼写；三声变调／不、一变调；日常用语,21,10,21;22;23;24;26,10;11;12;13;15,phonetics_explicit_ocr_needs_manual,true,独立 PDF 语法审计草稿；拼音与用法说明明确出现，仍需逐页人工核对。
