Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
1,“起名儿”是什么意思？,chịu khổ,cậu nhóc,đặt tên,"cùng làm, không hẹn",20,3
2,“起名儿”的拼音是什么？,qǐ míngr,tíxiào-jiēfēi,shǎojiàn,zāo,20,1
3,拼音“qǐ míngr”对应哪个词语？,起名儿,头等大事,交往,愣,20,1
4,“警告”是什么意思？,tò mò,hiếm gặp,cảnh báo,chịu khổ,20,3
5,“警告”的拼音是什么？,piānpiān,yóuxì,yuàn,jǐnggào,20,4
6,拼音“jǐnggào”对应哪个词语？,头等大事,警告,操心,困惑不解,20,2
7,“愣”是什么意思？,đặt tên,phát âm,cậu nhóc,ngẩn người,20,4
8,“愣”的拼音是什么？,tíxiào-jiēfēi,chīkǔ,zuómo,lèng,20,4
9,拼音“lèng”对应哪个词语？,从小,交往,别扭,愣,20,4
10,“惊讶”是什么意思？,vậy mà,suy nghĩ kỹ,ngạc nhiên,từ nhỏ,20,3
11,“惊讶”的拼音是什么？,hàoqí,jīngyà,yóuxì,jūrán,20,2
12,拼音“jīngyà”对应哪个词语？,警告,偏偏,居然,惊讶,20,4
13,“从小”是什么意思？,không khỏi,gượng gạo,từ nhỏ,khác biệt,20,3
14,“从小”的拼音是什么？,mòmíngqímiào,chīkǔ,cóngxiǎo,jǐnggào,20,3
15,拼音“cóngxiǎo”对应哪个词语？,惊讶,警告,从小,偏偏,20,3
16,“吃苦”是什么意思？,xưng hô,chịu khổ,kín tiếng,"cùng làm, không hẹn",20,2
17,“吃苦”的拼音是什么？,zūnchēng,chīkǔ,bùyóude,yuàn,20,2
18,拼音“chīkǔ”对应哪个词语？,啼笑皆非,吃苦,琢磨,同音,20,2
19,“怨”是什么意思？,chịu khổ,trách móc,cách gọi kính trọng,suy nghĩ kỹ,20,2
20,“怨”的拼音是什么？,fāyīn,cóngxiǎo,shǎojiàn,yuàn,20,4
21,拼音“yuàn”对应哪个词语？,自古,怨,好奇,祖宗,20,2
22,“琢磨”是什么意思？,từ xưa,suy nghĩ kỹ,trò chơi,khó hiểu,20,2
23,“琢磨”的拼音是什么？,fèijìn-xīnjī,zìgǔ,zuómo,xiǎozi,20,3
24,拼音“zuómo”对应哪个词语？,起名儿,低调,偏偏,琢磨,20,4
25,“费尽心机”是什么意思？,giao tiếp,hiếm gặp,tò mò,vắt óc,20,4
26,“费尽心机”的拼音是什么？,fèijìn-xīnjī,cāoxīn,jīngyà,yuàn,20,1
27,拼音“fèijìn-xīnjī”对应哪个词语？,费尽心机,祖宗,尊称,自古,20,1
28,“莫名其妙”是什么意思？,ngẩn người,khó hiểu,cảnh báo,vắt óc,20,2
29,“莫名其妙”的拼音是什么？,cóngxiǎo,zǔzōng,yǔzhòng-bùtóng,mòmíngqímiào,20,4
30,拼音“mòmíngqímiào”对应哪个词语？,莫名其妙,游戏,怨,费尽心机,20,1
31,“困惑不解”是什么意思？,cậu nhóc,đồng âm,hoang mang,cách gọi kính trọng,20,3
32,“困惑不解”的拼音是什么？,lèng,yǔzhòng-bùtóng,kùnhuò-bùjiě,bièniu,20,3
33,拼音“kùnhuò-bùjiě”对应哪个词语？,困惑不解,吃苦,琢磨,游戏,20,1
34,“与众不同”是什么意思？,trách móc,không khỏi,khác biệt,đồng âm,20,3
35,“与众不同”的拼音是什么？,yóuxì,cóngxiǎo,zuómo,yǔzhòng-bùtóng,20,4
