order,module,module_id,content_focus,source_pages,item_ids
1,Khởi động,warmup,"Sinh viên luyện hỏi đáp câu đơn giản “你在哪儿？”. Mỗi sinh viên tự chọn một địa điểm để trả lời bằng “我在……”。Từ gợi ý: 教室, 家, 公司, 公园.",,
2,Mục tiêu học tập,objectives,"Hỏi người cần tìm, hỏi người đó ở đâu / sống ở đâu, nói số phòng và số điện thoại, đọc hiểu hội thoại 他住哪儿.",,
5,Từ vựng,vocabulary,"Văn phòng, tìm người, nơi ở, số phòng, điện thoại",77-78,"V001,V001A,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V013A,V013B,V014,V015,V016,V016A"
6,Luyện từ vựng,vocabulary_practice,"连连看 matching cho toàn bộ sinh词 bài 10. Một slide 16:9 chia 3 hàng: hàng 1 là 汉字, hàng 2 là pinyin, hàng 3 là hình ảnh. Ba hàng phải được xáo trộn độc lập, không để cùng thứ tự. Hình ảnh phải tạo theo nghĩa từng từ, ví dụ 办公室 dùng hình văn phòng.",77-78,"V001,V001A,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V013A,V013B,V014,V015,V016,V016A"
7,Ngữ pháp,grammar,"Dạy 汉语句子的语序 bằng thiết kế trực quan: dùng khối màu / mũi tên / sơ đồ câu để học sinh thấy rõ “ai/cái gì → làm gì/ở đâu → thông tin thêm”. Có thể dùng hiệu ứng xuất hiện từng khối nếu phù hợp, nhưng không bắt buộc.",78-81,"N002,G001,G002,G003"
8,Luyện ngữ pháp,grammar_practice,"Thêm bài 改错句: cho học sinh xem câu sai về trật tự từ, tìm chỗ sai rồi sửa thành câu đúng. Ví dụ dùng kiến thức “ai/cái gì → làm gì/ở đâu → thông tin thêm”.",83,"E008,E009"
9,Chuẩn bị đọc bài,text_preview,"Dự đoán ngữ cảnh: tìm thầy ở văn phòng, hỏi nơi ở và số điện thoại",76-77,T001
10,Hội thoại,text,"Trình bày hội thoại giống Lesson 01: avatar đầu người ở bên trái, bên phải là câu thoại. Mỗi slide chỉ hiển thị 2 câu thoại, không nhồi toàn bộ hội thoại vào một slide.",76-77,T001
11,Văn hóa bổ sung,culture,"Đưa nội dung “请问” vào văn hóa giao tiếp lịch sự; so sánh với tiếng Việt “Bạn cho tôi hỏi... / Anh cho em hỏi...”, nhắc không dịch thẳng thành “你给我问”. Bổ sung ý nghĩa số thông dụng ở Trung Quốc như 520, 666; có thể nhắc nhanh số điện thoại thường dùng.","78,85","N001,C001,C002"
12,Tập viết chữ Hán,hanzi_writing,"Tham khảo cấu trúc Lesson 01 để luyện viết các chữ Hán của bài: 住, 有, 公, 室, 在, 家, 呢, 知, 道, 电, 话, 号, 手, 机.",84,E010
13,Hướng dẫn bài tập,homework_intro,"Ôn từ vựng, câu vị ngữ động từ, cách đọc số điện thoại, hội thoại và tập viết chữ Hán. Không đưa bài pinyin của sách vào classroom structure của regular lesson.",83-84,"E007,E008,E009,E010"
