Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) ,Correct Answer(s)
1,Chọn pinyin đúng: 你,wǔ,nǐ,hǎo,bù,20,nǐ
2,Chọn pinyin đúng: 好,nǚ,bù,dà,hǎo,20,hǎo
3,Chọn pinyin đúng: 你好,nǐ hǎo,nǐ,bā,bù,20,nǐ hǎo
4,Chọn pinyin đúng: 一,bā,nǚ,yī,wǔ,20,yī
5,Chọn pinyin đúng: 五,nǚ,bái,nǐ hǎo,wǔ,20,wǔ
6,Chọn pinyin đúng: 八,yī,mǎ,bái,bā,20,bā
7,Chọn pinyin đúng: 大,dà,hǎo,kǒu,bù,20,dà
8,Chọn pinyin đúng: 不,bù,nǐ,yī,dà,20,bù
9,Chọn pinyin đúng: 口,nǚ,kǒu,bái,nǐ hǎo,20,kǒu
10,Chọn pinyin đúng: 白,bā,dà,bái,mǎ,20,bái
11,Chọn pinyin đúng: 女,dà,nǐ,nǚ,nǐ hǎo,20,nǚ
12,Chọn pinyin đúng: 马,nǐ,mǎ,bā,nǐ hǎo,20,mǎ
13,Chọn chữ Hán + pinyin đúng cho nghĩa: anh/chị/bạn...,一 yī,你 nǐ,女 nǚ,五 wǔ,20,你 nǐ
14,"Chọn chữ Hán + pinyin đúng cho nghĩa: tốt, đẹp, hay, ngon",不 bù,一 yī,大 dà,好 hǎo,20,好 hǎo
15,Chọn chữ Hán + pinyin đúng cho nghĩa: Xin chào,你好 nǐ hǎo,白 bái,八 bā,女 nǚ,20,你好 nǐ hǎo
16,Chọn chữ Hán + pinyin đúng cho nghĩa: một,不 bù,口 kǒu,一 yī,白 bái,20,一 yī
17,Chọn chữ Hán + pinyin đúng cho nghĩa: năm,白 bái,你好 nǐ hǎo,女 nǚ,五 wǔ,20,五 wǔ
18,Chọn chữ Hán + pinyin đúng cho nghĩa: tám,你 nǐ,你好 nǐ hǎo,八 bā,口 kǒu,20,八 bā
19,"Chọn chữ Hán + pinyin đúng cho nghĩa: to, lớn",大 dà,白 bái,一 yī,不 bù,20,大 dà
20,"Chọn chữ Hán + pinyin đúng cho nghĩa: không, chẳng",大 dà,不 bù,八 bā,口 kǒu,20,不 bù
21,Chọn chữ Hán + pinyin đúng cho nghĩa: miệng; nhân khẩu,口 kǒu,马 mǎ,女 nǚ,白 bái,20,口 kǒu
22,Chọn chữ Hán + pinyin đúng cho nghĩa: trắng,一 yī,白 bái,马 mǎ,五 wǔ,20,白 bái
23,"Chọn chữ Hán + pinyin đúng cho nghĩa: nữ, phụ nữ",白 bái,好 hǎo,马 mǎ,女 nǚ,20,女 nǚ
24,Chọn chữ Hán + pinyin đúng cho nghĩa: con ngựa,你好 nǐ hǎo,口 kǒu,马 mǎ,你 nǐ,20,马 mǎ
