record_type,record_id,meaning_vi,meaning_vi_status
vocabulary,boya-elementary-i:杯子:beizi,cái cốc; ly,translated_subagent_draft
vocabulary,boya-elementary-i:北方:beifang,miền Bắc,translated_subagent_draft
vocabulary,boya-elementary-i:安静:anjing,yên tĩnh,translated_subagent_draft
vocabulary,boya-elementary-i:本子:benzi,quyển vở,translated_subagent_draft
vocabulary,boya-elementary-i:安排:ainpai,sắp xếp; bố trí,translated_subagent_draft
vocabulary,boya-elementary-i:比较:bijido,khá; tương đối; so sánh,translated_subagent_draft
vocabulary,boya-elementary-i:熬夜:doye,thức khuya,translated_subagent_draft
vocabulary,boya-elementary-i:比如:biru,ví dụ như,translated_subagent_draft
vocabulary,boya-elementary-i:比赛:bisai,cuộc thi; trận đấu,translated_subagent_draft
vocabulary,boya-elementary-i:吧:ba,"trợ từ cuối câu dùng để đề nghị, yêu cầu hoặc phỏng đoán",translated_subagent_draft
vocabulary,boya-elementary-i:笔:bi,bút,translated_subagent_draft
vocabulary,boya-elementary-i:爸爸:baba,bố; ba,translated_subagent_draft
vocabulary,boya-elementary-i:笔试:bishi,thi viết,translated_subagent_draft
vocabulary,boya-elementary-i:白:bai,trợ từ chỉ quan hệ sở hữu,translated_subagent_draft
vocabulary,boya-elementary-i:表演:biaoyan,biểu diễn,translated_subagent_draft
vocabulary,boya-elementary-i:白菜:baicai,cải thảo,translated_subagent_draft
vocabulary,boya-elementary-i:别:bie,đừng,translated_subagent_draft
vocabulary,boya-elementary-i:白天:baitian,ban ngày,translated_subagent_draft
vocabulary,boya-elementary-i:别的:biede,khác; cái khác,translated_subagent_draft
vocabulary,boya-elementary-i:班:ban,lớp,translated_subagent_draft
vocabulary,boya-elementary-i:冰:bing,đá; băng,translated_subagent_draft
vocabulary,boya-elementary-i:搬:ban,chuyển; dọn,translated_subagent_draft
vocabulary,boya-elementary-i:病假条:bingjiatido,giấy xin nghỉ ốm,translated_subagent_draft
vocabulary,boya-elementary-i:办:ban,làm; giải quyết,translated_subagent_draft
vocabulary,boya-elementary-i:补考:bukdo,thi lại,translated_subagent_draft
vocabulary,boya-elementary-i:办法:banfd,cách; biện pháp,translated_subagent_draft
vocabulary,boya-elementary-i:不:bu,không,translated_subagent_draft
vocabulary,boya-elementary-i:办公室:bangongshi,văn phòng,translated_subagent_draft
vocabulary,boya-elementary-i:不错:bucuo,không tệ; khá tốt,translated_subagent_draft
vocabulary,boya-elementary-i:半:ban,một nửa,translated_subagent_draft
vocabulary,boya-elementary-i:不过:buguo,nhưng; tuy nhiên,translated_subagent_draft
vocabulary,boya-elementary-i:帮:bang,giúp,translated_subagent_draft
vocabulary,boya-elementary-i:不好意思:buhdoyisi,xin lỗi; ngại quá,translated_subagent_draft
vocabulary,boya-elementary-i:帮忙:bangmang,giúp đỡ,translated_subagent_draft
vocabulary,boya-elementary-i:不用:buyong,không cần,translated_subagent_draft
vocabulary,boya-elementary-i:包子:bdozi,bánh bao,translated_subagent_draft
vocabulary,boya-elementary-i:部分:bufen,phần; bộ phận,translated_subagent_draft
vocabulary,boya-elementary-i:报告:baogdo,báo cáo,translated_subagent_draft
vocabulary,boya-elementary-i:报名:bdoming,đăng ký,translated_subagent_draft
vocabulary,boya-elementary-i:抱歉:bdoqian,xin lỗi; lấy làm tiếc,translated_subagent_draft
vocabulary,boya-elementary-i:菜:cai,món ăn; rau,translated_subagent_draft
vocabulary,boya-elementary-i:杯:bei,cốc; ly (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:菜单:caidan,thực đơn,translated_subagent_draft
vocabulary,boya-elementary-i:待:dai,ở lại; lưu lại,translated_subagent_draft
vocabulary,boya-elementary-i:参加:canjia,tham gia,translated_subagent_draft
vocabulary,boya-elementary-i:茶:cha,trà,translated_subagent_draft
vocabulary,boya-elementary-i:担心:danxin,lo lắng,translated_subagent_draft
vocabulary,boya-elementary-i:查:cha,kiểm tra; tra cứu,translated_subagent_draft
vocabulary,boya-elementary-i:蛋糕:dangao,bánh ngọt,translated_subagent_draft
vocabulary,boya-elementary-i:差:cha,thiếu; kém,translated_subagent_draft
vocabulary,boya-elementary-i:当然:dangran,đương nhiên; tất nhiên,translated_subagent_draft
vocabulary,boya-elementary-i:差不多:chabudui,gần như; xấp xỉ,translated_subagent_draft
vocabulary,boya-elementary-i:倒霉:ddomei,xui xẻo,translated_subagent_draft
vocabulary,boya-elementary-i:尝:chang,nếm,translated_subagent_draft
vocabulary,boya-elementary-i:到:ddo,đến; tới,translated_subagent_draft
vocabulary,boya-elementary-i:常（常）:changchang,thường; thường xuyên,translated_subagent_draft
vocabulary,boya-elementary-i:唱:chang,hát,translated_subagent_draft
vocabulary,boya-elementary-i:得:de,trợ từ đặt sau động từ để bổ sung mức độ hoặc cách thức,translated_subagent_draft
vocabulary,boya-elementary-i:车站:chezhan,nhà ga; trạm xe,translated_subagent_draft
vocabulary,boya-elementary-i:得:dei,phải; cần phải,translated_subagent_draft
vocabulary,boya-elementary-i:吃饭:chifan,ăn cơm; dùng bữa,translated_subagent_draft
vocabulary,boya-elementary-i:等:deng,đợi; chờ,translated_subagent_draft
vocabulary,boya-elementary-i:迟到:chiddo,đến muộn,translated_subagent_draft
vocabulary,boya-elementary-i:地方:difang,nơi; địa điểm,translated_subagent_draft
vocabulary,boya-elementary-i:充值:chongzhi,nạp tiền; nạp lại,translated_subagent_draft
vocabulary,boya-elementary-i:地铁:ditie,tàu điện ngầm,translated_subagent_draft
vocabulary,boya-elementary-i:出门:chimen,ra khỏi nhà,translated_subagent_draft
vocabulary,boya-elementary-i:第一:diyi,thứ nhất; đầu tiên,translated_subagent_draft
vocabulary,boya-elementary-i:出租车:chuzuche,taxi,translated_subagent_draft
vocabulary,boya-elementary-i:点:dian,giờ (trên đồng hồ),translated_subagent_draft
vocabulary,boya-elementary-i:穿:chuan,mặc; đi (quần áo),translated_subagent_draft
vocabulary,boya-elementary-i:春天:chuntian,mùa xuân,translated_subagent_draft
vocabulary,boya-elementary-i:电话:didnhua,điện thoại,translated_subagent_draft
vocabulary,boya-elementary-i:次:ci,lần (lượng từ cho hành động),translated_subagent_draft
vocabulary,boya-elementary-i:电脑:dianndo,máy tính,translated_subagent_draft
vocabulary,boya-elementary-i:电影:dianying,phim,translated_subagent_draft
vocabulary,boya-elementary-i:订:ding,đặt trước,translated_subagent_draft
vocabulary,boya-elementary-i:东边:dongbian,phía đông,translated_subagent_draft
vocabulary,boya-elementary-i:打（电话）:dadianhua,gọi điện,translated_subagent_draft
vocabulary,boya-elementary-i:东门:dongmen,cổng phía đông,translated_subagent_draft
vocabulary,boya-elementary-i:打车:ddche,bắt taxi; đi taxi,translated_subagent_draft
vocabulary,boya-elementary-i:冬天:dongtian,mùa đông,translated_subagent_draft
vocabulary,boya-elementary-i:打算:ddsuan,dự định,translated_subagent_draft
vocabulary,boya-elementary-i:懂:dong,hiểu,translated_subagent_draft
vocabulary,boya-elementary-i:打针:ddzhen,tiêm; chích,translated_subagent_draft
vocabulary,boya-elementary-i:动物园:dongwuyuan,sở thú,translated_subagent_draft
vocabulary,boya-elementary-i:大:da,to; lớn,translated_subagent_draft
vocabulary,boya-elementary-i:都:dou,đều; tất cả,translated_subagent_draft
vocabulary,boya-elementary-i:大概:ddgai,khoảng; đại khái,translated_subagent_draft
vocabulary,boya-elementary-i:堵车:duche,tắc đường,translated_subagent_draft
vocabulary,boya-elementary-i:大号:dahdo,cỡ lớn,translated_subagent_draft
vocabulary,boya-elementary-i:度:du,độ (đơn vị),translated_subagent_draft
vocabulary,boya-elementary-i:大学:daxue,trường đại học,translated_subagent_draft
vocabulary,boya-elementary-i:短:dudn,ngắn,translated_subagent_draft
vocabulary,boya-elementary-i:大夫:daifu,bác sĩ,translated_subagent_draft
vocabulary,boya-elementary-i:段:duan,đoạn (lượng từ),translated_subagent_draft
vocabulary,boya-elementary-i:对:dui,đối với,translated_subagent_draft
vocabulary,boya-elementary-i:付:fu,trả tiền,translated_subagent_draft
vocabulary,boya-elementary-i:对方:duifang,đối phương; phía bên kia,translated_subagent_draft
vocabulary,boya-elementary-i:改:gdi,sửa; thay đổi,translated_subagent_draft
vocabulary,boya-elementary-i:对了:duile,à đúng rồi; tiện thể,translated_subagent_draft
vocabulary,boya-elementary-i:干净:ganjing,sạch sẽ,translated_subagent_draft
vocabulary,boya-elementary-i:对面:duimian,đối diện,translated_subagent_draft
vocabulary,boya-elementary-i:感冒:gdnmdo,cảm lạnh; bị cảm,translated_subagent_draft
vocabulary,boya-elementary-i:多:duo,bao nhiêu (hỏi số lượng hoặc mức độ),translated_subagent_draft
vocabulary,boya-elementary-i:感兴趣:ganxingqu,hứng thú với,translated_subagent_draft
vocabulary,boya-elementary-i:干:gan,làm,translated_subagent_draft
vocabulary,boya-elementary-i:多少:duishao,bao nhiêu,translated_subagent_draft
vocabulary,boya-elementary-i:刚:gang,vừa mới,translated_subagent_draft
vocabulary,boya-elementary-i:高:gao,cao,translated_subagent_draft
vocabulary,boya-elementary-i:饿:e,đói,translated_subagent_draft
vocabulary,boya-elementary-i:高兴:gaoxing,vui; vui mừng,translated_subagent_draft
vocabulary,boya-elementary-i:耳机:erj,tai nghe,translated_subagent_draft
vocabulary,boya-elementary-i:告诉:gaosu,nói cho; báo cho,translated_subagent_draft
vocabulary,boya-elementary-i:歌:ge,bài hát,translated_subagent_draft
vocabulary,boya-elementary-i:个:ge,cái; người (lượng từ phổ biến),translated_subagent_draft
vocabulary,boya-elementary-i:发:fa,gửi; phát,translated_subagent_draft
vocabulary,boya-elementary-i:给:gei,cho; đưa,translated_subagent_draft
vocabulary,boya-elementary-i:发烧:fashao,sốt,translated_subagent_draft
vocabulary,boya-elementary-i:跟:gen,với; theo,translated_subagent_draft
vocabulary,boya-elementary-i:翻译:fanyi,dịch; phiên dịch,translated_subagent_draft
vocabulary,boya-elementary-i:更:geng,càng; hơn,translated_subagent_draft
vocabulary,boya-elementary-i:饭店:fandian,nhà hàng,translated_subagent_draft
vocabulary,boya-elementary-i:公共汽车:gonggongqiche,xe buýt,translated_subagent_draft
vocabulary,boya-elementary-i:房间:fangjian,phòng,translated_subagent_draft
vocabulary,boya-elementary-i:狗:gou,chó,translated_subagent_draft
