record_id,lesson_id,lesson_number,lesson_title,exercise_order,exercise_type,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,prompt_raw,options_raw,audio_asset_ids,related_text_dialogue_ids,answer_status,review_status,source_note,uncertainty,source_file
E01-001,boya-intermediate-i-lesson-01,1,中国人的姓名,1,listening_comprehension_questions,3,,14,,S01-003,词语理解,"听对话，回答问题：
1. 女士为什么没去南方旅行？
2. 小王在干什么呢？
3. 他的父母为什么一点儿都不兴奋？
4. 父母为什么要把孩子送到业余体育学校去？
5. 女士认为小明考试没通过的原因是什么？
6. 女士是怎么想出这个好办法来的？",,"[""A01-002""]",,not_provided_in_source,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-002,boya-intermediate-i-lesson-01,1,中国人的姓名,2,listening_multiple_choice,3,,14,,S01-003,词语理解,选出与所听到的句子意思相近的一项。,"[{""number"":1,""options"":[""A. 父母浪费了很多机会，才给他起了这个名字。"",""B. 父母花费了很多钱，才给他起了这个名字。"",""C. 父母想尽了各种办法，才给他起了这个名字。""]},{""number"":2,""options"":[""A. 真不该问成年人关于孩子的问题。"",""B. 真不明白你为什么问孩子关于成年人的问题。"",""C. 真不知道你想让孩子干什么。""]},{""number"":3,""options"":[""A. 我觉得我没有能力帮助他们。"",""B. 他们的拒绝真让我感到没有意思。"",""C. 我实在不明白他们为什么拒绝我的帮助。""]},{""number"":4,""options"":[""A. 她希望买到既便宜又好看的衣服。"",""B. 她希望买到有特色的衣服。"",""C. 她希望买到颜色鲜艳的衣服。""]},{""number"":5,""options"":[""A. 大家喜欢的是同一位电影明星。"",""B. 大家喜欢的是不同的电影明星。"",""C. 大家都不喜欢这位电影明星。""]}]","[""A01-003""]",,not_provided_in_source,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-003,boya-intermediate-i-lesson-01,1,中国人的姓名,3,guided_speaking,4,,15,,S01-003-03,用三至五句话回答问题，并使用画线词语,"用三至五句话回答问题，并使用画线词语：
1. 怎样解决学习汉语时发音不准的问题？
2. 刚进入一所大学时，你觉得自己要做的头等大事是什么？
3. 来到一个语言不同、生活习惯不同的国家，你会在哪些方面感到别扭？
4. 刚开始学汉语时，你的汉语水平很糟，你是怎么与别的同学交流的？
5. 学生上课时看手机，你认为老师应该公开批评还是低调处理？",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-004,boya-intermediate-i-lesson-01,1,中国人的姓名,4,listen_repeat_substitute,4,,15,,S01-003A,语句理解,"听录音，跟读句子，并替换画线词语各说一句话：
1. 我叫徐幼华，按照英文的习惯，姓要放在名后，读幼华徐。
2. 请问你的名字怎么念？
3. 日本人很多都叫什么子，第几郎。
4. 南美洲来的不是叫荷西，就是叫玛丽亚。
5. 我给她起了个中文名字叫汉云，意思是汉唐飘过来的一片云。
6. 广东人常说“不怕人错行，就怕起错名”。",,"[""A01-004""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-005,boya-intermediate-i-lesson-01,1,中国人的姓名,5,dialogue_repetition,4,,15,,S01-003A,语句理解,"听录音，复述并模仿对话：
1. A：中国男孩子为什么叫“强”的人很多？
   B：
2. A：你为什么叫震生？
   B：
3. A：你名字里的“川”是不是川菜的“川”呀？
   B：",,"[""A01-005""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-006,boya-intermediate-i-lesson-01,1,中国人的姓名,6,listening_fill_blank,5,,16,,S01-004,语段理解,"听第一遍录音，填空：
1. 应该让孩子从小就学着________点儿________。
2. 这让人听起来觉得________。
3. 这个名字起得实在是太________了！
4. 将来孩子参加比赛、玩儿游戏什么的输了，不________你才怪呢！
5. 到时候别说我没________过你！",,"[""A01-006""]",,not_provided_in_source,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-007,boya-intermediate-i-lesson-01,1,中国人的姓名,7,listening_true_false,5,,16,,S01-004,语段理解,"听第二遍录音，判断正误：
1. 第一位朋友认为孩子应该多吃苦，少吃甜食。
2. 第二位朋友认为“殊”和“叔叔”的“叔”同音，不适合做男孩子的名字。
3. 第四位朋友认为起什么名字都可以，不过最好低调一点儿。",,"[""A01-006""]",,not_provided_in_source,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-008,boya-intermediate-i-lesson-01,1,中国人的姓名,8,listening_open_response,5,,16,,S01-004,语段理解,听后回答：老常的朋友们是否赞成他给孩子起“殊”这个名字？说说他们的理由。,,"[""A01-006""]",,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-009,boya-intermediate-i-lesson-01,1,中国人的姓名,9,pattern_dialogue_completion,"[6,7]",6–7,"[17,18]",17–18,S01-005,口语句式,"用“总不能……吧”完成对话：
（1）A：你们先去吃吧，我打印完这份文件再去吃。
B：
（2）A：这几件衣服我都很喜欢，怎么办呢？
B：
（3）A：我认为，学生应该努力学习，不能出去打工。
B：",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-010,boya-intermediate-i-lesson-01,1,中国人的姓名,10,pattern_rewrite,7,,18,,S01-005,口语句式,"用“……才怪呢”改写句子：
（1）你不懂外语，又不懂电脑，肯定找不到好工作。
（2）你每天吃那么多，怎么可能不胖呢？
（3）他每天晚上在外面喝酒，他太太当然会生他的气呀！",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-011,boya-intermediate-i-lesson-01,1,中国人的姓名,11,pattern_situation,7,,18,,S01-005,口语句式,"说一说在什么情况下会说出下面的句子：
（1）到时候别忘了通知我。
（2）到时候哭都来不及。",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
E01-012,boya-intermediate-i-lesson-01,1,中国人的姓名,12,pattern_discussion,7,,18,,S01-005,口语句式,"用“话说回来”从不同的角度谈谈你对下面问题的看法：
（1）网络对现代生活的影响
（2）减肥与身体健康",,,,,pending_review,,,work/boya-intermediate/extractions/structured-lesson-01.json
