lesson_id,lesson_title,record_id,record_type,section,chinese_simplified,pinyin,vietnamese,word_type_vi,teacher_review_status,generated_at
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,T001,text,Bài đọc,(See full dialogue in OCR),,,,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V001,vocabulary,Từ vựng,我们,wǒmen,chúng tôi,đại từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V002,vocabulary,Từ vựng,都,dōu,đều,phó từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V003,vocabulary,Từ vựng,位,wèi,vị (lượng từ lịch sự),lượng từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V004,vocabulary,Từ vựng,教授,jiàoshòu,giáo sư,danh từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V005,vocabulary,Từ vựng,先,xiān,trước,phó từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V006,vocabulary,Từ vựng,介绍,jièshào,giới thiệu,động từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V007,vocabulary,Từ vựng,一下儿,yíxiàr,"một chút, một lát",cụm từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V008,vocabulary,Từ vựng,校长,xiàozhǎng,hiệu trưởng,danh từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V009,vocabulary,Từ vựng,欢迎,huānyíng,"hoan nghênh, chào mừng",động từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V010,vocabulary,Từ vựng,你们,nǐmen,các bạn,đại từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V011,vocabulary,Từ vựng,他们,tāmen,"họ, bọn họ",đại từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V012,vocabulary,Từ vựng,班,bān,lớp,danh từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V013,vocabulary,Từ vựng,同学,tóngxué,bạn học,danh từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V014,vocabulary,Từ vựng,新,xīn,mới,tính từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,V015,vocabulary,Từ vựng,谁,shéi,ai,đại từ,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,G001,grammar,Ngữ pháp,人称代词复数,,Đại từ nhân xưng số nhiều (我们/你们/他们),,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,G002,grammar,Ngữ pháp,"副词""都""",,"Phó từ ""都"" (đều) — đặt trước động từ",,pending,2026-06-04T10:00:00+00:00
lesson-11,第十一课 · 我们都是留学生 · Bài 11 · Chúng tôi đều là lưu học sinh,G003,grammar,Ngữ pháp,"""是""字句",,"Câu có ""是"" — dùng để nhận diện/phân loại",,pending,2026-06-04T10:00:00+00:00
