pattern,lesson_record_count,lessons,record_ids,textbook_pages,meanings_raw,example_count_total,review_statuses
……个没够,1,第5课 音乐的魅力,P05-002,68,用在动词后面，强调由于喜欢做某事而不愿停止。,2,visually_confirmed
……归……，不过／可是／但是……,1,第8课 学汉语的苦恼,P08-007,124,表示让步，后面常有转折。,0,visually_confirmed
……得很,1,第8课 学汉语的苦恼,P08-006,124,表示程度很高。,0,visually_confirmed
……得无法形容,1,第5课 音乐的魅力,P05-003,68,强调程度很高，无法用语言来表达。,2,visually_confirmed
……才怪呢,1,第1课 中国人的姓名,G01-002,6,,0,pending_review
……（了）许多,1,第7课 我的同事,G07-004,108,用在动词或形容词后面，表示程度增加。,2,pending_review
一V就是+数量词,1,第5课 音乐的魅力,P05-005,75,强调某一动作或行为持续的时间长或数量多。,2,visually_confirmed
一不……二不……,1,第7课 我的同事,G07-002,101,通过所列举的两个例子，对某件事情进行全面否定。,2,pending_review
不然,1,第1课 中国人的姓名,G01-005,13,,0,pending_review
不说别的，就说……吧,1,第4课 地球人的担忧,P04-003,51,用不着说很多，仅举一个例子就足以说明。,0,visually_confirmed
不过说好了,1,第3课 宜居之地,P03-005,43,用于表示在同意某一事情的同时提醒对方注意自己的另一个要求。,2,visually_confirmed
众所周知,1,第4课 地球人的担忧,P04-005,60,表示大家全都知道。,0,visually_confirmed
你还别说,1,第5课 音乐的魅力,P05-006,75,用于确认某种事实或某种说法，有时也有希望对方确认的意思。,2,visually_confirmed
值得一……,1,第3课 宜居之地,P03-003,37,表示这么做有必要或者有价值。,2,visually_confirmed
像那么回事,1,第2课 真正的朋友,P02-003,22,表示在形象上有共同之处或模仿得很有水平。,3,visually_confirmed
再说,1,第3课 宜居之地,P03-006,43,连词，用于两句之间，表示更进一层。,2,visually_confirmed
别提了,1,第8课 学汉语的苦恼,P08-001,115,不要再说这件事了，常用于不好的事情。,0,visually_confirmed
别看……，其实……,1,第7课 我的同事,G07-003,101,不要从表面上或习惯认识上判断；第二小句多指出真实且出人意料的情况。,2,pending_review
到时候,1,第1课 中国人的姓名,G01-003,6,,0,pending_review
又有几个呢,1,第2课 真正的朋友,P02-005,29,表示在某一方面真正能够做到的人数量极少。,3,visually_confirmed
听你这么一说,1,第8课 学汉语的苦恼,P08-004,116,根据对方的话做出推论或判断。,0,visually_confirmed
和……比起来,1,第5课 音乐的魅力,P05-004,75,用于比较句，将某事物与其他事物比较。,2,visually_confirmed
在我看来,1,第4课 地球人的担忧,P04-002,51,表示从自己的角度看。,0,visually_confirmed
好家伙！,1,第7课 我的同事,G07-001,101,叹词，表示赞叹或惊讶。,2,pending_review
对……来说,1,第8课 学汉语的苦恼,P08-005,123,表示从某人或某事的角度来看。,0,visually_confirmed
巧了,1,第6课 挑战,P06-003,84,指与对方所说的恰巧相同。,2,visually_confirmed
怎么……怎么……,1,第1课 中国人的姓名,G01-007,13,,0,pending_review
怎么能不……呢,1,第4课 地球人的担忧,P04-004,59,反问句，表示一定会……。,0,visually_confirmed
总不能……吧,1,第1课 中国人的姓名,G01-001,6,,0,pending_review
我敢说,1,第6课 挑战,P06-005,92,表示十分肯定自己的预测或判断。,3,visually_confirmed
或许……或许……,1,第6课 挑战,P06-007,93,用于选择句，表示有不同的可能。,3,visually_confirmed
所谓,1,第2课 真正的朋友,P02-007,29,在这里引证别人说的话，指“人们所说的……”。,3,visually_confirmed
时而……时而……,1,第3课 宜居之地,P03-001,37,表示不同的现象或事情在一定时间内交替出现。,2,visually_confirmed
是……还是……,1,第1课 中国人的姓名,G01-006,13,,0,pending_review
是否……呢,1,第4课 地球人的担忧,P04-006,60,表示是不是……呢。,0,visually_confirmed
有什么V什么,1,第6课 挑战,P06-002,84,表示因受条件限制而无法选择，只好接受客观现实。,2,visually_confirmed
有几个……呢,1,第2课 真正的朋友,P02-001,22,反问句，意思是“没有几个……”。,3,visually_confirmed
有助于,1,第4课 地球人的担忧,P04-001,51,表示前者对后者有帮助。,0,visually_confirmed
比方说,1,第8课 学汉语的苦恼,P08-002,115,用于举例。,0,visually_confirmed
毫无疑问,1,第2课 真正的朋友,P02-006,29,加强肯定的语气，表示“当然”的意思。,3,visually_confirmed
没什么……的,1,第2课 真正的朋友,P02-002,22,加强否定，意思是“不……”。,3,visually_confirmed
相比之下,1,第5课 音乐的魅力,P05-001,68,用于将某事物与其他事物比较。,2,visually_confirmed
话说回来,1,第1课 中国人的姓名,G01-004,6,,0,pending_review
说……就……了,1,第7课 我的同事,G07-006,108,表示行为发生得很快或者情况变化得很突然。,2,pending_review
说得倒容易,1,第8课 学汉语的苦恼,P08-003,115,表示某事不像说的那么简单。,0,visually_confirmed
谁……谁……,1,第6课 挑战,P06-006,92,表示任指，前后所指的是相同的人。,2,visually_confirmed
还……呢,1,第6课 挑战,P06-001,"[83,84]",表示所说的某人或某事物与其称呼或称号不相符，常有轻视或不满的语气。,2,visually_confirmed
还有什么比这更……的呢,1,第3课 宜居之地,P03-002,37,反问句，意思是“没有比这更……的了”，表示已经达到极点。,2,visually_confirmed
这么说来,1,第6课 挑战,P06-004,84,表示根据对方的话得出某种结论。,2,visually_confirmed
这是怎么话儿说的？,1,第7课 我的同事,G07-005,108,口语表达方式，意思是“怎么会这样”。,2,pending_review
逢人便……,1,第3课 宜居之地,P03-004,43,意思是遇到别人就做同样的事情。,2,visually_confirmed
露一手,1,第2课 真正的朋友,P02-004,22,表示在别人面前显露一下才能。,3,visually_confirmed
